,,,Punt Returns,,,,Kick Returns,,,
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Seattle Seahawks,17,32,234,0,7.3,50,986,0,19.7
2,Pittsburgh Steelers,17,32,308,0,9.6,46,1100,0,23.9
3,Houston Texans,17,45,355,0,7.9,32,653,0,20.4
4,New Orleans Saints,17,43,391,0,9.1,32,660,0,20.6
5,Indianapolis Colts,17,28,267,0,9.5,46,988,0,21.5
6,San Francisco 49ers,17,20,156,0,7.8,52,1203,1,23.1
7,New England Patriots,17,16,138,0,8.6,55,1166,0,21.2
8,Green Bay Packers,17,21,268,1,12.8,50,1283,0,25.7
9,Detroit Lions,17,35,308,0,8.8,35,763,0,21.8
10,Baltimore Ravens,17,31,228,0,7.4,39,724,1,18.6
11,Cleveland Browns,17,30,257,0,8.6,39,791,0,20.3
12,Chicago Bears,17,34,375,0,11,35,750,0,21.4
13,Los Angeles Chargers,17,30,329,0,11,36,748,0,20.8
14,Cincinnati Bengals,17,28,235,0,8.4,37,804,0,21.7
15,New York Giants,17,28,237,0,8.5,37,659,0,17.8
16,Carolina Panthers,17,34,252,0,7.4,29,769,0,26.5
17,Tennessee Titans,17,22,223,0,10.1,40,816,0,20.4
18,Las Vegas Raiders,17,28,341,0,12.2,33,742,1,22.5
19,Atlanta Falcons,17,26,235,0,9,34,810,1,23.8
20,Jacksonville Jaguars,17,22,180,0,8.2,38,1115,3,29.3
21,Philadelphia Eagles,17,24,225,0,9.4,34,888,0,26.1
22,Buffalo Bills,17,17,96,0,5.6,41,739,0,18
23,Washington Football Team,17,27,244,0,9,30,643,0,21.4
24,Minnesota Vikings,17,39,339,1,8.7,17,383,0,22.5
25,New York Jets,17,29,306,0,10.6,22,392,0,17.8
26,Miami Dolphins,17,30,262,0,8.7,21,435,0,20.7
27,Kansas City Chiefs,17,17,84,0,4.9,34,658,0,19.4
28,Arizona Cardinals,17,30,265,0,8.8,20,421,0,21.1
29,Tampa Bay Buccaneers,17,23,184,0,8,25,669,0,26.8
30,Dallas Cowboys,17,25,163,0,6.5,18,468,0,26
31,Los Angeles Rams,17,9,60,0,6.7,30,646,0,21.5
32,Denver Broncos,17,24,154,0,6.4,14,551,2,39.4
