,,,Scoring,,,,,,Punting,,,
Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
1,Chicago Bears,17,30,27,90.0%,44,42,95.5%,63,2823,0,44.8
2,Jacksonville Jaguars,17,36,32,88.9%,50,47,94.0%,64,2882,0,45
3,Los Angeles Chargers,17,35,32,91.4%,44,43,97.7%,46,2104,0,45.7
4,Detroit Lions,17,41,36,87.8%,45,43,95.6%,47,2154,0,45.8
5,New York Giants,17,38,34,89.5%,44,42,95.5%,67,2912,0,43.5
6,Atlanta Falcons,17,28,26,92.9%,45,39,86.7%,53,2485,0,46.9
7,Washington Football Team,17,29,27,93.1%,46,43,93.5%,63,2924,0,46.4
8,New York Jets,17,39,36,92.3%,53,50,94.3%,59,2475,0,41.9
9,Kansas City Chiefs,17,24,20,83.3%,39,36,92.3%,52,2502,0,48.1
10,Cleveland Browns,17,27,26,96.3%,35,33,94.3%,71,3425,0,48.2
11,Carolina Panthers,17,37,32,86.5%,35,32,91.4%,75,3397,1,45.3
12,Philadelphia Eagles,17,24,21,87.5%,43,36,83.7%,63,2744,1,43.6
13,Denver Broncos,17,31,24,77.4%,29,28,96.6%,60,3021,0,50.4
14,Los Angeles Rams,17,34,30,88.2%,36,36,100.0%,62,2858,0,46.1
15,Buffalo Bills,17,23,21,91.3%,26,26,100.0%,75,3394,1,45.3
16,San Francisco 49ers,17,27,21,77.8%,38,36,94.7%,70,3405,0,48.6
17,New England Patriots,17,33,22,66.7%,30,27,90.0%,55,2580,0,46.9
18,Tennessee Titans,17,38,31,81.6%,34,29,85.3%,67,2986,0,44.6
19,Green Bay Packers,17,22,19,86.4%,40,38,95.0%,57,2648,0,46.5
20,Arizona Cardinals,17,28,23,82.1%,39,35,89.7%,58,2714,0,46.8
21,Las Vegas Raiders,17,33,27,81.8%,46,44,95.7%,68,3173,0,46.7
22,Baltimore Ravens,17,28,21,75.0%,42,39,92.9%,83,3788,0,45.6
23,Indianapolis Colts,17,27,22,81.5%,34,31,91.2%,62,2750,2,44.4
24,Miami Dolphins,17,37,31,83.8%,39,38,97.4%,75,3308,1,44.1
25,Houston Texans,17,32,28,87.5%,48,44,91.7%,57,2513,0,44.1
26,Pittsburgh Steelers,17,38,34,89.5%,41,38,92.7%,78,3473,2,44.5
27,Cincinnati Bengals,17,31,23,74.2%,39,37,94.9%,74,3279,0,44.3
28,New Orleans Saints,17,38,31,81.6%,31,30,96.8%,80,3644,1,45.6
29,Tampa Bay Buccaneers,17,31,27,87.1%,36,34,94.4%,70,3124,0,44.6
30,Dallas Cowboys,17,35,29,82.9%,32,29,90.6%,71,3125,3,44
31,Seattle Seahawks,17,33,27,81.8%,36,31,86.1%,68,3124,0,45.9
32,Minnesota Vikings,17,40,34,85.0%,38,38,100.0%,64,3000,0,46.9
