,,Receiving,,,,Fantasy,,,Fantasy per Game,,
Tm,G,Tgt,Rec,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Los Angeles Chargers,17,136,92,1170,13,195.3,298.3,243.3,11.5,17.5,14.3
Philadelphia Eagles,17,138,107,1035,14,189.5,296.5,243,11.1,17.4,14.3
Las Vegas Raiders,17,135,91,1018,10,166.1,260.1,211.6,9.8,15.3,12.4
Baltimore Ravens,17,156,105,1124,8,162.5,273.4,214.9,9.6,16.1,12.6
New York Jets,17,125,92,1113,8,160.2,262.2,206.2,9.4,15.4,12.1
Houston Texans,17,109,80,946,8,160.1,240.1,200.1,9.4,14.1,11.8
Cincinnati Bengals,17,132,96,1083,8,156.4,261.4,204.4,9.2,15.4,12
Seattle Seahawks,17,122,91,964,9,155,250,200.5,9.1,14.7,11.8
Indianapolis Colts,17,141,102,1027,8,154.9,263.9,205.9,9.1,15.5,12.1
Detroit Lions,17,131,93,1127,6,146.8,246.8,193.3,8.6,14.5,11.4
Green Bay Packers,17,120,88,871,8,136,227,180,8,13.4,10.6
Dallas Cowboys,17,120,83,920,6,134.8,217.4,175.9,7.9,12.8,10.3
Miami Dolphins,17,113,82,990,6,134.1,220.1,175.1,7.9,12.9,10.3
Washington Football Team,17,125,87,999,5,129.9,219.9,173.4,7.6,12.9,10.2
Atlanta Falcons,17,101,70,751,9,129.1,200.1,164.1,7.6,11.8,9.7
Cleveland Browns,17,122,85,771,8,127.4,215.3,169.8,7.5,12.7,10
Kansas City Chiefs,17,115,84,897,6,125.8,212.7,167.7,7.4,12.5,9.9
Tampa Bay Buccaneers,17,128,92,862,6,122.6,214.6,168.6,7.2,12.6,9.9
Jacksonville Jaguars,17,114,82,901,5,120.1,205.1,161.1,7.1,12.1,9.5
Carolina Panthers,17,121,79,798,6,118.1,200.1,157.6,6.9,11.8,9.3
Los Angeles Rams,17,126,90,878,4,115.8,205.8,160.8,6.8,12.1,9.5
New York Giants,17,132,88,804,6,112.4,202.4,156.4,6.6,11.9,9.2
Minnesota Vikings,17,106,68,811,5,111.1,181.1,147.1,6.5,10.7,8.7
Pittsburgh Steelers,17,120,81,811,4,103.1,185.1,143.6,6.1,10.9,8.4
San Francisco 49ers,17,90,65,582,6,92.2,159.2,124.7,5.4,9.4,7.3
New Orleans Saints,17,122,74,714,3,90.3,164.3,127.3,5.3,9.7,7.5
Chicago Bears,17,93,60,582,5,88.2,148.2,118.2,5.2,8.7,7
Tennessee Titans,17,110,67,612,3,80.1,148.1,113.6,4.7,8.7,6.7
Buffalo Bills,17,92,54,629,3,79.3,135.1,106.1,4.7,7.9,6.2
Denver Broncos,17,103,68,665,2,78.5,146.5,112.5,4.6,8.6,6.6
New England Patriots,17,86,46,440,4,77.2,123.2,100.2,4.5,7.2,5.9
Arizona Cardinals,17,94,59,611,2,73.2,136.1,102.6,4.3,8,6
