,,Rushing,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Day▼,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Josh Allen,56,10,Thu,1,1,2022-09-08,26-110,BUF,@,LAR,W 31-10,10,56,5.6,1,4,QB,1-7
2,Devin Singletary,48,8,Thu,1,1,2022-09-08,25-005,BUF,@,LAR,W 31-10,8,48,6,0,2,RB,3-74
3,Darrell Henderson,47,13,Thu,1,1,2022-09-08,25-020,LAR,,BUF,L 10-31,13,47,3.6,0,2,RB,3-70
4,Zack Moss,15,6,Thu,1,1,2022-09-08,24-267,BUF,@,LAR,W 31-10,6,15,2.5,0,1,RB,3-86
5,Brandon Powell,3,1,Thu,1,1,2022-09-08,26-361,LAR,,BUF,L 10-31,1,3,3,0,0,WR,
6,James Cook,2,1,Thu,1,1,2022-09-08,22-348,BUF,@,LAR,W 31-10,1,2,2,0,,RB,2-63
7,Matthew Stafford,2,1,Thu,1,1,2022-09-08,34-213,LAR,,BUF,L 10-31,1,2,2,0,1,QB,1-1
8,Cam Akers,0,3,Thu,1,1,2022-09-08,23-078,LAR,,BUF,L 10-31,3,0,0,0,,RB,2-52
9,Saquon Barkley,164,18,Sun,1,1,2022-09-11,25-214,NYG,@,TEN,W 21-20,18,164,9.1,1,7,RB,1-2
10,Jonathan Taylor,161,31,Sun,1,1,2022-09-11,23-235,IND,@,HOU,T 20-20 (OT),31,161,5.2,1,9,RB,2-41
11,D'Andre Swift,144,15,Sun,1,1,2022-09-11,23-240,DET,,PHI,L 35-38,15,144,9.6,1,5,RB,2-35
12,Nick Chubb,141,22,Sun,1,1,2022-09-11,26-258,CLE,@,CAR,W 26-24,22,141,6.4,0,6,RB,2-35
13,Leonard Fournette,127,21,Sun,1,1,2022-09-11,27-236,TAM,@,DAL,W 19-3,21,127,6,0,6,RB,1-4
14,Cordarrelle Patterson,120,22,Sun,1,1,2022-09-11,31-178,ATL,,NOR,L 26-27,22,120,5.5,1,10,RB,1-29
15,Miles Sanders,96,13,Sun,1,1,2022-09-11,25-133,PHI,@,DET,W 38-35,13,96,7.4,1,4,RB,2-53
16,Dalvin Cook,90,20,Sun,1,1,2022-09-11,27-032,MIN,,GNB,W 23-7,20,90,4.5,0,5,RB,2-41
17,Jalen Hurts,90,17,Sun,1,1,2022-09-11,24-035,PHI,@,DET,W 38-35,17,90,5.3,1,6,QB,2-53
18,Derrick Henry,82,21,Sun,1,1,2022-09-11,28-250,TEN,,NYG,L 20-21,21,82,3.9,0,1,RB,2-45
19,Joe Mixon,82,27,Sun,1,1,2022-09-11,26-049,CIN,,PIT,L 20-23 (OT),27,82,3,0,2,RB,2-48
20,Taysom Hill,81,4,Sun,1,1,2022-09-11,32-019,NOR,@,ATL,W 27-26,4,81,20.3,1,2,TE,
21,Marcus Mariota,72,12,Sun,1,1,2022-09-11,28-316,ATL,,NOR,L 26-27,12,72,6,1,3,QB,1-2
22,James Robinson,66,11,Sun,1,1,2022-09-11,24-033,JAX,@,WAS,L 22-28,11,66,6,1,3,RB,
23,Isiah Pacheco,62,12,Sun,1,1,2022-09-11,22-193,KAN,@,ARI,W 44-21,12,62,5.2,1,4,RB,7-251
24,Michael Carter,60,10,Sun,1,1,2022-09-11,23-127,NYJ,,BAL,L 9-24,10,60,6,0,2,RB,4-107
25,Antonio Gibson,58,14,Sun,1,1,2022-09-11,24-080,WAS,,JAX,W 28-22,14,58,4.1,0,5,RB,3-66
26,Josh Jacobs,57,10,Sun,1,1,2022-09-11,24-212,LVR,@,LAC,L 19-24,10,57,5.7,0,1,RB,1-24
27,Trey Lance,54,13,Sun,1,1,2022-09-11,22-125,SFO,@,CHI,L 10-19,13,54,4.2,0,6,QB,1-3
28,Ezekiel Elliott,52,10,Sun,1,1,2022-09-11,27-051,DAL,,TAM,L 3-19,10,52,5.2,0,3,RB,1-4
29,Deebo Samuel,52,8,Sun,1,1,2022-09-11,26-239,SFO,@,CHI,L 10-19,8,52,6.5,1,3,WR,2-36
30,Aaron Jones,49,5,Sun,1,1,2022-09-11,27-283,GNB,@,MIN,L 7-23,5,49,9.8,0,3,RB,5-182
31,Damien Harris,48,9,Sun,1,1,2022-09-11,25-212,NWE,@,MIA,L 7-20,9,48,5.3,0,2,RB,3-87
32,Joe Burrow,47,6,Sun,1,1,2022-09-11,25-275,CIN,,PIT,L 20-23 (OT),6,47,7.8,0,3,QB,1-1
33,Travis Etienne,47,4,Sun,1,1,2022-09-11,23-228,JAX,@,WAS,L 22-28,4,47,11.8,0,2,RB,1-25
34,Kareem Hunt,46,11,Sun,1,1,2022-09-11,27-036,CLE,@,CAR,W 26-24,11,46,4.2,1,3,RB,3-86
35,AJ Dillon,45,10,Sun,1,1,2022-09-11,24-132,GNB,@,MIN,L 7-23,10,45,4.5,1,4,RB,2-62
36,Khalil Herbert,45,9,Sun,1,1,2022-09-11,24-143,CHI,,SFO,W 19-10,9,45,5,1,3,RB,6-217
37,Clyde Edwards-Helaire,42,7,Sun,1,1,2022-09-11,23-153,KAN,@,ARI,W 44-21,7,42,6,0,1,RB,1-32
38,Elijah Mitchell,41,6,Sun,1,1,2022-09-11,24-132,SFO,@,CHI,L 10-19,6,41,6.8,0,2,RB,6-194
39,Rex Burkhead,40,14,Sun,1,1,2022-09-11,32-071,HOU,,IND,T 20-20 (OT),14,40,2.9,0,1,RB,6-190
40,Alvin Kamara,39,9,Sun,1,1,2022-09-11,27-048,NOR,@,ATL,W 27-26,9,39,4.3,0,1,RB,3-67
41,Chase Claypool,36,6,Sun,1,1,2022-09-11,24-066,PIT,@,CIN,W 23-20 (OT),6,36,6,0,2,WR,2-49
42,Austin Ekeler,36,14,Sun,1,1,2022-09-11,27-117,LAC,,LVR,W 24-19,14,36,2.6,0,0,RB,
43,Alexander Mattison,36,8,Sun,1,1,2022-09-11,24-084,MIN,,GNB,W 23-7,8,36,4.5,0,2,RB,3-102
