player,pos,age,g_number,week,team,opp,home_away,yds_rec,tgt_rec,yds_2_rec,tgt_2_rec,rec_rec,yds_3_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,yds_rus,att_rus,yds_2_rus,att_2_rus,yds_3_rus,y_a_rus,td_rus,att_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_3_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,points
Justin Jefferson,WR,23-150,9,10,MIN,BUF,away,193,16,193,16,10,193,19.3,1,62.5,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3
CeeDee Lamb,WR,23-219,9,10,DAL,GNB,away,150,15,150,15,11,150,13.6,2,73.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5
Stefon Diggs,WR,28-349,9,10,BUF,MIN,home,128,16,128,16,12,128,10.7,0,75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8
Terry McLaurin,WR,27-060,10,10,WAS,PHI,away,128,11,128,11,8,128,16,0,72.7,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8
Davante Adams,WR,29-324,9,10,LVR,IND,home,126,14,126,14,9,126,14,1,64.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1
Amon Ra St Brown,WR,23-020,9,10,DET,CHI,away,119,11,119,11,10,119,11.9,0,90.9,10.8,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.099999999999998
Nick Westbrook Ikhine,WR,25-237,9,10,TEN,DEN,home,119,8,119,8,5,119,23.8,2,62.5,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4
Christian Watson,WR,23-185,10,10,GNB,DAL,home,107,8,107,8,4,107,26.8,3,50,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.700000000000003
Christian Kirk,WR,25-360,10,10,JAX,KAN,away,105,12,105,12,9,105,11.7,2,75,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Donovan Peoples Jones,WR,23-267,9,10,CLE,MIA,away,99,9,99,9,5,99,19.8,0,55.6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4
DeAndre Hopkins,WR,30-160,10,10,ARI,LAR,away,98,14,98,14,10,98,9.8,0,71.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8
Darius Slayton,WR,25-305,9,10,NYG,HOU,home,95,4,95,4,3,95,31.7,1,75,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Rondale Moore,WR,22-157,10,10,ARI,LAR,away,94,13,94,13,9,94,10.4,0,69.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9
Gabriel Davis,WR,23-226,9,10,BUF,MIN,home,93,10,93,10,6,93,15.5,1,60,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3
Brandon Aiyuk,WR,24-241,9,10,SFO,LAC,home,84,7,84,7,6,84,14,0,85.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4
Travis Kelce,TE,33-039,9,10,KAN,JAX,home,81,7,81,7,6,81,13.5,1,85.7,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1
Quez Watkins,WR,24-158,9,10,PHI,WAS,home,80,4,80,4,4,80,20,0,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Parris Campbell,WR,25-120,10,10,IND,LVR,away,76,9,76,9,7,76,10.9,1,77.8,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1
Cole Kmet,TE,23-248,10,10,CHI,DET,home,74,7,74,7,4,74,18.5,2,57.1,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4
Tyler Higbee,TE,29-316,9,10,LAR,ARI,home,73,8,73,8,8,73,9.1,0,100,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3
Jordan Akins,TE,30-208,9,10,HOU,NYG,away,72,3,72,3,3,72,24,0,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
Chris Godwin,WR,26-259,10,10,TAM,SEA,home,71,8,71,8,6,71,11.8,1,75,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1
D K Metcalf,WR,24-334,10,10,SEA,TAM,away,71,9,71,9,6,71,11.8,0,66.7,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.100000000000001
Chris Moore,WR,29-150,9,10,HOU,NYG,away,70,6,70,6,3,70,23.3,0,50,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
Zay Jones,WR,27-228,10,10,JAX,KAN,away,68,10,68,10,8,68,8.5,0,80,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8
Courtland Sutton,WR,27-034,9,10,DEN,TEN,away,66,11,66,11,6,66,11,0,54.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.600000000000001
Jalen Virgil,WR,24-123,9,10,DEN,TEN,away,66,1,66,1,1,66,66,1,100,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.100000000000001
Jaylen Waddle,WR,23-353,10,10,MIA,CLE,home,66,5,66,5,4,66,16.5,0,80,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.600000000000001
DeAndre Carter,WR,29-217,9,10,LAC,SFO,away,64,4,64,4,4,64,16,1,100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4
Diontae Johnson,WR,26-131,9,10,PIT,NOR,home,63,5,63,5,4,63,15.8,0,80,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
Trent Sherfield,WR,26-260,10,10,MIA,CLE,home,63,5,63,5,4,63,15.8,1,80,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
Kendall Hinton,WR,25-267,9,10,DEN,TEN,away,62,5,62,5,4,62,15.5,0,80,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
Marquez Valdes Scantling,WR,28-034,9,10,KAN,JAX,home,60,4,60,4,3,60,20,1,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
Damiere Byrd,WR,29-287,10,10,ATL,CAR,away,58,4,58,4,3,58,19.3,0,75,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.300000000000001
Kylen Granson,TE,24-231,10,10,IND,LVR,away,57,4,57,4,4,57,14.3,0,100,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
Dawson Knox,TE,25-364,9,10,BUF,MIN,home,57,6,57,6,4,57,14.3,0,66.7,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
Darnell Mooney,WR,25-015,10,10,CHI,DET,home,57,4,57,4,4,57,14.3,0,100,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7
Kadarius Toney,WR,23-290,9,10,KAN,JAX,home,57,5,57,5,4,57,14.3,1,80,11.4,33,2,33,2,33,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Jerick McKinnon,RB,30-194,9,10,KAN,JAX,home,56,8,56,8,6,56,9.3,0,75,7,2,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
Kenneth Walker III,RB,22-024,10,10,SEA,TAM,away,55,8,55,8,6,55,9.2,0,75,6.9,17,10,17,10,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2
Mike Evans,WR,29-084,10,10,TAM,SEA,home,54,6,54,6,5,54,10.8,0,83.3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9
Dalton Schultz,TE,26-125,9,10,DAL,GNB,away,54,8,54,8,6,54,9,1,75,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4
Julio Jones,WR,33-278,10,10,TAM,SEA,home,53,5,53,5,3,53,17.7,1,60,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8
Michael Pittman Jr,WR,25-039,10,10,IND,LVR,away,53,9,53,9,7,53,7.6,0,77.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8
Nico Collins,WR,23-239,9,10,HOU,NYG,away,49,10,49,10,5,49,9.8,1,50,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4
Adam Thielen,WR,32-083,9,10,MIN,BUF,away,49,7,49,7,5,49,9.8,0,71.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4
Kalif Raymond,WR,28-097,9,10,DET,CHI,away,47,3,47,3,3,47,15.7,0,100,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
Sammy Watkins,WR,29-152,10,10,GNB,DAL,home,47,3,47,3,3,47,15.7,0,100,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
Melvin Gordon,RB,29-214,9,10,DEN,TEN,away,46,6,46,6,4,46,11.5,0,66.7,7.7,24,7,24,7,24,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
T J Hockenson,TE,25-133,9,10,MIN,BUF,away,45,10,45,10,7,45,6.4,0,70,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Alec Ingold,FB,26-127,10,10,MIA,CLE,home,45,4,45,4,4,45,11.3,1,100,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
Allen Lazard,WR,26-337,10,10,GNB,DAL,home,45,4,45,4,3,45,15,0,75,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tyreek Hill,WR,28-257,10,10,MIA,CLE,home,44,6,44,6,5,44,8.8,1,83.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
Juwan Johnson,TE,26-061,10,10,NOR,PIT,away,44,7,44,7,5,44,8.8,1,71.4,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9
Tom Kennedy,WR,26-107,9,10,DET,CHI,away,44,2,44,2,1,44,44,0,50,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9
Josh Palmer,WR,24-052,9,10,LAC,SFO,away,44,8,44,8,3,44,14.7,0,37.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9
