,,Passing,,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Rate,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Andy Dalton,149.6,25,149.6,Sun,11,11,2022-11-20,35-022,NOR,,LAR,W 27-20,21,25,4,84,260,3,0,,12,0,149.6,3,32,10.71,10.4,12.8,10.29,12.4,QB,2-35
2,Dak Prescott,139.3,25,139.3,Sun,10,11,2022-11-20,29-114,DAL,@,MIN,W 40-3,22,25,3,88,276,2,0,,8,0,139.3,0,0,0,11,12.64,12.64,12.5,QB,4-135
3,Jimmy Garoppolo,131.9,29,131.9,Mon,10,11,2022-11-21,31-019,SFO,@,ARI,W 38-10,20,29,9,69,228,4,0,,13.8,0,131.9,0,0,0,7.9,10.62,10.62,11.4,QB,2-62
4,Ryan Tannehill,127.3,27,127.3,Thu,10,11,2022-11-17,34-113,TEN,@,GNB,W 27-17,22,27,5,81.5,333,2,1,,7.4,3.7,127.3,3,17,10,12.3,12.15,10.37,15.1,QB,1-8
5,Matthew Stafford,126.9,18,126.9,Sun,10,11,2022-11-20,34-286,LAR,@,NOR,L 20-27,11,18,7,61.1,159,2,0,,11.1,0,126.9,1,9,5.26,8.8,11.06,10,14.5,QB,1-1
6,Patrick Mahomes,120.8,34,120.8,Sun,10,11,2022-11-20,27-064,KAN,@,LAC,W 30-27,20,34,14,58.8,329,3,0,,8.8,0,120.8,1,7,2.86,9.7,11.44,10.91,16.5,QB,1-10
7,Derrick Henry,118.7,2,118.7,Thu,10,11,2022-11-17,28-317,TEN,@,GNB,W 27-17,2,2,0,100,4,1,0,,50,0,118.7,0,0,0,2,12,12,2,RB,2-45
8,Jacoby Brissett,116.3,41,116.3,Sun,10,11,2022-11-20,29-344,CLE,@,BUF,L 23-31,28,41,13,68.3,324,3,0,,7.3,0,116.3,1,8,2.38,7.9,9.37,8.95,11.6,QB,3-91
9,Justin Herbert,113.2,30,113.2,Sun,10,11,2022-11-20,24-255,LAC,,KAN,L 27-30,23,30,7,76.7,280,2,1,,6.7,3.3,113.2,5,30,14.29,9.3,9.17,7,12.2,QB,1-6
10,Jalen Hurts,107.1,25,107.1,Sun,10,11,2022-11-20,24-105,PHI,@,IND,W 17-16,18,25,7,72,190,1,0,,4,0,107.1,3,17,10.71,7.6,8.4,6.89,10.6,QB,2-53
11,Derek Carr,106.5,37,106.5,Sun,10,11,2022-11-20,31-237,LVR,@,DEN,W 22-16 (OT),23,37,14,62.2,307,2,0,,5.4,0,106.5,1,9,2.63,8.3,9.38,8.89,13.3,QB,2-36
12,Mac Jones,104.6,27,104.6,Sun,10,11,2022-11-20,24-076,NWE,,NYJ,W 10-3,23,27,4,85.2,246,0,0,,0,0,104.6,6,48,18.18,9.1,9.11,6,10.7,QB,1-15
13,Joe Burrow,104.1,39,104.1,Sun,10,11,2022-11-20,25-345,CIN,@,PIT,W 37-30,24,39,15,61.5,355,4,2,,10.3,5.1,104.1,2,9,4.88,9.1,8.85,8.2,14.8,QB,1-1
14,Josh Allen,100.4,27,100.4,Sun,10,11,2022-11-20,26-183,BUF,,CLE,W 31-23,18,27,9,66.7,197,1,0,,3.7,0,100.4,2,11,6.9,7.3,8.04,7.1,10.9,QB,1-7
15,Marcus Mariota,100.2,20,100.2,Sun,11,11,2022-11-20,29-021,ATL,,CHI,W 27-24,13,20,7,65,131,1,0,,5,0,100.2,0,0,0,6.6,7.55,7.55,10.1,QB,1-2
16,Russell Wilson,99.8,31,99.8,Sun,10,11,2022-11-20,33-356,DEN,,LVR,L 16-22 (OT),24,31,7,77.4,247,0,0,,0,0,99.8,3,21,8.82,8,7.97,6.65,10.3,QB,3-75
17,Aaron Rodgers,94.7,39,94.7,Thu,11,11,2022-11-17,38-350,GNB,,TEN,L 17-27,24,39,15,61.5,227,2,0,,5.1,0,94.7,1,12,2.5,5.8,6.85,6.38,9.5,QB,1-24
18,Nick Mullens,93.7,7,93.7,Sun,10,11,2022-11-20,27-244,MIN,,DAL,L 3-40,5,7,2,71.4,54,0,0,,0,0,93.7,0,0,0,7.7,7.71,7.71,10.8,QB,
19,Cooper Rush,92.5,5,92.5,Sun,10,11,2022-11-20,28-364,DAL,@,MIN,W 40-3,4,5,1,80,31,0,0,,0,0,92.5,0,0,0,6.2,6.2,6.2,7.8,QB,
20,Matt Ryan,89.7,32,89.7,Sun,11,11,2022-11-20,37-187,IND,,PHI,L 16-17,23,32,9,71.9,213,0,0,,0,0,89.7,4,28,11.11,6.7,6.66,5.14,9.3,QB,1-3
21,Kenny Pickett,85.9,42,85.9,Sun,10,11,2022-11-20,24-167,PIT,,CIN,L 30-37,25,42,17,59.5,265,1,0,,2.4,0,85.9,2,16,4.55,6.3,6.79,6.11,10.6,QB,1-20
22,Justin Fields,84,21,84,Sun,11,11,2022-11-20,23-260,CHI,@,ATL,L 24-27,14,21,7,66.7,153,1,1,,4.8,4.8,84,4,25,16,7.3,6.1,4.12,10.9,QB,1-11
23,Jared Goff,83,26,83,Sun,10,11,2022-11-20,28-037,DET,@,NYG,W 31-18,17,26,9,65.4,165,0,0,,0,0,83,0,0,0,6.3,6.35,6.35,9.7,QB,1-1
24,Taylor Heinicke,77.9,27,77.9,Sun,11,11,2022-11-20,29-250,WAS,@,HOU,W 23-10,15,27,12,55.6,191,0,0,,0,0,77.9,0,0,0,7.1,7.07,7.07,12.7,QB,
