,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,Tee Higgins,148,13,148,Sun,10,11,2022-11-20,23-306,CIN,@,PIT,W 37-30,13,9,148,16.4,0,69.2,11.4,8,WR,2-33
2,Davante Adams,141,13,141,Sun,10,11,2022-11-20,29-331,LVR,@,DEN,W 22-16 (OT),13,7,141,20.1,2,53.8,10.8,6,WR,2-53
3,Demarcus Robinson,128,9,128,Sun,10,11,2022-11-20,28-060,BAL,,CAR,W 13-3,9,9,128,14.2,0,100,14.2,6,WR,4-126
4,Travis Kelce,115,10,115,Sun,10,11,2022-11-20,33-046,KAN,@,LAC,W 30-27,10,6,115,19.2,3,60,11.5,5,TE,3-63
5,Amari Cooper,113,12,113,Sun,10,11,2022-11-20,28-156,CLE,@,BUF,L 23-31,12,8,113,14.1,2,66.7,9.4,7,WR,1-4
6,Treylon Burks,111,8,111,Thu,10,11,2022-11-17,22-239,TEN,@,GNB,W 27-17,8,7,111,15.9,0,87.5,13.9,3,WR,1-18
7,Tony Pollard,109,6,109,Sun,10,11,2022-11-20,25-204,DAL,@,MIN,W 40-3,6,6,109,18.2,2,100,18.2,4,RB,4-128
8,Josh Palmer,106,10,106,Sun,10,11,2022-11-20,24-059,LAC,,KAN,L 27-30,10,8,106,13.3,2,80,10.6,5,WR,3-77
9,Greg Dortch,103,10,103,Mon,11,11,2022-11-21,24-176,ARI,,SFO,L 10-38,10,9,103,11.4,0,90,10.3,3,WR,
10,Chris Olave,102,6,102,Sun,11,11,2022-11-20,22-146,NOR,,LAR,W 27-20,6,5,102,20.4,1,83.3,17,4,WR,1-11
11,Wan'Dale Robinson,100,13,100,Sun,10,11,2022-11-20,21-319,NYG,,DET,L 18-31,13,9,100,11.1,0,69.2,7.7,5,WR,2-43
12,Keenan Allen,94,8,94,Sun,10,11,2022-11-20,30-207,LAC,,KAN,L 27-30,8,5,94,18.8,0,62.5,11.8,3,WR,3-76
13,DeAndre Hopkins,91,12,91,Mon,11,11,2022-11-21,30-168,ARI,,SFO,L 10-38,12,9,91,10.1,0,75,7.6,6,WR,1-27
14,Darius Slayton,86,10,86,Sun,10,11,2022-11-20,25-312,NYG,,DET,L 18-31,10,5,86,17.2,0,50,8.6,4,WR,5-171
15,George Kittle,84,6,84,Mon,10,11,2022-11-21,29-043,SFO,@,ARI,W 38-10,6,4,84,21,2,66.7,14,3,TE,5-146
16,George Pickens,83,6,83,Sun,10,11,2022-11-20,21-261,PIT,,CIN,L 30-37,6,4,83,20.8,1,66.7,13.8,3,WR,2-52
17,Courtland Sutton,80,7,80,Sun,10,11,2022-11-20,27-041,DEN,,LVR,L 16-22 (OT),7,5,80,16,0,71.4,11.4,4,WR,2-40
18,Pat Freiermuth,79,12,79,Sun,10,11,2022-11-20,24-026,PIT,,CIN,L 30-37,12,8,79,9.9,0,66.7,6.6,4,TE,2-55
19,DeVonta Smith,78,9,78,Sun,10,11,2022-11-20,24-006,PHI,@,IND,W 17-16,9,6,78,13,0,66.7,8.7,2,WR,1-10
20,Terrace Marshall Jr.,76,6,76,Sun,11,11,2022-11-20,22-164,CAR,@,BAL,L 3-13,6,3,76,25.3,0,50,12.7,3,WR,2-59
21,Amon-Ra St. Brown,76,8,76,Sun,10,11,2022-11-20,23-027,DET,@,NYG,W 31-18,8,7,76,10.9,0,87.5,9.5,3,WR,4-112
22,Michael Pittman Jr.,75,7,75,Sun,11,11,2022-11-20,25-046,IND,,PHI,L 16-17,7,6,75,12.5,0,85.7,10.7,3,WR,2-34
23,Randall Cobb,73,6,73,Thu,11,11,2022-11-17,32-087,GNB,,TEN,L 17-27,6,6,73,12.2,0,100,12.2,3,WR,2-64
24,Brandin Cooks,70,6,70,Sun,10,11,2022-11-20,29-056,HOU,,WAS,L 10-23,6,3,70,23.3,0,50,11.7,3,WR,1-20
25,Dawson Knox,70,7,70,Sun,10,11,2022-11-20,26-006,BUF,,CLE,W 31-23,7,7,70,10,0,100,10,3,TE,3-96
