,,Passing,,,,,,,,,,,Passing,,,,,,,,,,,,,,,,,,,
Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Pos.,Draft
1,Lamar Jackson,142.6,29,Sun,2,2,2022-09-18,25-254,BAL,,MIA,L 38-42,21,29,8,72.4,318,3,0,,10.3,0,142.6,0,0,0,11,13.03,13.03,15.1,QB,1-32
2,Aaron Rodgers,131.1,25,Sun,2,2,2022-09-18,38-290,GNB,,CHI,W 27-10,19,25,6,76,234,2,0,,8,0,131.1,3,23,10.71,9.4,10.96,8.96,12.3,QB,1-24
3,Josh Allen,128.9,38,Mon,2,2,2022-09-19,26-121,BUF,,TEN,W 41-7,26,38,12,68.4,317,4,0,,10.5,0,128.9,1,4,2.56,8.3,10.45,10.08,12.2,QB,1-7
4,Tua Tagovailoa,124.1,50,Sun,2,2,2022-09-18,24-200,MIA,@,BAL,W 42-38,36,50,14,72,469,6,2,,12,4,124.1,1,8,1.96,9.4,9.98,9.63,13,QB,1-5
5,Jared Goff,121.7,34,Sun,2,2,2022-09-18,27-339,DET,,WAS,W 36-27,20,34,14,58.8,256,4,0,,11.8,0,121.7,3,22,8.11,7.5,9.88,8.49,12.8,QB,1-1
6,Trevor Lawrence,121.5,30,Sun,2,2,2022-09-18,22-347,JAX,,IND,W 24-0,25,30,5,83.3,235,2,0,,6.7,0,121.5,0,0,0,7.8,9.17,9.17,9.4,QB,1-1
7,Braden Mann,118.7,1,Sun,2,2,2022-09-18,24-298,NYJ,@,CLE,W 31-30,1,1,0,100,17,0,0,,0,0,118.7,0,0,0,17,17,17,17,P,6-191
8,Joe Flacco,110.7,44,Sun,2,2,2022-09-18,37-245,NYJ,@,CLE,W 31-30,26,44,18,59.1,307,4,0,,9.1,0,110.7,2,15,4.35,7,8.8,8.09,11.8,QB,1-18
9,Jalen Hurts,108.7,31,Mon,2,2,2022-09-19,24-043,PHI,,MIN,W 24-7,26,31,5,83.9,333,1,1,,3.2,3.2,108.7,3,10,8.82,10.7,9.94,8.76,12.8,QB,2-53
10,Patrick Mahomes,106.2,35,Thu,2,2,2022-09-15,26-363,KAN,,LAC,W 27-24,24,35,11,68.6,235,2,0,,5.7,0,106.2,1,9,2.78,6.7,7.86,7.39,9.8,QB,1-10
11,Matthew Stafford,100.7,36,Sun,2,2,2022-09-18,34-223,LAR,,ATL,W 31-27,27,36,9,75,272,3,2,,8.3,5.6,100.7,1,0,2.7,7.6,6.72,6.54,10.1,QB,1-1
12,Justin Herbert,100.5,48,Thu,2,2,2022-09-15,24-189,LAC,@,KAN,L 24-27,33,48,15,68.8,334,3,1,1,6.3,2.1,100.5,2,8,4,7,7.27,6.82,10.1,QB,1-6
13,Jimmy Garoppolo,100.1,21,Sun,2,2,2022-09-18,30-320,SFO,,SEA,W 27-7,13,21,8,61.9,154,1,0,,4.8,0,100.1,1,0,4.55,7.3,8.29,7.91,11.8,QB,2-62
14,Carson Wentz,99.6,46,Sun,2,2,2022-09-18,29-262,WAS,@,DET,L 27-36,30,46,16,65.2,337,3,1,,6.5,2.2,99.6,5,29,9.8,7.3,7.65,6.33,11.2,QB,1-2
15,Derek Carr,99.5,39,Sun,2,2,2022-09-18,31-174,LVR,,ARI,L 23-29 (OT),25,39,14,64.1,252,2,0,,5.1,0,99.5,1,8,2.5,6.5,7.49,7.1,10.1,QB,2-36
16,Trey Lance,99.3,3,Sun,2,2,2022-09-18,22-132,SFO,,SEA,W 27-7,2,3,1,66.7,30,0,0,,0,0,99.3,0,0,0,10,10,10,15,QB,1-3
17,Jacoby Brissett,98.9,27,Sun,2,2,2022-09-18,29-281,CLE,,NYJ,L 30-31,22,27,5,81.5,229,1,1,,3.7,3.7,98.9,1,8,3.57,8.5,7.56,7,10.4,QB,3-91
18,Cooper Rush,95.5,31,Sun,2,2,2022-09-18,28-301,DAL,,CIN,W 20-17,19,31,12,61.3,235,1,0,,3.2,0,95.5,1,5,3.13,7.6,8.23,7.81,12.4,QB,
19,Joe Burrow,89.9,36,Sun,2,2,2022-09-18,25-282,CIN,@,DAL,L 17-20,24,36,12,66.7,199,1,0,,2.8,0,89.9,6,34,14.29,5.5,6.08,4.4,8.3,QB,1-1
20,Daniel Jones,87.4,34,Sun,2,2,2022-09-18,25-114,NYG,,CAR,W 19-16,22,34,12,64.7,176,1,0,,2.9,0,87.4,3,14,8.11,5.2,5.76,4.92,8,QB,1-6
21,Marcus Mariota,81.6,26,Sun,2,2,2022-09-18,28-323,ATL,@,LAR,L 27-31,17,26,9,65.4,196,2,2,,7.7,7.7,81.6,3,25,10.34,7.5,5.62,4.17,11.5,QB,1-2
22,Geno Smith,80.1,30,Sun,2,2,2022-09-18,31-343,SEA,@,SFO,L 7-27,24,30,6,80,197,0,1,,0,3.3,80.1,2,17,6.25,6.6,5.07,4.22,8.2,QB,2-39
23,Mac Jones,79.7,35,Sun,2,2,2022-09-18,24-013,NWE,@,PIT,W 17-14,21,35,14,60,252,1,1,,2.9,2.9,79.7,0,0,0,7.2,6.49,6.49,12,QB,1-15
24,Tom Brady,79.3,34,Sun,2,2,2022-09-18,45-046,TAM,@,NOR,W 20-10,18,34,16,52.9,190,1,0,,2.9,0,79.3,1,2,2.86,5.6,6.18,5.94,10.6,QB,6-199
25,Kyler Murray,76.7,49,Sun,2,2,2022-09-18,25-042,ARI,@,LVR,W 29-23 (OT),31,49,18,63.3,277,1,1,,2,2,76.7,1,7,2,5.7,5.14,4.9,8.9,QB,1-1
26,Baker Mayfield,74.6,29,Sun,2,2,2022-09-18,27-157,CAR,@,NYG,L 16-19,14,29,15,48.3,145,1,0,,3.4,0,74.6,2,16,6.45,5,5.69,4.81,10.4,QB,1-1
27,Mitchell Trubisky,73.8,33,Sun,2,2,2022-09-18,28-029,PIT,,NWE,L 14-17,21,33,12,63.6,168,1,1,,3,3,73.8,3,16,8.33,5.1,4.33,3.53,8,QB,1-2
28,Russell Wilson,66.5,31,Sun,2,2,2022-09-18,33-293,DEN,,HOU,W 16-9,14,31,17,45.2,219,1,1,,3.2,3.2,66.5,3,18,8.82,7.1,6.26,5.18,15.6,QB,3-75
29,Davis Mills,63.2,38,Sun,2,2,2022-09-18,23-332,HOU,@,DEN,L 9-16,19,38,19,50,177,0,0,,0,0,63.2,3,23,7.32,4.7,4.66,3.76,9.3,QB,3-67
30,Jameis Winston,55.8,40,Sun,2,2,2022-09-18,28-255,NOR,,TAM,L 10-20,25,40,15,62.5,236,1,3,1,2.5,7.5,55.8,6,28,13.04,5.9,3.03,2.02,9.4,QB,1-1
31,Kirk Cousins,51.1,46,Mon,2,2,2022-09-19,34-031,MIN,@,PHI,L 7-24,27,46,19,58.7,221,1,3,,2.2,6.5,51.1,2,19,4.17,4.8,2.3,1.81,8.2,QB,4-102
32,Justin Fields,43.8,11,Sun,2,2,2022-09-18,23-197,CHI,@,GNB,L 10-27,7,11,4,63.6,70,0,1,,0,9.1,43.8,3,22,21.43,6.4,2.27,0.21,10,QB,1-11
33,Case Keenum,39.6,2,Mon,2,2,2022-09-19,34-214,BUF,,TEN,W 41-7,0,2,2,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,,QB,
34,Malik Willis,39.6,4,Mon,2,2,2022-09-19,23-117,TEN,@,BUF,L 7-41,1,4,3,25,6,0,0,,0,0,39.6,0,0,0,1.5,1.5,1.5,6,QB,3-86
35,Matt Ryan,34,30,Sun,2,2,2022-09-18,37-124,IND,@,JAX,L 0-24,16,30,14,53.3,195,0,3,,0,10,34,5,31,14.29,6.5,2,0.83,12.2,QB,1-3
36,Ryan Tannehill,32.7,20,Mon,2,2,2022-09-19,34-054,TEN,@,BUF,L 7-41,11,20,9,55,117,0,2,1,0,10,32.7,2,16,9.09,5.9,1.35,0.5,10.6,QB,1-8
37,DeeJay Dallas,0,1,Sun,2,2,2022-09-18,24-002,SEA,@,SFO,L 7-27,0,1,1,0,0,0,1,,0,100,0,0,0,0,0,-45,-45,,RB,4-144
