,,Receiving,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
1,T.J. Hockenson,179,12,Sun,4,4,2022-10-02,25-091,DET,,SEA,L 45-48,12,8,179,22.4,2,66.7,14.9,7,TE,1-8
2,Tyreek Hill,160,14,Thu,4,4,2022-09-29,28-212,MIA,@,CIN,L 15-27,14,10,160,16,0,71.4,11.4,6,WR,5-165
3,D.K. Metcalf,149,10,Sun,4,4,2022-10-02,24-292,SEA,@,DET,W 48-45,10,7,149,21.3,0,70,14.9,5,WR,2-64
4,Justin Jefferson,147,13,Sun,4,4,2022-10-02,23-108,MIN,@,NOR,W 28-25,13,10,147,14.7,0,76.9,11.3,5,WR,1-22
5,Tee Higgins,124,9,Thu,4,4,2022-09-29,23-254,CIN,,MIA,W 27-15,9,7,124,17.7,1,77.8,13.8,4,WR,2-33
6,Cooper Kupp,122,19,Mon,4,4,2022-10-03,29-110,LAR,@,SFO,L 9-24,19,14,122,8.7,0,73.7,6.4,9,WR,3-69
7,Mike Williams,120,11,Sun,4,4,2022-10-02,27-363,LAC,@,HOU,W 34-24,11,7,120,17.1,0,63.6,10.9,5,WR,1-7
8,Allen Lazard,116,8,Sun,4,4,2022-10-02,26-295,GNB,,NWE,W 27-24 (OT),8,6,116,19.3,0,75,14.5,5,WR,
9,Deebo Samuel,115,7,Mon,4,4,2022-10-03,26-261,SFO,,LAR,W 24-9,7,6,115,19.2,1,85.7,16.4,3,WR,2-36
10,Mike Evans,103,10,Sun,4,4,2022-10-02,29-042,TAM,,KAN,L 31-41,10,8,103,12.9,2,80,10.3,6,WR,1-7
11,George Pickens,102,8,Sun,4,4,2022-10-02,21-212,PIT,,NYJ,L 20-24,8,6,102,17,0,75,12.8,4,WR,2-52
12,Davante Adams,101,13,Sun,4,4,2022-10-02,29-282,LVR,,DEN,W 32-23,13,9,101,11.2,0,69.2,7.8,4,WR,2-53
13,CeeDee Lamb,97,8,Sun,4,4,2022-10-02,23-177,DAL,,WAS,W 25-10,8,6,97,16.2,1,75,12.1,4,WR,1-17
14,A.J. Brown,95,7,Sun,4,4,2022-10-02,25-094,PHI,,JAX,W 29-21,7,5,95,19,0,71.4,13.6,4,WR,2-51
15,Darnell Mooney,94,5,Sun,4,4,2022-10-02,24-338,CHI,@,NYG,L 12-20,5,4,94,23.5,0,80,18.8,3,WR,5-173
