,,Rushing,,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Att,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Pos.,Draft
1,Kenyan Drake,119,10,119,Sun,6,6,2022-10-16,28-263,BAL,@,NYG,L 20-24,10,119,11.9,1,6,RB,3-73
2,Breece Hall,116,20,116,Sun,6,6,2022-10-16,21-138,NYJ,@,GNB,W 27-10,20,116,5.8,1,6,RB,2-36
3,Kyler Murray,100,10,100,Sun,6,6,2022-10-16,25-070,ARI,@,SEA,L 9-19,10,100,10,0,4,QB,1-1
4,Alvin Kamara,99,19,99,Sun,6,6,2022-10-16,27-083,NOR,,CIN,L 26-30,19,99,5.2,0,3,RB,3-67
5,Kenneth Walker III,97,21,97,Sun,6,6,2022-10-16,21-361,SEA,,ARI,W 19-9,21,97,4.6,1,5,RB,2-41
6,Justin Fields,88,12,88,Thu,6,6,2022-10-13,23-222,CHI,,WAS,L 7-12,12,88,7.3,0,4,QB,1-11
7,Travis Etienne,86,10,86,Sun,6,6,2022-10-16,23-263,JAX,@,IND,L 27-34,10,86,8.6,0,3,RB,1-25
8,Devin Singletary,85,17,85,Sun,6,6,2022-10-16,25-043,BUF,@,KAN,W 24-20,17,85,5,0,3,RB,3-74
9,Saquon Barkley,83,22,83,Sun,6,6,2022-10-16,25-249,NYG,,BAL,W 24-20,22,83,3.8,1,4,RB,1-2
10,Ezekiel Elliott,81,13,81,Sun,6,6,2022-10-16,27-086,DAL,@,PHI,L 17-26,13,81,6.2,1,6,RB,1-4
11,Dalvin Cook,77,13,77,Sun,6,6,2022-10-16,27-067,MIN,@,MIA,W 24-16,13,77,5.9,1,1,RB,2-41
12,Lamar Jackson,77,7,77,Sun,6,6,2022-10-16,25-282,BAL,@,NYG,L 20-24,7,77,11,0,4,QB,1-32
13,Rhamondre Stevenson,76,19,76,Sun,6,6,2022-10-16,24-235,NWE,@,CLE,W 38-15,19,76,4,2,2,RB,4-120
14,Khalil Herbert,74,7,74,Thu,6,6,2022-10-13,24-175,CHI,,WAS,L 7-12,7,74,10.6,0,1,RB,6-217
15,Miles Sanders,71,18,71,Sun,6,6,2022-10-16,25-168,PHI,,DAL,W 26-17,18,71,3.9,1,4,RB,2-53
16,Christian McCaffrey,69,13,69,Sun,6,6,2022-10-16,26-131,CAR,@,LAR,L 10-24,13,69,5.3,0,2,RB,1-8
17,David Montgomery,67,15,67,Thu,6,6,2022-10-13,25-128,CHI,,WAS,L 7-12,15,67,4.5,0,3,RB,3-73
18,Latavius Murray,66,15,66,Mon,6,6,2022-10-17,32-272,DEN,@,LAC,L 16-19 (OT),15,66,4.4,0,2,RB,6-181
19,Leonard Fournette,63,21,63,Sun,6,6,2022-10-16,27-271,TAM,@,PIT,L 18-20,21,63,3,0,7,RB,1-4
20,Brian Robinson Jr.,60,17,60,Thu,6,6,2022-10-13,23-205,WAS,@,CHI,W 12-7,17,60,3.5,1,4,RB,3-98
21,Caleb Huntley,59,16,59,Sun,6,6,2022-10-16,24-031,ATL,,SFO,W 28-14,16,59,3.7,0,3,RB,
22,Jamycal Hasty,57,3,57,Sun,6,6,2022-10-16,26-034,JAX,@,IND,L 27-34,3,57,19,1,1,RB,
23,Nick Chubb,56,12,56,Sun,6,6,2022-10-16,26-293,CLE,,NWE,L 15-38,12,56,4.7,0,2,RB,2-35
24,James Robinson,54,12,54,Sun,6,6,2022-10-16,24-068,JAX,@,IND,L 27-34,12,54,4.5,0,3,RB,
25,Tyler Allgeier,51,15,51,Sun,6,6,2022-10-16,22-184,ATL,,SFO,W 28-14,15,51,3.4,0,2,RB,5-151
26,Marcus Mariota,50,6,50,Sun,6,6,2022-10-16,28-351,ATL,,SFO,W 28-14,6,50,8.3,1,4,QB,1-2
27,Raheem Mostert,49,14,49,Sun,6,6,2022-10-16,30-190,MIA,,MIN,L 16-24,14,49,3.5,0,2,RB,
28,Geno Smith,48,6,48,Sun,6,6,2022-10-16,32-006,SEA,,ARI,W 19-9,6,48,8,0,1,QB,2-39
29,Mark Ingram,46,9,46,Sun,6,6,2022-10-16,32-299,NOR,,CIN,L 26-30,9,46,5.1,0,3,RB,1-28
30,Joe Mixon,45,8,45,Sun,6,6,2022-10-16,26-084,CIN,@,NOR,W 30-26,8,45,5.6,0,5,RB,2-48
31,Tony Pollard,44,11,44,Sun,6,6,2022-10-16,25-169,DAL,@,PHI,L 17-26,11,44,4,0,2,RB,4-128
32,Rashid Shaheed,44,1,44,Sun,6,6,2022-10-16,24-046,NOR,,CIN,L 26-30,1,44,44,1,1,WR,
33,Darrell Henderson,43,12,43,Sun,6,6,2022-10-16,25-058,LAR,,CAR,W 24-10,12,43,3.6,1,2,RB,3-70
34,Najee Harris,42,14,42,Sun,6,6,2022-10-16,24-221,PIT,,TAM,W 20-18,14,42,3,0,1,RB,1-24
35,Deon Jackson,42,12,42,Sun,6,6,2022-10-16,23-240,IND,,JAX,W 34-27,12,42,3.5,1,4,RB,
36,Michael Carter,41,6,41,Sun,6,6,2022-10-16,23-162,NYJ,@,GNB,W 27-10,6,41,6.8,0,1,RB,4-107
37,AJ Dillon,41,10,41,Sun,6,6,2022-10-16,24-167,GNB,,NYJ,L 10-27,10,41,4.1,0,1,RB,2-62
38,Taysom Hill,39,5,39,Sun,6,6,2022-10-16,32-054,NOR,,CIN,L 26-30,5,39,7.8,0,2,TE,
39,Eno Benjamin,37,15,37,Sun,6,6,2022-10-16,23-186,ARI,@,SEA,L 9-19,15,37,2.5,0,1,RB,7-222
40,Austin Ekeler,36,14,36,Mon,6,6,2022-10-17,27-153,LAC,,DEN,W 19-16 (OT),14,36,2.6,1,4,RB,
41,Antonio Gibson,35,5,35,Thu,6,6,2022-10-13,24-112,WAS,@,CHI,W 12-7,5,35,7,0,2,RB,3-66
42,Clyde Edwards-Helaire,33,9,33,Sun,6,6,2022-10-16,23-188,KAN,,BUF,L 20-24,9,33,3.7,0,2,RB,1-32
43,Josh Allen,32,12,32,Sun,6,6,2022-10-16,26-148,BUF,@,KAN,W 24-20,12,32,2.7,0,4,QB,1-7
44,Sony Michel,28,8,28,Mon,6,6,2022-10-17,27-242,LAC,,DEN,W 19-16 (OT),8,28,3.5,0,3,RB,1-31
45,Jalen Hurts,27,9,27,Sun,6,6,2022-10-16,24-070,PHI,,DAL,W 26-17,9,27,3,0,3,QB,2-53
46,Joe Burrow,25,4,25,Sun,6,6,2022-10-16,25-310,CIN,@,NOR,W 30-26,4,25,6.3,1,2,QB,1-1
47,Kenneth Gainwell,25,5,25,Sun,6,6,2022-10-16,23-216,PHI,,DAL,W 26-17,5,25,5,0,1,RB,5-150
48,Jeff Wilson,25,7,25,Sun,6,6,2022-10-16,26-334,SFO,@,ATL,L 14-28,7,25,3.6,0,2,RB,
49,Trevor Lawrence,23,6,23,Sun,6,6,2022-10-16,23-010,JAX,@,IND,L 27-34,6,23,3.8,2,5,QB,1-1
50,Russell Wilson,23,4,23,Mon,6,6,2022-10-17,33-322,DEN,@,LAC,L 16-19 (OT),4,23,5.8,0,1,QB,3-75
51,Patrick Mahomes,21,4,21,Sun,6,6,2022-10-16,27-029,KAN,,BUF,L 20-24,4,21,5.3,0,2,QB,1-10
52,Braxton Berrios,20,1,20,Sun,6,6,2022-10-16,27-010,NYJ,@,GNB,W 27-10,1,20,20,1,1,WR,6-210
53,J.D. McKissic,20,2,20,Thu,6,6,2022-10-13,29-059,WAS,@,CHI,W 12-7,2,20,10,0,1,RB,
54,Jamal Agnew,19,1,19,Sun,6,6,2022-10-16,27-196,JAX,@,IND,L 27-34,1,19,19,0,1,WR,5-165
55,D'Onta Foreman,19,5,19,Sun,6,6,2022-10-16,26-175,CAR,@,LAR,L 10-24,5,19,3.8,0,,RB,3-89
56,Aaron Jones,19,9,19,Sun,6,6,2022-10-16,27-318,GNB,,NYJ,L 10-27,9,19,2.1,0,2,RB,5-182
57,Cooper Kupp,17,2,17,Sun,6,6,2022-10-16,29-123,LAR,,CAR,W 24-10,2,17,8.5,0,2,WR,3-69
58,Ben Skowronek,17,1,17,Sun,6,6,2022-10-16,25-111,LAR,,CAR,W 24-10,1,17,17,1,1,WR,7-249
59,Kenny Pickett,16,2,16,Sun,6,6,2022-10-16,24-132,PIT,,TAM,W 20-18,2,16,8,0,0,QB,1-20
60,Boston Scott,16,6,16,Sun,6,6,2022-10-16,27-172,PHI,,DAL,W 26-17,6,16,2.7,0,1,RB,6-201
61,Tyquan Thornton,16,3,16,Sun,6,6,2022-10-16,22-070,NWE,@,CLE,W 38-15,3,16,5.3,1,1,WR,2-50
62,Malcolm Brown,15,7,15,Sun,6,6,2022-10-16,29-154,LAR,,CAR,W 24-10,7,15,2.1,0,0,RB,
63,J.K. Dobbins,15,7,15,Sun,6,6,2022-10-16,23-303,BAL,@,NYG,L 20-24,7,15,2.1,0,,RB,2-55
64,Brandon Powell,13,3,13,Sun,6,6,2022-10-16,27-034,LAR,,CAR,W 24-10,3,13,4.3,0,0,WR,
65,Kareem Hunt,12,4,12,Sun,6,6,2022-10-16,27-071,CLE,,NWE,L 15-38,4,12,3,0,,RB,3-86
66,Rachaad White,12,4,12,Sun,6,6,2022-10-16,23-277,TAM,@,PIT,L 18-20,4,12,3,0,0,RB,3-91
67,Jimmy Garoppolo,11,3,11,Sun,6,6,2022-10-16,30-348,SFO,@,ATL,L 14-28,3,11,3.7,0,2,QB,2-62
68,Terry McLaurin,11,2,11,Thu,6,6,2022-10-13,27-028,WAS,@,CHI,W 12-7,2,11,5.5,0,0,WR,3-76
69,Deebo Samuel,11,2,11,Sun,6,6,2022-10-16,26-274,SFO,@,ATL,L 14-28,2,11,5.5,0,0,WR,2-36
