player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rate_pas,att_pas,day_pas,g_number_pas,date_pas,age_pas,team_pas,home_away_pas,opp_pas,result_pas,cmp_pas,att_2_pas,inc_pas,cmp_percent_pas,yds_pas,td_pas,int_pas,pick6_pas,td_percent_pas,int_percent_pas,rate_2_pas,sk_pas,yds_2_pas,sk_percent_pas,y_a_pas,ay_a_pas,any_a_pas,y_c_pas,pos_pas,draft_pas,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Josh Allen,QB,MIA,24.561571665199672,38,0.6463571490842019,3,BUF,at MIA,3 out of 5 stars,A+,25.1,94.7,63,Sun,3,NA,26-127,BUF,away,MIA,L 19-21,42,63,21,66.7,400,2,0,0,3.2,0,94.7,4,18,5.97,6.3,6.98,6.3,9.5,QB,1-7,25,47,8,Sun,3,26-127,BUF,away,MIA,L 19-21,8,47,5.9,0,5,QB,1-7,28.7,31.6
Justin Herbert,QB,JAX,20.131318460248973,40,0.5032829615062243,3,LAC,vs. JAC,4 out of 5 stars,C-,15.9,74,45,Sun,3,NA,24-199,LAC,home,JAX,L 10-38,25,45,20,55.6,297,1,1,0,2.2,2.2,74,1,11,2.17,6.6,6.04,5.67,11.9,QB,1-6,83,7,1,Sun,3,24-199,LAC,home,JAX,L 10-38,1,7,7,0,1,QB,1-6,15.579999999999998,23.9
Tom Brady,QB,GB,15.041370731306875,27,0.5570878048632176,3,TB,vs. GB,3 out of 5 stars,C,16.4,98.4,42,Sun,3,NA,45-053,TAM,home,GNB,L 12-14,31,42,11,73.8,271,1,0,0,2.4,0,98.4,3,20,6.67,6.5,6.93,6.02,8.7,QB,6-199,117,-1,1,Sun,3,45-053,TAM,home,GNB,L 12-14,1,-1,-1,0,0,QB,6-199,14.74,10.4
Aaron Rodgers,QB,TB,13.959659860367308,27,0.5170244392728632,3,GB,at TB,2 out of 5 stars,C,16.1,103.9,35,Sun,3,NA,38-297,GNB,away,TAM,W 14-12,27,35,8,77.1,255,2,1,0,5.7,2.9,103.9,1,7,2.78,7.3,7.14,6.75,9.4,QB,1-24,120,-1,1,Sun,3,38-297,GNB,away,TAM,W 14-12,1,-1,-1,0,0,QB,1-24,17.1,10.5
Matthew Stafford,QB,ARI,18.113080982838767,34,0.5327376759658461,3,LAR,at ARI,4 out of 5 stars,B,18.7,103.6,25,Sun,3,NA,34-230,LAR,away,ARI,W 20-12,18,25,7,72,249,0,0,0,0,0,103.6,1,10,3.85,10,9.96,9.19,13.8,QB,1-1,103,2,3,Sun,3,34-230,LAR,away,ARI,W 20-12,3,2,0.7,0,1,QB,1-1,10.16,15.8
Joe Burrow,QB,NYJ,17.41390734678844,33,0.5276941620238922,3,CIN,at NYJ,5 out of 5 stars,B,19.2,114.9,36,Sun,3,NA,25-289,CIN,away,NYJ,W 27-12,23,36,13,63.9,275,3,0,0,8.3,0,114.9,2,14,5.26,7.6,9.31,8.45,12,QB,1-1,106,0,5,Sun,3,25-289,CIN,away,NYJ,W 27-12,5,0,0,0,1,QB,1-1,23,19.4
Jalen Hurts,QB,WAS,24.59963770261138,34,0.7235187559591582,3,PHI,at WAS,5 out of 5 stars,A,24.1,123.5,35,Sun,3,NA,24-049,PHI,away,WAS,W 24-8,22,35,13,62.9,340,3,0,0,8.6,0,123.5,3,12,7.89,9.7,11.43,10.21,15.5,QB,2-53,56,20,9,Sun,3,24-049,PHI,away,WAS,W 24-8,9,20,2.2,0,1,QB,2-53,27.6,29.4
Kyler Murray,QB,LAR,20.566352554642144,35,0.5876100729897755,3,ARI,vs. LAR,2 out of 5 stars,B+,20.6,77.8,58,Sun,3,NA,25-049,ARI,home,LAR,L 12-20,37,58,21,63.8,314,0,0,0,0,0,77.8,2,19,3.33,5.4,5.41,4.92,8.5,QB,1-1,82,8,2,Sun,3,25-049,ARI,home,LAR,L 12-20,2,8,4,0,0,QB,1-1,13.360000000000001,23.8
Kirk Cousins,QB,DET,16.929396948987403,34,0.4979234396761001,3,MIN,vs. DET,4 out of 5 stars,B+,19.9,93.5,41,Sun,3,NA,34-037,MIN,home,DET,W 28-24,24,41,17,58.5,260,2,0,0,4.9,0,93.5,1,10,2.38,6.3,7.32,6.9,10.8,QB,4-102,118,-1,1,Sun,3,34-037,MIN,home,DET,W 28-24,1,-1,-1,0,0,QB,4-102,18.3,15.5
Ryan Tannehill,QB,LV,15.953324244578749,24,0.6647218435241145,3,TEN,vs. LV,3 out of 5 stars,D,15.5,98.4,27,Sun,3,NA,34-060,TEN,home,LVR,W 24-22,19,27,8,70.4,264,1,1,0,3.7,3.7,98.4,1,12,3.57,9.8,8.85,8.11,13.9,QB,1-8,104,2,4,Sun,3,34-060,TEN,home,LVR,W 24-22,4,2,0.5,1,1,QB,1-8,19.759999999999998,11.1
