player,position,opponent,expected_points,salary,ex_ppd,week,TEAM,OPP,MATCHUP,Start_Sit,Online_proj,rk_rec,yds_rec,tgt_rec,day_rec,g_number_rec,date_rec,age_rec,team_rec,home_away_rec,opp_rec,result_rec,tgt_2_rec,rec_rec,yds_2_rec,y_r_rec,td_rec,ctch_percent_rec,y_tgt_rec,x1_rec,pos_rec,draft_rec,rk_rus,yds_rus,att_rus,day_rus,g_number_rus,date_rus,age_rus,team_rus,home_away_rus,opp_rus,result_rus,att_2_rus,yds_2_rus,y_a_rus,td_rus,x1_rus,pos_rus,draft_rus,points,FPPG
Jonathan Taylor,RB,KC,17.043803063480667,39,0.4370205913712991,3,IND,vs. KC,3 out of 5 stars,A+,18.6,136,20,5,Sun,3,2022-09-25,23-249,IND,home,KAN,W 20-17,5,3,20,6.7,0,60,4,1,RB,2-41,17,71,21,NA,3,2022-09-25,23-249,IND,home,KAN,W 20-17,21,71,3.4,0,3,NA,2-41,10.600000000000001,16.2
Austin Ekeler,RB,JAX,14.685285533461691,26,0.5648186743639112,3,LAC,vs. JAC,4 out of 5 stars,A,16.4,59,48,8,Sun,3,2022-09-25,27-131,LAC,home,JAX,L 10-38,8,8,48,6,0,100,6,2,RB,0,94,5,4,NA,3,2022-09-25,27-131,LAC,home,JAX,L 10-38,4,5,1.3,0,0,NA,0,9.3,11.6
Joe Mixon,RB,NYJ,16.740858562780396,29,0.577270984923462,3,CIN,at NYJ,5 out of 5 stars,A,15.8,159,14,7,Sun,3,2022-09-25,26-063,CIN,away,NYJ,W 27-12,7,3,14,4.7,0,42.9,2,0,RB,2-48,49,24,12,NA,3,2022-09-25,26-063,CIN,away,NYJ,W 27-12,12,24,2,0,2,NA,2-48,5.300000000000001,13.9
Najee Harris,RB,CLE,14.880479097218304,22,0.6763854135099229,3,PIT,at CLE,3 out of 5 stars,B+,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,56,15,NA,3,2022-09-22,24-197,PIT,away,CLE,L 17-29,15,56,3.7,1,5,NA,1-24,11.600000000000001,10.9
James Conner,RB,LAR,12.46977400363589,25,0.4987909601454356,3,ARI,vs. LAR,2 out of 5 stars,C+,10.6,140,18,5,Sun,3,2022-09-25,27-143,ARI,home,LAR,L 12-20,5,3,18,6,0,60,3.6,0,RB,3-105,35,39,13,NA,3,2022-09-25,27-143,ARI,home,LAR,L 12-20,13,39,3,0,7,NA,3-105,7.2,10
Ezekiel Elliott,RB,NYG,9.550868145534778,20,0.47754340727673894,3,DAL,at NYG,4 out of 5 stars,B-,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,73,15,NA,3,2022-09-26,27-066,DAL,away,NYG,W 23-16,15,73,4.9,1,4,NA,1-4,13.3,5.4
Nick Chubb,RB,PIT,15.97519323709076,26,0.6144305091188754,3,CLE,vs. PIT,3 out of 5 stars,A,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113,23,NA,3,2022-09-22,26-269,CLE,home,PIT,W 29-17,23,113,4.9,1,4,NA,2-35,17.3,21
Damien Harris,RB,BAL,10.626038575101786,17,0.6250610926530462,3,NE,vs. BAL,3 out of 5 stars,C+,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,11,NA,3,2022-09-25,25-226,NWE,home,BAL,L 26-37,11,41,3.7,1,3,NA,3-87,10.100000000000001,11.2
Alvin Kamara,RB,CAR,11.962614713436754,29,0.4125039556357501,3,NO,at CAR,3 out of 5 stars,B,11.7,171,12,7,Sun,3,2022-09-25,27-062,NOR,away,CAR,L 14-22,7,2,12,6,0,28.6,1.7,0,RB,3-67,21,61,15,NA,3,2022-09-25,27-062,NOR,away,CAR,L 14-22,15,61,4.1,0,3,NA,3-67,8.3,6.1
Antonio Gibson,RB,PHI,15.327193274217194,19,0.8066943828535366,3,WAS,vs. PHI,4 out of 5 stars,B+,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,12,NA,3,2022-09-25,24-094,WAS,home,PHI,L 8-24,12,38,3.2,1,3,NA,3-66,9.8,13.8
Leonard Fournette,RB,GB,14.087603962398704,27,0.5217631097184705,3,TB,vs. GB,5 out of 5 stars,A,14.9,87,35,6,Sun,3,2022-09-25,27-250,TAM,home,GNB,L 12-14,6,5,35,7,0,83.3,5.8,3,RB,1-4,39,35,12,NA,3,2022-09-25,27-250,TAM,home,GNB,L 12-14,12,35,2.9,0,1,NA,1-4,9.5,11.6
Cordarrelle Patterson,RB,SEA,14.218692772848645,15,0.947912851523243,3,ATL,at SEA,3 out of 5 stars,B,11.2,174,12,1,Sun,3,2022-09-25,31-192,ATL,away,SEA,W 27-23,1,1,12,12,0,100,12,1,RB,1-29,2,141,17,NA,3,2022-09-25,31-192,ATL,away,SEA,W 27-23,17,141,8.3,1,5,NA,1-29,21.8,12.6
Aaron Jones,RB,TB,13.939149942886914,20,0.6969574971443457,3,GB,at TB,3 out of 5 stars,A-,13.1,179,11,4,Sun,3,2022-09-25,27-297,GNB,away,TAM,W 14-12,4,3,11,3.7,0,75,2.8,0,RB,5-182,38,36,12,NA,3,2022-09-25,27-297,GNB,away,TAM,W 14-12,12,36,3,0,1,NA,5-182,6.2,19.8
Derrick Henry,RB,LV,15.027125774968948,35,0.4293464507133985,3,TEN,vs. LV,3 out of 5 stars,A,13.9,48,58,6,Sun,3,2022-09-25,28-264,TEN,home,LVR,W 24-22,6,5,58,11.6,0,83.3,9.7,2,RB,2-45,10,85,20,NA,3,2022-09-25,28-264,TEN,home,LVR,W 24-22,20,85,4.3,1,5,NA,2-45,22.8,8.4
Dalvin Cook,RB,DET,13.60322551500234,31,0.4388137262903981,3,MIN,vs. DET,5 out of 5 stars,A+,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,96,17,NA,3,2022-09-25,27-046,MIN,home,DET,W 28-24,17,96,5.6,1,7,NA,2-41,15.600000000000001,9
Josh Jacobs,RB,TEN,12.712903234504584,18,0.7062724019169214,3,LV,at TEN,2 out of 5 stars,C,9,97,31,5,Sun,3,2022-09-25,24-226,LVR,away,TEN,L 22-24,5,5,31,6.2,0,100,6.2,1,RB,1-24,18,66,13,NA,3,2022-09-25,24-226,LVR,away,TEN,L 22-24,13,66,5.1,0,4,NA,1-24,12.2,8.2
Javonte Williams,RB,SF,11.481061165130145,22,0.5218664165968246,3,DEN,vs. SF,2 out of 5 stars,A-,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,15,NA,3,2022-09-25,22-153,DEN,home,SFO,W 11-10,15,58,3.9,0,1,NA,2-35,5.800000000000001,11.6
Devin Singletary,RB,MIA,7.4230442735375135,15,0.49486961823583425,3,BUF,at MIA,3 out of 5 stars,C,9.4,28,78,11,Sun,3,2022-09-25,25-022,BUF,away,MIA,L 19-21,11,9,78,8.7,1,81.8,7.1,4,RB,3-74,70,13,9,NA,3,2022-09-25,25-022,BUF,away,MIA,L 19-21,9,13,1.4,0,1,NA,3-74,19.6,5.2
David Montgomery,RB,HOU,15.384587377053798,18,0.854699298725211,3,CHI,vs. HOU,4 out of 5 stars,B+,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,11,3,NA,3,2022-09-25,25-110,CHI,home,HOU,W 23-20,3,11,3.7,0,0,NA,3-73,1.1,10.6
AJ Dillon,RB,TB,10.725606024856866,18,0.595867001380937,3,GB,at TB,3 out of 5 stars,B,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,32,12,NA,3,2022-09-25,24-146,GNB,away,TAM,W 14-12,12,32,2.7,0,2,NA,2-62,3.2,12.4
