defense,TEAM,OPP,MATCHUP,START/SIT,proj_points,ID_yah,First Name_yah,Last Name_yah,ID + Name_yah,Position_yah,Team_yah,Opponent_yah,Game_yah,Time_yah,Salary_yah,FPPG_yah,Injury Status_yah,Starting_yah
San Francisco 49ers,SF,at LV,3 out of 5 stars,A,7.7,nfl.t.25$nfl.g.2449013,San Francisco,49ers,nfl.t.25$nfl.g.2449013 - San Francisco 49ers,DEF,SF,LV,SF@LV,4:05PM EST,19,9.7,NA,NA
Dallas Cowboys,DAL,at TEN,3 out of 5 stars,A,7.6,nfl.t.6$nfl.g.2448964,Dallas,Cowboys,nfl.t.6$nfl.g.2448964 - Dallas Cowboys,DEF,DAL,TEN,DAL@TEN,8:15PM EST,20,10.2,NA,NA
Kansas City Chiefs,KC,vs. DEN,5 out of 5 stars,A-,7.3,nfl.t.12$nfl.g.2448990,Kansas City,Chiefs,nfl.t.12$nfl.g.2448990 - Kansas City Chiefs,DEF,KC,DEN,DEN@KC,1:00PM EST,17,6.6,NA,NA
Baltimore Ravens,BAL,vs. PIT,3 out of 5 stars,B+,7.3,nfl.t.33$nfl.g.2448975,Baltimore,Ravens,nfl.t.33$nfl.g.2448975 - Baltimore Ravens,DEF,BAL,PIT,PIT@BAL,8:20PM EST,18,8.5,NA,NA
Philadelphia Eagles,PHI,vs. NO,4 out of 5 stars,B+,7.3,nfl.t.21$nfl.g.2449004,Philadelphia,Eagles,nfl.t.21$nfl.g.2449004 - Philadelphia Eagles,DEF,PHI,NO,NO@PHI,1:00PM EST,20,9.4,NA,NA
New York Giants,NYG,vs. IND,5 out of 5 stars,B,7.1,nfl.t.19$nfl.g.2449000,New York,Giants,nfl.t.19$nfl.g.2449000 - New York Giants,DEF,NYG,IND,IND@NYG,1:00PM EST,16,5.9,NA,NA
Los Angeles Chargers,LAC,vs. LAR,5 out of 5 stars,B,6.9,nfl.t.24$nfl.g.2449023,Los Angeles,Chargers,nfl.t.24$nfl.g.2449023 - Los Angeles Chargers,DEF,LAC,LAR,LAR@LAC,4:25PM EST,13,5.9,NA,NA
New England Patriots,NE,vs. MIA,2 out of 5 stars,B,6.9,nfl.t.17$nfl.g.2448995,New England,Patriots,nfl.t.17$nfl.g.2448995 - New England Patriots,DEF,NE,MIA,MIA@NE,1:00PM EST,19,11.3,NA,NA
Tampa Bay Buccaneers,TB,vs. CAR,3 out of 5 stars,B,6.9,nfl.t.27$nfl.g.2449006,Tampa Bay,Buccaneers,nfl.t.27$nfl.g.2449006 - Tampa Bay Buccaneers,DEF,TB,CAR,CAR@TB,1:00PM EST,14,6.2,NA,NA
Jacksonville Jaguars,JAC,at HOU,5 out of 5 stars,B-,6.8,nfl.t.30$nfl.g.2448985,Jacksonville,Jaguars,nfl.t.30$nfl.g.2448985 - Jacksonville Jaguars,DEF,JAX,HOU,JAX@HOU,1:00PM EST,18,7.1,NA,NA
New York Jets,NYJ,at SEA,3 out of 5 stars,B-,6.7,nfl.t.20$nfl.g.2449017,New York,Jets,nfl.t.20$nfl.g.2449017 - New York Jets,DEF,NYJ,SEA,NYJ@SEA,4:05PM EST,17,7.3,NA,NA
Washington Commanders,WAS,vs. CLE,3 out of 5 stars,C+,6.6,nfl.t.28$nfl.g.2449010,Washington,Commanders,nfl.t.28$nfl.g.2449010 - Washington Commanders,DEF,WAS,CLE,CLE@WAS,1:00PM EST,17,6.5,NA,NA
Buffalo Bills,BUF,at CIN,2 out of 5 stars,C,6.6,nfl.t.2$nfl.g.2449026,Buffalo,Bills,nfl.t.2$nfl.g.2449026 - Buffalo Bills,DEF,BUF,CIN,BUF@CIN,8:30PM EST,16,8.6,NA,NA
Cleveland Browns,CLE,at WAS,4 out of 5 stars,C,6.5,nfl.t.5$nfl.g.2449010,Cleveland,Browns,nfl.t.5$nfl.g.2449010 - Cleveland Browns,DEF,CLE,WAS,CLE@WAS,1:00PM EST,16,6.3,NA,NA
Detroit Lions,DET,vs. CHI,4 out of 5 stars,C,6.5,nfl.t.8$nfl.g.2448979,Detroit,Lions,nfl.t.8$nfl.g.2448979 - Detroit Lions,DEF,DET,CHI,CHI@DET,1:00PM EST,15,5.1,NA,NA
Pittsburgh Steelers,PIT,at BAL,2 out of 5 stars,C,6.4,nfl.t.23$nfl.g.2448975,Pittsburgh,Steelers,nfl.t.23$nfl.g.2448975 - Pittsburgh Steelers,DEF,PIT,BAL,PIT@BAL,8:20PM EST,11,5.9,NA,NA
