player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Josh Allen,QB,BUF,CIN,Away,23.206565014356283,37,0.6272044598474671,22.352235734794693,0.6041144793187755,25.2,2 out of 5 stars,A+
Justin Herbert,QB,LAC,LAR,Home,17.690726758051458,33,0.5360826290318623,16.829609654359228,0.509988171344219,19.7,3 out of 5 stars,B+
Tom Brady,QB,TB,CAR,Home,16.662480076264423,26,0.6408646183178625,16.603542966092036,0.6385978063881552,16.8,3 out of 5 stars,C+
Patrick Mahomes,QB,KC,DEN,Home,23.545551212315225,37,0.6363662489814925,23.47935887473604,0.6345772668847578,23.7,1 out of 5 stars,A
Aaron Rodgers,QB,GB,MIN,Home,16.029292002266747,27,0.5936774815654351,15.35613143180964,0.5687456085855422,17.6,3 out of 5 stars,B
Dak Prescott,QB,DAL,TEN,Away,17.70947803074991,33,0.536650849416664,17.24211147249987,0.5224882264393901,18.8,3 out of 5 stars,B+
Joe Burrow,QB,CIN,BUF,Home,21.321594581157804,34,0.6271057229752295,21.587992258796863,0.6349409487881431,20.7,2 out of 5 stars,A-
Kirk Cousins,QB,MIN,GB,Away,17.021858459595585,29,0.5869606365377787,16.688369227993697,0.5754610078618516,17.8,3 out of 5 stars,B
Carson Wentz,QB,WAS,CLE,Home,14.009862651948264,23,0.6091244631281854,14.35694664564038,0.6242150715495818,13.2,3 out of 5 stars,F
Russell Wilson,QB,DEN,KC,Away,14.474233688537213,25,0.5789693475414885,14.248905269338875,0.569956210773555,15,4 out of 5 stars,D+
Mac Jones,QB,NE,MIA,Home,13.234466208446499,23,0.5754115742802826,12.649237440637854,0.5499668452451241,14.6,3 out of 5 stars,D
Taylor Heinicke,QB,WAS,CLE,Home,10.744102782315345,23,0.467134903578928,13.891575403307638,0.6039815392742451,3.4,3 out of 5 stars,F
Teddy Bridgewater,QB,MIA,NE,Away,10.699034623826392,20,0.5349517311913197,9.15576374832342,0.457788187416171,14.3,3 out of 5 stars,D
Trevor Lawrence,QB,JAC,HOU,Away,17.48351442970527,31,0.5639843364421054,17.219306328150388,0.5554614944564641,18.1,2 out of 5 stars,B
Jared Goff,QB,DET,CHI,Home,16.99285922133985,30,0.5664286407113283,16.389798887628356,0.5463266295876118,18.4,4 out of 5 stars,B
Baker Mayfield,QB,LAR,LAC,Away,11.51706088541854,22,0.5235027675190245,10.881515550597914,0.4946143432089961,13,4 out of 5 stars,F
Daniel Jones,QB,NYG,IND,Home,17.40939559506539,30,0.5803131865021797,17.413422278664843,0.5804474092888281,17.4,4 out of 5 stars,B-
Sam Darnold,QB,CAR,TB,Away,14.806452582734455,22,0.6730205719424752,15.15207511819208,0.6887306871905491,14,4 out of 5 stars,D-
Davis Mills,QB,HOU,JAX,Home,12.932176015881378,22,0.5878261825400627,13.031680022687684,0.5923490919403492,12.7,4 out of 5 stars,F
Justin Fields,QB,CHI,DET,Away,19.566267525517873,41,0.477226037207753,18.48038217931125,0.450741028763689,22.1,5 out of 5 stars,A-
Andy Dalton,QB,NO,PHI,Away,12.336926629208085,21,0.5874726966289564,12.395609470297265,0.5902671176332029,12.2,1 out of 5 stars,F
Tyler Huntley,QB,BAL,PIT,Home,10.769719724275484,20,0.5384859862137742,9.556742463250693,0.47783712316253457,13.6,4 out of 5 stars,D-
Geno Smith,QB,SEA,NYJ,Home,17.65036295817683,28,0.6303701056491725,18.143375654538332,0.6479777019477976,16.5,2 out of 5 stars,C
Mike White,QB,NYJ,SEA,Away,15.208118085772728,29,0.5244178650266458,14.9973115511039,0.5171486741759965,15.7,4 out of 5 stars,C
Nick Foles,QB,IND,NYG,Away,6.148488235358963,24,0.25618700980662346,3.7264117647985184,0.15526715686660494,11.8,2 out of 5 stars,F
David Blough,QB,ARI,ATL,Away,5.058679517601723,20,0.25293397588008615,2.340970739431033,0.11704853697155164,11.4,5 out of 5 stars,F
Kenny Pickett,QB,PIT,BAL,Away,11.280590445999188,21,0.5371709736190089,10.629414922855984,0.5061626153740945,12.8,3 out of 5 stars,F
Brock Purdy,QB,SF,LV,Away,11.0456808,29,0.3808855448275862,8.879544,0.30619117241379307,16.1,5 out of 5 stars,C
Deshaun Watson,QB,CLE,WAS,Away,12.378291297998139,24,0.5157621374165892,11.126130425711628,0.46358876773798446,15.3,3 out of 5 stars,C-
Desmond Ridder,QB,ATL,ARI,Home,9.05286827750933,21,0.4310889655956823,7.575526110727614,0.3607393386060768,12.5,3 out of 5 stars,F
Joshua Dobbs,QB,TEN,DAL,Home,5.998146819483871,20,0.2999073409741936,7.111638313548387,0.35558191567741937,3.4,2 out of 5 stars,F
Jeff Driskel,QB,HOU,JAX,Home,4.265193586062992,20,0.2132596793031496,4.635990837232845,0.23179954186164223,3.4,4 out of 5 stars,F
Jarrett Stidham,QB,LV,SF,Home,5.003007089999999,20,0.25015035449999995,2.5614386999999996,0.12807193499999997,10.7,2 out of 5 stars,F
