player,Position_yah,TEAM,Opponent_yah,home_away,combined_projection,Salary_yah,combined_fppd,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Jonathan Taylor,RB,IND,JAX,Home,14.294202739552519,34,0.4204177276338976,13.734575342217886,0.4039580983005261,15.6,4 out of 5 stars,A
Austin Ekeler,RB,LAC,DEN,Home,17.535165847557792,32,0.547973932736181,17.593094067939703,0.5497841896231157,17.4,4 out of 5 stars,A+
Joe Mixon,RB,CIN,NO,Away,13.038790265203987,22,0.5926722847819994,12.54112895029141,0.5700513159223368,14.2,2 out of 5 stars,A-
Najee Harris,RB,PIT,TB,Home,11.217490913837347,15,0.7478327275891564,11.52498701976764,0.7683324679845094,10.5,3 out of 5 stars,B-
Ezekiel Elliott,RB,DAL,PHI,Away,8.416272951905384,19,0.4429617343108097,8.12324707415055,0.4275393196921342,9.1,3 out of 5 stars,C+
Nick Chubb,RB,CLE,NE,Home,16.88142006529315,36,0.4689283351470319,17.087742950418786,0.47465952640052184,16.4,3 out of 5 stars,A+
Damien Harris,RB,NE,CLE,Away,7.021231341885171,20,0.35106156709425856,9.60175905983596,0.4800879529917981,1,5 out of 5 stars,F
Alvin Kamara,RB,NO,CIN,Home,11.590044039559846,25,0.46360176158239386,10.385777199371208,0.4154310879748483,14.4,3 out of 5 stars,A
Antonio Gibson,RB,WAS,CHI,Away,10.110777389883562,15,0.6740518259922375,11.829681985547948,0.7886454657031965,6.1,3 out of 5 stars,C-
Leonard Fournette,RB,TB,PIT,Away,17.651597419729203,24,0.7354832258220502,18.57371059961315,0.7739046083172146,15.5,2 out of 5 stars,A
Aaron Jones,RB,GB,NYJ,Home,13.896891799382786,28,0.4963175642636709,13.72413114197541,0.4901475407848361,14.3,4 out of 5 stars,A-
Dalvin Cook,RB,MIN,MIA,Away,13.828497651520198,22,0.6285680750691,13.154996645028856,0.5979543929558571,15.4,3 out of 5 stars,A
Devin Singletary,RB,BUF,KC,Away,8.477500513745705,18,0.47097225076365024,7.696429305351007,0.4275794058528337,10.3,4 out of 5 stars,B-
David Montgomery,RB,CHI,WAS,Home,10.869755695650923,18,0.6038753164250513,10.342508136644176,0.5745837853691209,12.1,2 out of 5 stars,B
AJ Dillon,RB,GB,NYJ,Home,9.154483864802632,21,0.4359278030858396,9.092119806860902,0.43295808604099534,9.3,4 out of 5 stars,C+
James Robinson,RB,JAC,IND,Away,10.22406437908891,22,0.4647301990494959,10.662949112984158,0.4846795051356435,9.2,2 out of 5 stars,C+
Tony Pollard,RB,DAL,PHI,Away,9.238540641381418,17,0.54344356714008335,9.68362948768774,0.5696252639816317,8.2,3 out of 5 stars,C
Michael Carter,RB,NYJ,GB,Away,7.84624536608526,16,0.4903903353803287,8.208921951550371,0.5130576219718982,7,3 out of 5 stars,C
Saquon Barkley,RB,NYG,BAL,Home,18.269150377161935,39,0.4684397532605624,18.513071967374195,0.4746941530095947,17.7,4 out of 5 stars,A+
Rhamondre Stevenson,RB,NE,CLE,Away,12.545304937767291,26,0.48251172837566503,11.150435625381846,0.42886290866853255,15.8,5 out of 5 stars,A
Clyde Edwards Helaire,RB,KC,BUF,Home,12.335882687213577,19,0.6492569835375567,12.694118124590824,0.6681114802416224,11.5,2 out of 5 stars,B
Alexander Mattison,RB,MIN,MIA,Away,5.723571421883293,12,0.4769642851569411,5.562244888404706,0.4635204073670589,6.1,3 out of 5 stars,D+
Latavius Murray,RB,DEN,LAC,Away,13.040463715688265,15,0.869364247712551,17.129233879554665,1.1419489253036443,3.5,3 out of 5 stars,F
Miles Sanders,RB,PHI,DAL,Home,11.683428248975279,22,0.5310649204079673,11.419183212821828,0.5190537824009922,12.3,4 out of 5 stars,B+
Christian McCaffrey,RB,CAR,LAR,Away,16.705252433911937,31,0.5388791107713529,17.0503606198742,0.5500116328991678,15.9,2 out of 5 stars,A
Kenneth Gainwell,RB,PHI,DAL,Home,3.7957081062321434,12,0.3163090088526786,3.4938687231887773,0.2911557269323981,4.5,4 out of 5 stars,F
Kareem Hunt,RB,CLE,NE,Home,10.313676736584242,16,0.6446047960365151,10.705252480834632,0.6690782800521645,9.4,3 out of 5 stars,C+
J D McKissic,RB,WAS,CHI,Away,5.879239077072581,12,0.4899365897560484,5.741770110103688,0.47848084250864065,6.2,3 out of 5 stars,C-
Zack Moss,RB,BUF,KC,Away,2.8641954562428404,12,0.23868295468690337,2.248850651775487,0.1874042209812906,4.3,4 out of 5 stars,F
Nyheim Hines,RB,IND,JAX,Home,4.29276774195127,16,0.26829798387195436,3.518239631358957,0.2198899769599348,6.1,4 out of 5 stars,D+
Kenyan Drake,RB,BAL,NYG,Away,3.1113257517810524,11,0.2828477956164593,2.7733225025443606,0.2521202275040328,3.9,3 out of 5 stars,F
Khalil Herbert,RB,CHI,WAS,Home,8.929164017174376,17,0.525244942186728,10.27023431024911,0.6041314300146535,5.8,2 out of 5 stars,D+
Kyle Juszczyk,RB,SF,ATL,Away,3.754762564448519,11,0.3413420513135017,3.6925179492121702,0.3356834499283792,3.9,4 out of 5 stars,F
Phillip Lindsay,RB,IND,JAX,Home,6.0801445297012435,13,0.4677034253616341,7.14306361385892,0.5494664318353015,3.6,4 out of 5 stars,F
Tevin Coleman,RB,SF,ATL,Away,9.086375876260805,11,0.8260341705691641,10.79482268037258,0.9813475163975074,5.1,4 out of 5 stars,D-
DeeJay Dallas,RB,SEA,ARI,Home,2.3025127434181125,12,0.19187606195150939,1.2750182048830183,0.10625151707358488,4.7,4 out of 5 stars,F
Jerick McKinnon,RB,KC,BUF,Home,4.7232141444558335,11,0.4293831040414394,4.304591634936905,0.3913265122669914,5.7,2 out of 5 stars,D
Eno Benjamin,RB,ARI,SEA,Away,8.73340178615161,15,0.5822267857434407,7.719145408788015,0.514609693919201,11.1,4 out of 5 stars,B
Joshua Kelley,RB,LAC,DEN,Home,5.004187643136998,11,0.4549261493760907,4.877410918767141,0.4434009926151946,5.3,4 out of 5 stars,D
Deon Jackson,RB,IND,JAX,Home,2.82327796761017,13,0.21717522827770536,2.2332542394430996,0.1717887876494692,4.2,4 out of 5 stars,F
Mike Boone,RB,DEN,LAC,Away,4.022631631302668,14,0.28733083080733346,2.8323309018609546,0.20230935013292536,6.8,3 out of 5 stars,C-
Breece Hall,RB,NYJ,GB,Away,13.57403369603789,19,0.7144228261072574,13.477190994339846,0.7093258418073604,13.8,3 out of 5 stars,A-
Jeff Wilson Jr,RB,SF,ATL,Away,11.288507689546766,19,0.5941319836603561,10.855010985066809,0.5713163676350951,12.3,4 out of 5 stars,B+
Travis Etienne Jr,RB,JAC,IND,Away,7.256654225976776,19,0.38192916978825137,6.63807746568111,0.3493724981937426,8.7,2 out of 5 stars,C+
Raheem Mostert,RB,MIA,MIN,Home,10.120768993305553,20,0.5060384496652777,9.572527133293647,0.47862635666468234,11.4,4 out of 5 stars,B
Melvin Gordon III,RB,DEN,LAC,Away,8.250873554479202,20,0.4125436777239601,6.729819363541719,0.33649096817708596,11.8,3 out of 5 stars,B
Tyler Allgeier,RB,ATL,SF,Home,5.2582658106730005,12,0.43818881755608335,4.468951158104287,0.3724125965086906,7.1,1 out of 5 stars,C
Darrell Henderson Jr,RB,LAR,CAR,Home,8.451195392469344,14,0.6036568137478103,8.815993417813349,0.6297138155580964,7.6,3 out of 5 stars,C
Mark Ingram II,RB,NO,CIN,Home,3.7770407598835236,11,0.34336734180759304,3.4672010855478916,0.315200098686172,4.5,3 out of 5 stars,F
Kenneth Walker III,RB,SEA,ARI,Home,8.154989819727476,18,0.45305498998485977,6.378556885324966,0.35436427140694254,12.3,4 out of 5 stars,B+
J K Dobbins,RB,BAL,NYG,Away,8.885273359941428,19,0.4676459663127067,8.064676228487754,0.4244566436046186,10.8,3 out of 5 stars,B
Isiah Pacheco,RB,KC,BUF,Home,3.5520898774080556,11,0.3229172615825505,2.888699824868651,0.2626090749880592,5.1,2 out of 5 stars,D-
Rachaad White,RB,TB,PIT,Away,5.432788426808111,12,0.4527323689006759,4.846840609725874,0.4039033841438228,6.8,2 out of 5 stars,C-
Brian Robinson Jr,RB,WAS,CHI,Away,10.298137931937172,18,0.5721187739965096,10.983054188481676,0.6101696771378708,8.7,3 out of 5 stars,C
Gus Edwards,RB,BAL,NYG,Away,0.24,12,0.02,0,0,0.8,3 out of 5 stars,F
Mark Andrews,TE,BAL,NYG,Away,13.380608280710195,29,0.46140028554173085,12.900868972443138,0.4448575507739013,14.5,3 out of 5 stars,A
Cooper Kupp,WR,LAR,CAR,Home,18.326713451277733,39,0.46991572951994187,17.866733501825333,0.4581213718416752,19.4,3 out of 5 stars,A+
Travis Kelce,TE,KC,BUF,Home,14.536582171781438,27,0.5383919322882014,14.552260245402056,0.5389726016815576,14.5,2 out of 5 stars,A+
Deebo Samuel,WR,SF,ATL,Away,12.570954545454544,24,0.5237897727272727,11.401363636363635,0.4750568181818182,15.3,3 out of 5 stars,A+
Dalton Schultz,TE,DAL,PHI,Away,3.097889794230082,11,0.28162634493000743,2.711271134614403,0.24647919405585483,4,3 out of 5 stars,F
Ja Marr Chase,WR,CIN,NO,Away,12.411176439704676,30,0.4137058813234892,10.787394913863825,0.35957983046212744,16.2,2 out of 5 stars,A+
George Kittle,TE,SF,ATL,Away,6.812037540625,20,0.34060187703125,5.5314822008928575,0.2765741100446429,9.8,3 out of 5 stars,B
Justin Jefferson,WR,MIN,MIA,Away,17.350625406107863,37,0.468935821786699,17.67232200872552,0.47763032456014914,16.6,2 out of 5 stars,A+
Dawson Knox,TE,BUF,KC,Away,3.7452363277777767,15,0.24968242185185177,3.8503376111111103,0.25668917407407404,3.5,3 out of 5 stars,F
Mike Evans,WR,TB,PIT,Away,15.837744753966515,29,0.5461291294471212,16.196778219952165,0.5585095937914539,15,4 out of 5 stars,A
Hunter Henry,TE,NE,CLE,Away,3.6560616136308948,11,0.3323692376028086,2.6943737337584217,0.24494306670531107,5.9,2 out of 5 stars,D+
Tyreek Hill,WR,MIA,MIN,Home,14.811635874659096,29,0.5107460646434171,15.288051249512996,0.5271741810176894,13.7,3 out of 5 stars,A
Dallas Goedert,TE,PHI,DAL,Home,10.056922260713371,18,0.558717903372965,9.952746086733386,0.5529303381518548,10.3,2 out of 5 stars,A-
Stefon Diggs,WR,BUF,KC,Away,18.46206666666667,30,0.6154022222222223,18.66009523809524,0.6220031746031746,18,3 out of 5 stars,A+
Kyle Pitts,TE,ATL,SF,Home,5.148220439792533,13,0.39601695690711797,5.126029199703619,0.3943099384387399,5.2,3 out of 5 stars,C-
Mike Williams,WR,LAC,DEN,Home,11.228536437246964,21,0.5346922112974745,10.38362348178138,0.4944582610372085,13.2,3 out of 5 stars,A
Zach Ertz,TE,ARI,SEA,Away,9.966467527263317,22,0.4530212512392417,9.73781075323331,0.442627761510605,10.5,5 out of 5 stars,A
Mike Gesicki,TE,MIA,MIN,Home,4.069631718758836,11,0.3699665198871669,3.88518816965548,0.35319892451413454,4.5,4 out of 5 stars,F
Tyler Lockett,WR,SEA,ARI,Home,13.004557503100454,21,0.6192646430047836,13.263653575857791,0.6316025512313235,12.4,3 out of 5 stars,A
Diontae Johnson,WR,PIT,TB,Home,8.657502571155225,17,0.5092648571267779,7.525003673078894,0.44264727488699374,11.3,3 out of 5 stars,B+
Noah Fant,TE,SEA,ARI,Home,4.770303432754583,11,0.43366394843223477,4.757576332506546,0.432506939318777,4.8,4 out of 5 stars,D
Tyler Higbee,TE,LAR,CAR,Home,8.596789744860995,21,0.40937094023147597,7.995413921229994,0.3807339962490473,10,4 out of 5 stars,B+
CeeDee Lamb,WR,DAL,PHI,Away,12.382145564547011,21,0.5896259792641434,11.860207949352873,0.5647718071120414,13.6,2 out of 5 stars,A
Keenan Allen,WR,LAC,DEN,Home,5.256664220647773,21,0.25031734384037013,6.39523460092539,0.30453498099644716,2.6,3 out of 5 stars,F
Michael Pittman Jr,WR,IND,JAX,Home,11.287570002069533,20,0.5643785001034767,10.982242860099335,0.5491121430049668,12,4 out of 5 stars,A-
Tee Higgins,WR,CIN,NO,Away,9.15220420016407,22,0.4160092818256395,8.660291714520099,0.3936496233872772,10.3,2 out of 5 stars,B+
