Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Justin Herbert,LAC,24,QB,2,2,1-1-0,29.5,41,72,306.5,3,7.3,0.5,1.2,13.5,42,7.5,8.4,10.4,306.5,112.5,,1,4,2.4,7.2,8.1,,
2,Patrick Mahomes,KAN,27,QB,2,2,2-0-0,27,37,73,297.5,3.5,9.5,0,0,16.5,41,8,9.9,11,297.5,127.9,,0.5,4.5,1.3,7.81,9.68,0,0
3,Matt Ryan,IND,37,QB,1,1,0-0-1,32,50,64,352,1,2,1,2,20,28,7,6.5,11,352,83.1,,2,12,3.8,6.54,6.06,1,0
4,Russell Wilson,DEN,34,QB,1,1,0-1-0,29,42,69,340,1,2.4,0,0,13,67,8.1,8.6,11.7,340,101.3,,2,10,4.5,7.5,7.95,,
5,Joe Burrow,CIN,26,QB,1,1,0-1-0,33,53,62.3,338,2,3.8,4,7.5,22,24,6.4,3.7,10.2,338,61.7,,7,39,11.7,4.98,2.65,,
6,Carson Wentz,WAS,30,QB,1,1,1-0-0,27,41,65.9,313,4,9.8,2,4.9,16,49,7.6,7.4,11.6,313,101,,1,8,2.4,7.26,7.02,1,1
7,Joe Flacco,NYJ,37,QB,1,1,0-1-0,37,59,62.7,309,1,1.7,1,1.7,18,24,5.2,4.8,8.4,309,74.8,,3,12,4.8,4.79,4.39,,
8,Josh Allen,BUF,26,QB,1,1,1-0-0,26,31,83.9,297,3,9.7,2,6.5,15,53,9.6,8.6,11.4,297,112,,2,5,6.1,8.85,7.94,,
9,Derek Carr,LVR,31,QB,1,1,0-1-0,22,37,59.5,295,2,5.4,3,8.1,17,41,8,5.4,13.4,295,69.1,,5,29,11.9,6.33,4.07,,
10,Kirk Cousins,MIN,34,QB,1,1,1-0-0,23,32,71.9,277,2,6.3,0,0,12,64,8.7,9.9,12,277,118.9,,1,8,3,8.15,9.36,,
11,Trevor Lawrence,JAX,23,QB,1,1,0-1-0,24,42,57.1,275,1,2.4,1,2.4,13,49,6.5,6,11.5,275,75,,2,15,4.5,5.91,5.34,,
12,Tua Tagovailoa,MIA,24,QB,1,1,1-0-0,23,33,69.7,270,1,3,0,0,13,42,8.2,8.8,11.7,270,104.4,,3,28,8.3,6.72,7.28,,
13,Jameis Winston,NOR,28,QB,1,1,1-0-0,23,34,67.6,269,2,5.9,0,0,12,40,7.9,9.1,11.7,269,111,,4,35,10.5,6.16,7.21,1,1
14,Ryan Tannehill,TEN,34,QB,1,1,0-1-0,20,33,60.6,266,2,6.1,0,0,13,31,8.1,9.3,13.3,266,106.4,,1,0,2.9,7.82,9,,
15,Jalen Hurts,PHI,24,QB,1,1,1-0-0,18,32,56.3,243,0,0,0,0,12,54,7.6,7.6,13.5,243,80.6,,1,4,3,7.24,7.24,,
16,Davis Mills,HOU,24,QB,1,1,0-0-1,23,37,62.2,240,2,5.4,0,0,12,42,6.5,7.6,10.4,240,98.9,,3,18,7.5,5.55,6.55,,
17,Matthew Stafford,LAR,34,QB,1,1,0-1-0,29,41,70.7,240,1,2.4,3,7.3,14,28,5.9,3,8.3,240,63.1,,7,49,14.6,3.98,1.58,,
18,Baker Mayfield,CAR,27,QB,1,1,0-1-0,16,27,59.3,235,1,3.7,1,3.7,7,75,8.7,7.8,14.7,235,84.6,,4,28,12.9,6.68,5.87,,
19,Jared Goff,DET,28,QB,1,1,0-1-0,21,37,56.8,215,2,5.4,1,2.7,12,29,5.8,5.7,10.2,215,80.3,,1,10,2.6,5.39,5.26,,
20,Marcus Mariota,ATL,29,QB,1,1,0-1-0,20,33,60.6,215,0,0,0,0,8,31,6.5,6.5,10.8,215,79.7,,0,0,0,6.52,6.52,,
21,Lamar Jackson,BAL,25,QB,1,1,1-0-0,17,30,56.7,213,3,10,1,3.3,8,55,7.1,7.6,12.5,213,98.3,,2,2,6.3,6.59,7.06,,
22,Mac Jones,NWE,24,QB,1,1,0-1-0,21,30,70,213,1,3.3,1,3.3,10,41,7.1,6.3,10.1,213,87.2,,2,20,6.3,6.03,5.25,,
23,Tom Brady,TAM,45,QB,1,1,1-0-0,18,27,66.7,212,1,3.7,1,3.7,9,48,7.9,6.9,11.8,212,87.3,,2,17,6.9,6.72,5.86,,
