,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Saquon Barkley,NYG,25,RB,1,1,7,6,30,5,0,0,7,6,30,85.7%,4.3,18,164,1,7,68,9.1,164,18,24,8.1,194,1,1
2,Clyde Edwards-Helaire,KAN,23,RB,2,2,3.5,3.5,38,10.9,1,3,25,3.5,38,100.0%,10.9,7.5,58,0,1,52,7.7,58,7.5,11,8.7,96,2,0
3,Justin Jefferson,MIN,23,WR,1,1,11,9,184,20.4,2,7,64,9,184,81.8%,16.7,,,,0,,,,,9,20.4,184,2,0
4,D'Andre Swift,DET,23,RB,1,1,3,3,31,10.3,0,2,25,3,31,100.0%,10.3,15,144,1,5,50,9.6,144,15,18,9.7,175,1,0
5,Jonathan Taylor,IND,23,RB,1,1,7,4,14,3.5,0,0,5,4,14,57.1%,2,31,161,1,9,17,5.2,161,31,35,5,175,1,0
6,Travis Kelce,KAN,33,TE,2,2,8,6.5,86,13.2,0.5,5,35,6.5,86,81.3%,10.8,,,,0,,,,,6.5,13.2,86,1,0
7,Austin Ekeler,LAC,27,RB,2,2,7,6.5,45.5,7,0,2.5,21,6.5,45.5,92.9%,6.5,14,37.5,0,2,8,2.7,37.5,14,20.5,4,83,0,0
8,A.J. Brown,PHI,25,WR,1,1,13,10,155,15.5,0,7,54,10,155,76.9%,11.9,,,,0,,,,,10,15.5,155,0,0
9,Joe Mixon,CIN,26,RB,1,1,9,7,63,9,0,3,18,7,63,77.8%,7,27,82,0,2,31,3,82,27,34,4.3,145,0,0
10,Nick Chubb,CLE,27,RB,1,1,1,1,2,2,0,0,2,1,2,100.0%,2,22,141,0,6,25,6.4,141,22,23,6.2,143,0,0
11,Davante Adams,LVR,30,WR,1,1,17,10,141,14.1,1,8,41,10,141,58.8%,8.3,,,,0,,,,,10,14.1,141,1,0
12,Leonard Fournette,TAM,27,RB,1,1,2,2,10,5,0,0,9,2,10,100.0%,5,21,127,0,6,17,6,127,21,23,6,137,0,0
13,Cordarrelle Patterson,ATL,31,RB,1,0,5,3,16,5.3,0,1,10,3,16,60.0%,3.2,22,120,1,10,15,5.5,120,22,25,5.4,136,1,0
14,Antonio Gibson,WAS,24,RB,1,1,8,7,72,10.3,0,3,26,7,72,87.5%,9,14,58,0,5,13,4.1,58,14,21,6.2,130,0,0
15,Ja'Marr Chase,CIN,22,WR,1,1,16,10,129,12.9,1,10,24,10,129,62.5%,8.1,,,,0,,,,,10,12.9,129,1,0
