,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Tampa Bay Buccaneers,2,6.5,276,65,4.2,3,1,15,23,41,190.5,0.5,2,4.1,8.5,19,85.5,0,4.5,5,9.5,66.5,1.5,12.5,25,18.9
2,Buffalo Bills,2,8.5,215,59.5,3.6,3.5,1,15.5,20.5,32.5,149,0.5,2.5,4,10,22.5,66,0.5,2.9,4,6.5,58.5,1.5,14.3,28.6,14.2
3,San Francisco 49ers,2,13,210,51.5,4.1,2,0.5,14.5,16,24,142.5,1,1.5,5.5,7,25.5,67.5,0.5,2.6,4.5,6.5,65,3,15,15,4.25
4,Denver Broncos,2,13,243.5,54,4.5,0.5,0.5,17,21,33,165.5,1,0,4.7,7.5,18.5,78,0,4.2,5,6.5,85.5,4.5,31.6,5.3,4.04
5,Jacksonville Jaguars,2,14,304,59,5.2,3,0.5,17.5,21.5,35.5,234.5,2,2.5,6.1,11,20.5,69.5,0,3.4,5,5.5,46.5,1.5,17.4,26.1,5.57
6,Minnesota Vikings,2,15.5,412,64.5,6.4,1.5,0.5,23,26,35,275,0.5,1,7.1,13,26,137,1.5,5.3,9,5,35,1,23.8,14.3,-6.18
7,Green Bay Packers,2,16.5,311.5,51,6.1,0.5,0,15,15,21.5,158.5,1,0.5,6.7,7,27.5,153,0.5,5.6,8,5,35,,36.8,5.3,-2.79
8,New England Patriots,2,17,275,58.5,4.7,1,0.5,17,22,33,197,1,0.5,5.5,12,22.5,78,0,3.5,4,3.5,20,1,35.3,5.9,-1.32
9,Dallas Cowboys,2,18,300.5,64.5,4.7,0.5,0,18.5,21,31.5,180,1,0.5,5.1,11,29,120.5,0,4.2,6,6,30,1.5,42.9,4.8,-0.66
10,Houston Texans,2,18,433.5,77.5,5.6,1.5,0.5,26.5,23,40.5,270.5,1,1,6.3,15.5,34.5,163,0.5,4.7,8,10,94.5,3,33.3,12.5,-4.53
11,New York Giants,2,18,317,57,5.6,1.5,1.5,18.5,17,31,197.5,1.5,0,6.1,10,24.5,119.5,0,4.9,4.5,6,44,4,38.1,4.8,-1.94
12,Chicago Bears,2,18.5,372.5,66.5,5.6,1.5,1,21.5,16,26.5,183,1,0.5,6.3,7.5,37.5,189.5,1,5.1,12,7.5,62,2,35,15,-2.81
13,Philadelphia Eagles,2,21,325,62.5,5.2,2,0,21.5,24,41.5,203.5,1.5,2,4.7,14,19.5,121.5,1.5,6.2,6,6,45,1.5,28.6,19,-3.9
14,Cincinnati Bengals,2,21.5,302,60,5,0.5,0.5,16,20,34.5,211,1,0,5.9,9.5,24.5,91,0.5,3.7,5.5,6.5,52,1,33.3,4.2,1.17
15,Seattle Seahawks,2,21.5,403,67,6,1,1,22.5,22,33,257,1,0,7.4,10.5,32.5,146,1,4.5,8,6.5,66,4,50,11.1,-13.16
