Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Tua Tagovailoa,MIA,24,QB,2,2,2-0-0,29.5,41.5,71.1,369.5,3.5,8.4,1,2.4,17.5,60,8.9,9.5,12.5,369.5,116.5,85.6,2,18,4.6,8.08,8.66,0.5,0.5
2,Carson Wentz,WAS,30,QB,2,2,1-1-0,28.5,43.5,65.5,325,3.5,8,1.5,3.4,15.5,49,7.5,7.5,11.4,325,100.3,52.1,3,18.5,6.5,6.59,6.65,0.5,0.5
3,Joe Flacco,NYJ,37,QB,2,2,1-1-0,31.5,51.5,61.2,308,2.5,4.9,0.5,1,16.5,66,6,6.5,9.8,308,90.1,39.6,2.5,13.5,4.6,5.45,5.96,0.5,0.5
4,Josh Allen,BUF,26,QB,2,2,2-0-0,26,34.5,75.4,307,3.5,10.1,1,2.9,14,53,8.9,9.6,11.8,307,123.7,86.8,1.5,4.5,4.2,8.4,9.1,,
5,Justin Herbert,LAC,24,QB,2,2,1-1-0,29.5,41,72,306.5,3,7.3,0.5,1.2,13.5,42,7.5,8.4,10.4,306.5,112.5,70.1,1,4,2.4,7.2,8.1,,
6,Jacoby Brissett,CLE,30,QB,3,3,2-1-0,20.3,30.7,66.3,198.7,1.33,4.3,0.33,1.1,11.3,32,6.5,6.9,9.8,198.7,94.3,62.8,1.33,10.7,4.2,5.88,6.24,0.33,0.33
7,Patrick Mahomes,KAN,27,QB,2,2,2-0-0,27,37,73,297.5,3.5,9.5,0,0,16.5,41,8,9.9,11,297.5,127.9,82.2,0.5,4.5,1.3,7.81,9.68,0,0
8,Jalen Hurts,PHI,24,QB,2,2,2-0-0,22,31.5,69.8,288,0.5,1.6,0.5,1.6,12.5,54,9.1,8.7,13.1,288,97.1,70.8,2,7,6,8.39,8.01,,
9,Mitchell Trubisky,PIT,28,QB,3,3,1-2-0,20.7,34.3,60.2,189.7,0.67,1.9,0.33,1,9.67,36,5.5,5.5,9.2,189.7,77.7,,1.67,7,4.6,5.07,5.03,0,0.33
10,Russell Wilson,DEN,34,QB,2,2,1-1-0,21.5,36.5,58.9,279.5,1,2.7,0.5,1.4,12,67,7.7,7.6,13,279.5,86.5,48.9,2.5,14,6.4,6.81,6.74,0.5,0.5
11,Derek Carr,LVR,31,QB,2,2,0-2-0,23.5,38,61.8,273.5,2,5.3,1.5,3.9,15.5,41,7.2,6.5,11.6,273.5,84.7,40.2,3,18.5,7.3,6.22,5.55,,
12,Matt Ryan,IND,37,QB,2,2,0-1-1,24,40,60,273.5,0.5,1.3,2,5,13,39,6.8,4.8,11.4,273.5,63.9,31.4,3.5,21.5,8,5.79,3.95,0.5,0
13,Joe Burrow,CIN,26,QB,2,2,0-2-0,28.5,44.5,64,268.5,1.5,3.4,2,4.5,17.5,24,6,4.7,9.4,268.5,73.1,43.4,6.5,36.5,12.7,4.55,3.37,,
14,Lamar Jackson,BAL,25,QB,2,2,1-1-0,19,29.5,64.4,265.5,3,10.2,0.5,1.7,10.5,75,9,10.3,14,265.5,120.1,76.2,1,1,3.3,8.67,9.9,,
15,Matthew Stafford,LAR,34,QB,2,2,1-1-0,28,38.5,72.7,256,2,5.2,2.5,6.5,15,29,6.6,4.8,9.1,256,80.7,51.4,4,24.5,9.4,5.45,3.74,,
16,Trevor Lawrence,JAX,23,QB,2,2,1-1-0,24.5,36,68.1,255,1.5,4.2,0.5,1.4,13.5,49,7.1,7.3,10.4,255,96.4,72.9,1,7.5,2.7,6.69,6.89,,
17,Jameis Winston,NOR,28,QB,2,2,1-1-0,24,37,64.9,252.5,1.5,4.1,1.5,4.1,10.5,51,6.8,5.8,10.5,252.5,81.2,27.8,5,31.5,11.9,5.26,4.37,0.5,0.5
18,Kirk Cousins,MIN,34,QB,2,2,1-1-0,25,39,64.1,249,1.5,3.8,1.5,3.8,14,64,6.4,5.4,10,249,78.9,46.6,1.5,13.5,3.7,5.81,4.89,,
19,Jared Goff,DET,28,QB,2,2,1-1-0,20.5,35.5,57.7,235.5,3,8.5,0.5,1.4,12,49,6.6,7.7,11.5,235.5,100.1,55.5,2,16,5.3,5.85,6.85,,
20,Kyler Murray,ARI,25,QB,2,2,1-1-0,26.5,41.5,63.9,235,1.5,3.6,0.5,1.2,12,29,5.7,5.8,8.9,235,85.9,62,1.5,12.5,3.5,5.17,5.35,0.5,0.5
21,Mac Jones,NWE,24,QB,2,2,1-1-0,21,32.5,64.6,232.5,1,3.1,1,3.1,10,44,7.2,6.4,11.1,232.5,83.2,30.9,1,10,3,6.64,5.9,,
22,Aaron Rodgers,GNB,39,QB,2,2,1-1-0,20.5,29.5,69.5,214.5,1,3.4,0.5,1.7,9.5,55,7.3,7.2,10.5,214.5,94.5,35.1,3.5,28,10.6,5.65,5.58,,
23,Davis Mills,HOU,24,QB,2,2,0-1-1,21,37.5,56,208.5,1,2.7,0,0,9,42,5.6,6.1,9.9,208.5,80.8,29.8,3,20.5,7.4,4.64,5.14,,
24,Marcus Mariota,ATL,29,QB,2,2,0-2-0,18.5,29.5,62.7,205.5,1,3.4,1,3.4,9.5,39,7,6.1,11.1,205.5,80.5,59.1,1.5,12.5,4.8,6.23,5.42,,
25,Tom Brady,TAM,45,QB,2,2,2-0-0,18,30.5,59,201,1,3.3,0.5,1.6,8.5,48,6.6,6.5,11.2,201,82.8,38.9,1.5,9.5,4.7,5.98,5.91,0,0.5
