,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Nick Chubb,CLE,27,RB,3,3,1.67,1.33,9.33,7,0,0.33,15,1.3,9.3,80.0%,5.6,20.7,113.7,1.33,5,36,5.5,113.7,20.7,22,5.6,123,4,0
2,Tyreek Hill,MIA,28,WR,2,2,12.5,9.5,142,14.9,1,5.5,60,9.5,142,76.0%,11.4,0.5,3,0,0,6,6,3,0.5,10,14.5,145,2,0.5
3,Saquon Barkley,NYG,25,RB,2,2,5.5,4.5,23,5.1,0,0,9,4.5,23,81.8%,4.2,19.5,118,0.5,5,68,6.1,118,19.5,24,5.9,141,1,0.5
4,Stefon Diggs,BUF,29,WR,2,2,11.5,10,135,13.5,2,5.5,53,10,135,87.0%,11.7,,,,0,,,,,10,13.5,135,4,0
5,D'Andre Swift,DET,23,RB,2,2,4,2.5,31,12.4,0.5,1.5,25,2.5,31,62.5%,7.8,10,100,0.5,3,50,10,100,10,12.5,10.5,131,2,0
6,Amon-Ra St. Brown,DET,23,WR,2,2,12,8.5,90,10.6,1.5,4,49,8.5,90,70.8%,7.5,1,34,0,0.5,58,34,34,1,9.5,13.1,124,3,0
7,Jaylen Waddle,MIA,24,WR,2,2,12,7.5,120,16,1.5,6,59,7.5,120,62.5%,10,0.5,4,0,0,8,8,4,0.5,8,15.5,124,3,0
8,Aaron Jones,GNB,28,RB,2,2,4,3,32.5,10.8,0.5,2,22,3,32.5,75.0%,8.1,10,90.5,0.5,5,36,9.1,90.5,10,13,9.5,123,2,0
9,Jonathan Taylor,IND,23,RB,2,2,4,2.5,11.5,4.6,0,0,9,2.5,11.5,62.5%,2.9,20,107.5,0.5,6,21,5.4,107.5,20,22.5,5.3,119,1,0
10,Cooper Kupp,LAR,29,WR,2,2,14.5,12,118,9.8,1.5,7,28,12,118,82.8%,8.1,,,,0,,,,,12,9.8,118,3,0.5
