,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Cleveland Browns,3,28.3,378.7,70,5.4,0.33,0,24.7,20.3,30.7,188,1.33,0.33,5.9,11.3,38,190.7,1.67,5,11,6.33,44.3,2.33,48.4,3.2,11.8
2,Buffalo Bills,2,36,413.5,61.5,6.7,2,1,23,26,35.5,302.5,3.5,1,8.2,14,24.5,111,0.5,4.5,6.5,6.5,42,2.5,52.4,19,15.8
3,Kansas City Chiefs,2,35.5,403.5,60,6.7,0.5,0.5,24,27,37,293,3.5,0,7.8,16.5,22.5,110.5,0.5,4.9,4.5,4.5,39.5,3,52.4,4.8,19.5
4,Detroit Lions,2,35.5,405.5,63.5,6.4,0.5,0,20,20.5,35.5,219.5,3,0.5,5.9,12,26,186,1.5,7.2,7,4,35,1,44,4,11.4
5,Baltimore Ravens,2,31,373.5,53.5,7,0.5,0,18,19,29.5,264.5,3,0.5,8.7,10.5,23,109,0.5,4.7,5,3,17,2.5,39.1,4.3,12
6,Philadelphia Eagles,2,31,470.5,70,6.7,0.5,0,26,22,31.5,281,0.5,0.5,8.4,12.5,36.5,189.5,3,5.2,11.5,9,60.5,2,45,5,17.7
7,Miami Dolphins,2,31,427,64,6.7,1,0,22.5,29.5,41.5,351.5,3.5,1,8.1,17.5,20.5,75.5,0,3.7,4,6,35.5,1,47.4,10.5,19
8,Washington Commanders,2,27.5,393,71,5.5,2,0.5,23.5,28.5,43.5,306.5,3.5,1.5,6.6,15.5,24.5,86.5,0.5,3.5,6.5,4,40,1.5,30.8,15.4,7.67
9,Pittsburgh Steelers,3,18,272.7,58,4.7,1,0.67,16.3,20.7,34.3,182.7,0.67,0.33,5.1,9.67,22,90,0.67,4.1,6,5.33,34.7,0.67,29.4,5.9,-4.35
10,Atlanta Falcons,2,26.5,338.5,63.5,5.3,2.5,1.5,21.5,18.5,29.5,193,1,1,6.2,9.5,32.5,145.5,1,4.5,8.5,6.5,42,3.5,39.1,21.7,2
11,Arizona Cardinals,2,25,347.5,70.5,4.9,0.5,0,23,27.5,43.5,224.5,1.5,0.5,4.9,12.5,25,123,1.5,4.9,8.5,8.5,84.5,2,30,5,7.14
12,Los Angeles Chargers,2,24,378,69.5,5.4,0.5,0,19.5,29.5,41,302.5,3,0.5,7.2,13.5,27.5,75.5,0,2.7,5,4,23,1,34.8,4.3,5.21
13,Jacksonville Jaguars,2,23,357,64.5,5.5,0.5,0,22.5,24.5,36,247.5,1.5,0.5,6.7,13.5,27.5,109.5,1,4,6,8,54.5,3,40.9,4.5,5.34
