,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,3,33,380.3,55.3,6.9,1,0.33,18.3,18.7,29.3,245,3.33,0.67,7.8,10.7,24,135.3,0.67,5.6,6,2.67,14.7,1.67,42.9,8.6,11.9
2,Miami Dolphins,4,24.5,361,56.8,6.4,1,0,20,23.5,35,291.8,2.25,1,7.9,14,20,69.3,0.5,3.5,3.75,5.5,33,2.25,42.1,10.5,11.5
3,Detroit Lions,3,31.7,409,67.7,6,0.67,0,21,22,37.3,238.7,2.33,0.67,6.2,12.7,29,170.3,1.67,5.9,6.67,5,43,1.67,40.5,5.4,10.3
4,Buffalo Bills,3,30.3,441.3,71,6.2,1.67,1,25.7,31.3,44.7,329,3,0.67,7,16.3,24,112.3,0.33,4.7,7.33,6.67,45.3,2,46.7,16.7,15.8
5,Cincinnati Bengals,4,22.8,346.8,72.5,4.8,1.5,0.5,21.8,25.3,39.3,257.3,2,1,5.9,14.5,29.3,89.5,0.25,3.1,4.5,5.5,41.5,2.75,37.5,12.5,1.59
6,Kansas City Chiefs,3,29.3,374,60,6.2,1,0.67,22.7,24.7,36.7,281,2.67,0.33,7.5,15,22.7,93,0.67,4.1,5,5,41.3,2.67,45.2,6.5,13.6
7,Philadelphia Eagles,3,28.7,447,69.3,6.4,0.33,0,24.3,22,32.7,296.7,1.33,0.33,8.5,13.7,34.3,150.3,2,4.4,8.67,7.67,57.7,2,39.4,3,15
8,Cleveland Browns,3,28.3,378.7,70,5.4,0.33,0,24.7,20.3,30.7,188,1.33,0.33,5.9,11.3,38,190.7,1.67,5,11,6.33,44.3,2.33,48.4,3.2,11.8
9,Jacksonville Jaguars,3,28,375.7,68,5.5,0.33,0,23.3,25.7,37,252.3,2,0.33,6.7,14.3,30.3,123.3,1,4.1,6.67,6,39.7,2.33,48.5,3,9.58
10,Atlanta Falcons,3,26.7,354.3,60.3,5.9,2.33,1.33,22.3,16.7,26.3,197.7,1,1,7,10.7,32,156.7,1.33,4.9,8.33,5,33,3.33,43.8,21.9,8.28
11,Las Vegas Raiders,3,21.3,346.7,60.7,5.7,1.67,0.33,20.7,24.7,40.3,266.7,2,1.33,6.2,15,17.7,80,0,4.5,4,6.33,41,1.67,48.3,17.2,3.74
12,Washington Commanders,3,21,342,72,4.8,1.67,0.67,22.3,27.3,43.3,255.3,2.33,1,5.3,14,23.7,86.7,0.67,3.7,6,4,42.7,2.33,23.7,13.2,-0.99
13,Arizona Cardinals,3,20.7,353.3,74,4.8,0.33,0,23,30.7,48.3,248,1,0.33,4.9,13.3,23.7,105.3,1,4.5,8.33,7.67,73,1.33,34.5,3.4,5.03
