Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Tom Brady,TAM,45,QB,8,8,3-5-0,28,42.5,65.9,283.4,1.13,2.6,0.13,0.3,13.8,51,6.7,7.1,10.1,283.4,92.4,49.5,1.63,12.4,3.7,6.14,6.52,0,0.13
2,Patrick Mahomes,KAN,27,QB,7,7,5-2-0,25.1,37.6,66.9,308.4,2.86,7.6,0.71,1.9,16.4,57,8.2,8.9,12.3,308.4,109.5,76.6,1.71,12.4,4.4,7.53,8.17,0,0
3,Joe Burrow,CIN,26,QB,7,7,4-3-0,26.6,38.6,68.9,299.6,2.14,5.6,0.71,1.9,14.6,60,7.8,8,11.3,299.6,102.7,57.4,3.43,22.4,8.2,6.6,6.85,0.29,0.29
4,Justin Herbert,LAC,24,QB,7,7,4-3-0,29,44,65.9,287,1.71,3.9,0.57,1.3,13.6,54,6.5,6.7,9.9,287,91.8,53.6,1.43,7.57,3.1,6.15,6.34,0.29,0.29
5,Matt Ryan,IND,37,QB,7,7,3-3-1,29,42.4,68.4,286.9,1.29,3,1.29,3,14.7,44,6.8,6,9.9,286.9,84.7,41.9,3.43,26.3,7.5,5.68,4.98,0.57,0.43
6,Josh Allen,BUF,26,QB,6,6,5-1-0,26.7,39.8,66.9,330,2.83,7.1,0.67,1.7,16,98,8.3,9,12.4,330,109.1,76.5,1.5,8.33,3.6,7.78,8.43,0.17,0.33
7,Geno Smith,SEA,32,QB,7,7,4-3-0,22.6,30.7,73.5,244.6,1.57,5.1,0.43,1.4,11,54,8,8.4,10.8,244.6,107.7,66.8,2.29,18.7,6.9,6.84,7.21,,
8,Trevor Lawrence,JAX,23,QB,7,7,2-5-0,22.1,35.1,63,243.9,1.29,3.7,0.57,1.6,12.9,49,6.9,6.9,11,243.9,88.9,52.1,1.43,10,3.9,6.39,6.39,,
9,Kyler Murray,ARI,25,QB,7,7,3-4-0,26.3,40.1,65.5,238.1,1,2.5,0.57,1.4,12,32,5.9,5.8,9.1,238.1,83.7,49.1,2.14,17.4,5.1,5.22,5.08,0.14,0.14
10,Lamar Jackson,BAL,25,QB,8,8,5-3-0,18.5,29.4,63,204.4,1.88,6.4,0.75,2.6,9.88,75,7,7.1,11,204.4,94.2,63,2.13,10.6,6.7,6.15,6.27,0.13,0.13
11,Aaron Rodgers,GNB,39,QB,7,7,3-4-0,23.3,34.9,66.8,228.1,1.57,4.5,0.43,1.2,10.9,55,6.5,6.9,9.8,228.1,94.9,40.3,2.14,17.3,5.8,5.7,6.03,0.14,0.14
12,Jacoby Brissett,CLE,30,QB,7,7,2-5-0,20.9,33.3,62.7,226.3,0.86,2.6,0.71,2.1,11.1,55,6.8,6.3,10.8,226.3,82.3,58,2,11.9,5.7,6.08,5.65,0.14,0.14
13,Jared Goff,DET,28,QB,6,6,1-5-0,22,35.3,62.3,263.8,1.83,5.2,1,2.8,12.7,81,7.5,7.2,12,263.8,90.6,52.6,2,15.3,5.4,6.66,6.43,,
14,Matthew Stafford,LAR,34,QB,6,6,3-3-0,26.7,37.5,71.1,262.7,1,2.7,1.33,3.6,13.5,75,7,5.9,9.9,262.7,84.6,45.7,3.67,25.3,8.9,5.77,4.79,,
15,Derek Carr,LVR,31,QB,6,6,2-4-0,22.3,35.2,63.5,253.3,1.5,4.3,0.67,1.9,12.5,60,7.2,7.2,11.3,253.3,91.3,62,2,13.7,5.4,6.45,6.45,0.17,0.17
16,Jalen Hurts,PHI,24,QB,6,6,6-0-0,20.5,30.7,66.8,252.3,1,3.3,0.33,1.1,11.7,54,8.2,8.4,12.3,252.3,98.4,59,2.5,13.8,7.5,7.19,7.34,0,0.17
17,Kirk Cousins,MIN,34,QB,6,6,5-1-0,25.2,38,66.2,250.3,1.5,3.9,0.83,2.2,13.7,64,6.6,6.4,9.9,250.3,88.7,51.5,1.83,14.3,4.6,5.92,5.74,0.5,0.5
18,Carson Wentz,WAS,30,QB,6,6,2-4-0,24,38.7,62.1,248.2,1.67,4.3,1,2.6,11.3,75,6.4,6.1,10.3,248.2,84.1,33.9,3.83,23.3,9,5.29,5.02,0.33,0.33
19,Jimmy Garoppolo,SFO,31,QB,6,5,2-3-0,19.8,30.8,64.3,242.7,1.5,4.9,0.67,2.2,11,57,7.9,7.9,12.2,242.7,95.7,41,2,11.2,6.1,7.05,7.05,,
20,Russell Wilson,DEN,34,QB,6,6,2-4-0,19.3,33,58.6,240.3,0.83,2.5,0.5,1.5,9.67,67,7.3,7.1,12.4,240.3,83.4,35.1,3.33,21.2,9.2,6.03,5.87,0.33,0.33
21,Davis Mills,HOU,24,QB,6,6,1-4-1,22,34.5,63.8,225,1.17,3.4,0.83,2.4,9.33,58,6.5,6.1,10.2,225,83.6,36.1,2.17,15.7,5.9,5.71,5.32,0,0.17
22,Tua Tagovailoa,MIA,24,QB,5,5,4-1-0,20.2,30,67.3,259.2,1.8,6,0.6,2,12,60,8.6,8.9,12.8,259.2,105.9,72.6,1.2,10.6,3.8,7.97,8.26,0.4,0.4
23,Daniel Jones,NYG,25,QB,7,7,6-1-0,18,27,66.7,174.7,0.86,3.2,0.29,1.1,8.71,65,6.5,6.6,9.7,174.7,90.8,63,2.86,15.4,9.6,5.33,5.48,0.57,0.71
24,Marcus Mariota,ATL,29,QB,7,7,3-4-0,13.1,21.4,61.3,168.4,1,4.7,0.57,2.7,8.14,75,7.9,7.6,12.8,168.4,90.4,58.4,2.43,16.7,10.2,6.36,6.12,0.14,0.14
25,Ryan Tannehill,TEN,34,QB,6,6,4-2-0,15.8,24.3,65.1,182.8,1,4.1,0.5,2.1,8.83,61,7.5,7.4,11.5,182.8,92.8,40.8,2.33,18.3,8.8,6.17,6.08,,
