,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
1,Tyreek Hill,MIA,28,WR,9,9,11.1,8.44,122.7,14.5,0.33,5.33,64,8.4,122.7,76.0%,11,0.56,2.78,0,0.22,10,5,2.8,0.6,9,13.9,125.4,3,0.11
2,Derrick Henry,TEN,28,RB,8,8,2.25,1.75,17.5,10,0,0.5,24,1.8,17.5,77.8%,7.8,22.9,108.8,1.13,5,56,4.8,108.8,22.9,24.6,5.1,126.3,9,0.13
3,Saquon Barkley,NYG,25,RB,8,8,4.38,3.5,23.6,6.8,0,0.5,41,3.5,23.6,80.0%,5.4,20.4,97.4,0.63,4,68,4.8,97.4,20.4,23.9,5.1,121,5,0.13
4,Josh Jacobs,LVR,24,RB,8,8,3.63,3.13,21.5,6.9,0,1.13,16,3.1,21.5,86.2%,5.9,17.3,92.9,0.75,5.38,43,5.4,92.9,17.3,20.4,5.6,114.4,6,0.13
5,Nick Chubb,CLE,27,RB,8,8,1.88,1.25,8.75,7,0,0.5,15,1.3,8.8,66.7%,4.7,18.6,105.1,1.25,4.88,41,5.6,105.1,18.6,19.9,5.7,113.9,10,0
6,Christian McCaffrey,2TM,26,,8,7,6.75,5.38,44.5,8.3,0.25,2,49,5.4,44.5,79.6%,6.6,13.9,65.6,0.38,3.38,49,4.7,65.6,13.9,19.3,5.7,110.1,5,0.13
7,Justin Jefferson,MIN,23,WR,8,8,10.5,7.38,108.4,14.7,0.38,4.38,64,7.4,108.4,70.2%,10.3,0.25,1.63,0.13,0.25,10,6.5,1.6,0.3,7.63,14.4,110,4,0
8,Cooper Kupp,LAR,29,WR,8,8,11.6,9,101.6,11.3,0.75,5.25,75,9,101.6,77.4%,8.7,1.13,6.5,0.13,0.5,20,5.8,6.5,1.1,10.1,10.7,108.1,7,0.25
9,Stefon Diggs,BUF,29,WR,8,8,10.4,7.5,107.1,14.3,0.88,4.88,53,7.5,107.1,72.3%,10.3,,,,0,,,,,7.5,14.3,107.1,7,0.13
10,Joe Mixon,CIN,26,RB,9,9,5.56,4.22,30.2,7.2,0.22,1.22,35,4.2,30.2,76.0%,5.4,16.8,65,0.67,3.89,31,3.9,65,16.8,21,4.5,95.2,8,0
11,Travis Etienne,JAX,23,RB,9,4,3.11,2.11,19.3,9.2,0,1,23,2.1,19.3,67.9%,6.2,13.3,75.6,0.44,3.78,49,5.7,75.6,13.3,15.4,6.1,94.9,4,0.33
12,Rhamondre Stevenson,NWE,24,RB,9,3,4.78,3.89,25.2,6.5,0.11,1,22,3.9,25.2,81.4%,5.3,14.3,68.7,0.44,3.56,49,4.8,68.7,14.3,18.2,5.2,93.9,5,0
13,Jaylen Waddle,MIA,24,WR,9,9,7.78,5.22,90.2,17.3,0.67,4.22,59,5.2,90.2,67.1%,11.6,0.22,1.89,0,0,9,8.5,1.9,0.2,5.44,16.9,92.1,6,0.11
14,Aaron Jones,GNB,28,RB,9,9,4.44,3.56,23.3,6.6,0.33,1.22,22,3.6,23.3,80.0%,5.3,11.9,66.7,0.11,3.56,36,5.6,66.7,11.9,15.4,5.8,90,4,0.11
15,Austin Ekeler,LAC,27,RB,8,8,8.63,7.5,47.6,6.4,0.5,2.88,23,7.5,47.6,87.0%,5.5,12.3,53.4,0.75,2.38,71,4.4,53.4,12.3,19.8,5.1,101,10,0.38
16,Dameon Pierce,HOU,22,RB,8,8,3,2.5,12.3,4.9,0.13,0.5,12,2.5,12.3,83.3%,4.1,18.5,84.8,0.38,5,75,4.6,84.8,18.5,21,4.6,97,4,0.25
17,Alvin Kamara,NOR,27,RB,7,6,7,5.14,45.6,8.9,0.29,1.57,54,5.1,45.6,73.5%,6.5,14.9,63.3,0.14,3,27,4.3,63.3,14.9,20,5.4,108.9,3,0.29
18,Dalvin Cook,MIN,27,RB,8,8,3.5,2.38,14.9,6.3,0.13,1,23,2.4,14.9,67.9%,4.3,16.4,76,0.63,3.63,53,4.6,76,16.4,18.8,4.8,90.9,6,0.13
19,Leonard Fournette,TAM,27,RB,9,9,5.44,4.67,34.9,7.5,0.33,1.67,25,4.7,34.9,85.7%,6.4,13.4,45,0.22,2.67,17,3.3,45,13.4,18.1,4.4,79.9,5,0
20,A.J. Brown,PHI,25,WR,8,7,8.63,5.38,89.8,16.7,0.75,3.75,54,5.4,89.8,62.3%,10.4,,,,0,,,,,5.38,16.7,89.8,6,0
21,Miles Sanders,PHI,25,RB,8,8,1.63,1.38,5.25,3.8,0,0.13,16,1.4,5.3,84.6%,3.2,16.4,82,0.75,4.13,35,5,82,16.4,17.8,4.9,87.3,6,0
22,Breece Hall,NYJ,21,RB,7,2,4.43,2.71,31.1,11.5,0.14,1.14,79,2.7,31.1,61.3%,7,11.4,66.1,0.57,2.86,62,5.8,66.1,11.4,14.1,6.9,97.3,5,0.14
23,Travis Kelce,KAN,33,TE,8,8,9.63,7.13,82.4,11.6,0.88,5.38,35,7.1,82.4,74.0%,8.6,0.25,0.63,0,0.13,4,2.5,0.6,0.3,7.38,11.3,83,7,0
24,Davante Adams,LVR,30,WR,8,8,10.6,6,82.3,13.7,0.88,3.75,58,6,82.3,56.5%,7.7,0.38,-0.13,0,0,4,-0.3,-0.1,0.4,6.38,12.9,82.1,7,0.13
25,Khalil Herbert,CHI,24,RB,9,1,0.78,0.67,6.89,10.3,0.11,0.22,25,0.7,6.9,85.7%,8.9,10.9,65.1,0.44,2.22,63,6,65.1,10.9,11.6,6.2,72,5,0
26,Lamar Jackson,BAL,25,QB,9,9,0,0,0,,0,0,0,0,0,0.0%,,9.56,70.6,0.22,4.22,79,7.4,70.6,9.6,9.56,7.4,70.6,2,0.44
