Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,games,ex_ppd,home_away
Christian McCaffrey,RB,SF,ARI,17.535260689085874,40,5.862663316582914,44.903216250528985,0.2506015037593985,59.25998383185125,0.484,0.11,8.75,0.43838151722714686,Away
Najee Harris,RB,PIT,CIN,9.741365482795796,17,2.417896995708154,12.580341023069208,0.27417910447761196,53.55129151291513,0.11902985074626865,0.22,9,0.573021498987988,Home
Derrick Henry,RB,TEN,GB,18.813170013379633,37,2.016,21.5302599758162,0,103.7032583397983,0.9136363636363636,0.1,10,0.5084640544156658,Away
Saquon Barkley,RB,NYG,DET,19.399339066118422,33,3.6178735632183914,28.31357142857143,0,102.17651699029128,0.7935655737704919,0.11,9,0.5878587595793461,Home
Aaron Jones,RB,GB,TEN,12.290001999593816,22,3.9138053097345136,24.752024291497975,0.27546242774566476,59.051223491027734,0.14,0.27,11,0.5586364545269916,Home
Josh Jacobs,RB,LV,DEN,16.97228829216086,24,3.386725663716814,19.56824146981627,0,95.22101313320826,0.67,0.11,9,0.7071786788400359,Away
Nick Chubb,RB,CLE,BUF,15.238924842447636,33,1.4959223300970872,9.624583141409488,0,84.84685138539044,0.8773033707865169,0.11,9,0.461785601286292,Away
Dameon Pierce,RB,HOU,WAS,14.252056382409124,21,2.3562745098039217,14.466900702106319,0.13614754098360657,89.80343811394891,0.41500000000000004,0.33,9,0.6786693515432917,Home
Dalvin Cook,RB,MIN,DAL,15.165061927586516,25,2.1921874999999997,14.015474276527328,0.09801282051282051,94.43028037383178,0.4760526315789474,0.11,9,0.6066024771034606,Home
Austin Ekeler,RB,LAC,KC,19.407445468574235,38,7.12340425531915,45.21257067470788,0.5175641025641026,54.26024734982332,0.5755128205128206,0.33,9,0.5107222491730061,Home
Joe Mixon,RB,CIN,PIT,16.113373845929182,28,3.8830418250950567,30.25167300380228,0.22,68.02631578947368,0.504009009009009,0,9,0.5754776373546137,Away
Rhamondre Stevenson,RB,NE,NYJ,14.643668064445912,23,4.006119402985075,25.100542673902318,0.11,66.8535409556314,0.46420000000000006,0,7.5,0.6366812201933005,Home
Alvin Kamara,RB,NO,LAR,13.257994897834818,24,4.935203619909503,40.25351283129996,0.2203125,52.62833471416736,0.1133888888888889,0.25,7.75,0.5524164540764508,Home
Tony Pollard,RB,DAL,MIN,12.999248760758148,27,1.8941315789473685,17.31205941591138,0,64.82206537890045,0.6397950819672131,0,7.5,0.4814536578058573,Away
Miles Sanders,RB,PHI,IND,10.9129408762885,22,1.2351741293532337,4.292132792485056,0,70.05346881569727,0.47679894179894183,0,8.75,0.49604276710402273,Away
Khalil Herbert,RB,CHI,ATL,9.748088784695296,16,0.9341463414634146,9.878376268540205,0.1125,51.181779871095685,0.41666666666666674,0,7.75,0.609255549043456,Away
Jonathan Taylor,RB,IND,PHI,13.960069476986156,24,2.3290625,11.066342756183746,0,98.5030395136778,0.4031,0.29,7,0.5816695615410898,Home
Jamaal Williams,RB,DET,NYG,11.81257516378332,26,0.9532710280373832,6.010091135045567,0,67.97881355932202,0.7295081967213115,0.22,8,0.45432981399166616,Away
Antonio Gibson,RB,WAS,HOU,13.037522496247124,20,3.1438356164383565,25.371705243268778,0.16666666666666669,48.684341637010675,0.51,0,9,0.6518761248123562,Away
Devin Singletary,RB,BUF,CLE,9.79931693038933,18,2.7889271255060732,20.021414004078856,0.09067567567567567,44.00230946882216,0.31640449438202245,0.22,9,0.5444064961327405,Home
