Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,games,ex_ppd,home_away
Patrick Mahomes,QB,KC,DEN,22.848658234067894,34,297.38,2.2375,23.700017123287672,0.16057608695652176,0.33,0.67,12,0.6720193598255263,Away
Joe Burrow,QB,CIN,CLE,22.23600947472745,37,276.34,1.981,19.43669474727453,0.44078999999999996,0.33,0.67,12,0.6009732290466878,Home
Josh Allen,QB,BUF,NYJ,23.12616450285495,37,270.375,1.9060000000000001,47.14294937637564,0.4254782608695652,0.83,0.92,12,0.6250314730501338,Home
Justin Herbert,QB,LAC,MIA,17.250830460448643,34,271.58,1.6564999999999999,11.816304604486422,0,0.42,0.58,12,0.5073773664837836,Home
Tom Brady,QB,TB,SF,15.5156,25,267.28999999999996,1.2685,0,0,0,0.25,12,0.620624,Away
Geno Smith,QB,SEA,CAR,18.292343690987124,31,256.36,1.743,20.801836909871245,0.08096,0.5,0.5,12,0.5900756029350686,Home
Derek Carr,QB,LV,LAR,15.014778754863816,27,238.12,1.516,6.559787548638131,0,0.23,0.77,13,0.556102916846808,Away
Jared Goff,QB,DET,MIN,15.357880708661417,28,256.57,1.5425,3.4508070866141733,0,0.42,0.58,12,0.5484957395950506,Home
Jalen Hurts,QB,PHI,NYG,23.434698043337644,39,241.07,1.595,50.13460543337646,0.69140625,0.75,0.25,12,0.600889693418914,Away
Kirk Cousins,QB,MIN,DET,15.862843777391564,30,245.615,1.512,5.170899312377211,0.1771923076923077,0.42,0.75,12,0.5287614592463855,Away
Tua Tagovailoa,QB,MIA,LAC,18.469429096989963,33,276.03,2.0355,3.8622909698996657,0,0.3,0.5,10,0.5596796696057564,Away
Trevor Lawrence,QB,JAX,TEN,16.822918333219572,30,242.27499999999998,1.4814999999999998,16.682009419152276,0.2296195652173913,0.67,0.5,12,0.5607639444406524,Away
Jacoby Brissett,QB,CLE,CIN,13.995849615384614,22,217.06,0.988,19.006096153846155,0.16014,0.5,0.5,11.75,0.6361749825174825,Away
Russell Wilson,QB,DEN,KC,13.660687113702625,22,233.22,0.9204999999999999,14.46927113702624,0.09215999999999999,0.45,0.45,11,0.6209403233501193,Home
Jimmy Garoppolo,QB,SF,TB,14.96193793772997,20,217.57,1.4575,2.979331184528606,0.17186746987951806,0.27,0.36,10.75,0.7480968968864985,Home
Daniel Jones,QB,NYG,PHI,16.524000785571147,25,194.31,0.9575,42.113927855711424,0.31336800000000004,0.42,0.33,12,0.6609600314228459,Home
Kyler Murray,QB,ARI,NE,18.319415177659213,30,230.605,1.403,41.29954308093995,0.27554347826086956,0.8,0.7,10,0.6106471725886404,Home
Lamar Jackson,QB,BAL,PIT,19.942726806083652,34,197.04500000000002,1.507,60.65426806083651,0.23124999999999998,0.42,0.58,12,0.586550788414225,Away
Davis Mills,QB,HOU,DAL,11.934713505607021,20,209.21,1.1105,4.071706484641638,0.10285714285714287,0.4,1.1,10,0.5967356752803511,Away
Ryan Tannehill,QB,TEN,JAX,14.03024201689814,26,218.26999999999998,1.1720000000000002,8.03615929941618,0.10130434782608697,0.2,0.4,10,0.5396246929576207,Home
Matthew Stafford,QB,LAR,LV,12.951708013937285,26,235.29000000000002,1.1865,1.0425087108013937,0.11664285714285715,0.56,0.89,9,0.49814261592066483,Home
Mac Jones,QB,NE,ARI,12.769611000953288,23,222.195,0.9630000000000001,9.862510009532887,0.11726,0.44,0.78,9,0.5552004783023169,Away
Kenny Pickett,QB,PIT,BAL,13.190558109360518,23,206.94499999999996,0.5735,22.173846153846153,0.32522891566265066,0.33,0.89,8.75,0.5735025264939356,Home
Dak Prescott,QB,DAL,HOU,16.23717401723046,29,221.185,1.7055,10.34090472926662,0.1356139240506329,0.14,1,7,0.5599025523182917,Home
Baker Mayfield,QB,LAR,SEA,11.300322964840039,20,198.12,0.973,8.68432055749129,0.1441818181818182,0.75,0.75,7.5,0.565016148242002,Home
Zach Wilson,QB,NYJ,BUF,11.334794109470028,20,188.04,0.6719999999999999,13.167741094700261,0.13307000000000002,0.14,0.71,7,0.5667397054735014,Away
Cooper Rush,QB,DAL,HOU,7.9828,20,143.07,0.6599999999999999,0,0,0,0.38,7.25,0.39914,Home
Joe Flacco,QB,NYJ,BUF,14.48453344917463,20,288,1.607,1.9653344917463076,0,1.33,1,3,0.7242266724587315,Away
