Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,ex_ppd,home_away
Josh Allen,QB,BUF,KC,25.981979381443292,41,292.9,2.5999999999999996,38.65979381443299,0.4,0.8,0.8,0.6337068141815437,Away
Carson Wentz,QB,WAS,CHI,12.004492146596858,25,213.45,1.17,17.864921465968585,0,1,1,0.48017968586387433,Away
Justin Herbert,QB,LAC,DEN,14.206620967741937,32,236.10000000000002,1.3,3.6262096774193546,0,0.2,0.4,0.44395690524193554,Home
Tom Brady,QB,TB,PIT,18.388,28,284.70000000000005,1.8,0,0,0,0.2,0.6567142857142858,Away
Patrick Mahomes,QB,KC,BUF,17.190760070052544,34,231.10000000000002,1.8,15.467600700525391,0,0.2,0.4,0.505610590295663,Home
Matt Ryan,QB,IND,JAX,8.285671772428882,21,245.39999999999998,1,2.6967177242888405,0,2.2,1.4,0.3945557986870896,Home
Jalen Hurts,QB,PHI,DAL,19.827100000000005,37,232.8,0.8,46.150999999999996,0.65,0.4,0.4,0.5358675675675677,Home
Kirk Cousins,QB,MIN,MIA,17.222526522593324,29,271.1,1.5,4.785265225933202,0.21666666666666667,0.2,1,0.5938802249170112,Away
Matthew Stafford,QB,LAR,CAR,11.780833333333334,25,241.5,1.2,3.208333333333334,0,0.8,1.4,0.47123333333333334,Home
Joe Burrow,QB,CIN,NO,17.153703703703705,32,237.5,1.5,20.537037037037038,0.30000000000000004,0.6,1,0.5360532407407408,Away
Geno Smith,QB,SEA,ARI,18.918737704918037,28,254.6,1.7000000000000002,13.847377049180329,0.225,0.2,0.4,0.6756692037470727,Home
Russell Wilson,QB,DEN,LAC,18.047399644760212,27,244.3,1.4,15.75399644760213,0.35,0.2,0.6,0.668422209065193,Away
Kyler Murray,QB,ARI,SEA,21.428723776223773,36,254,1.5,33.08723776223776,0.56,0.4,0.6,0.595242327117327,Away
Trevor Lawrence,QB,JAX,IND,13.913511265164642,25,231.2,1.5,10.655112651646448,0,0.8,0.8,0.5565404506065856,Away
Aaron Rodgers,QB,GB,NYJ,13.11037982195846,27,218.60000000000002,1.5,1.6637982195845697,0,0.6,0.6,0.48556962303549855,Home
Lamar Jackson,QB,BAL,NYG,22.69976210235132,39,203.9,1.7999999999999998,71.43762102351315,0.2666666666666667,0.2,1,0.5820451821115723,Away
Jacoby Brissett,QB,CLE,NE,15.649771309771308,22,211.5,1.3,18.6977130977131,0.12000000000000001,0,0.6,0.7113532413532413,Home
Tua Tagovailoa,QB,MIA,MIN,14.544676328502417,26,254.10000000000002,1.4,0.3067632850241546,0,0.25,0.75,0.5594106280193237,Home
Baker Mayfield,QB,CAR,LAR,11.013942093541202,21,203.5,1,8.739420935412028,0.2,1.2,0.8,0.5244734330257715,Away
Marcus Mariota,QB,ATL,SF,10.010980732511715,20,181.5,0.6000000000000001,22.366950182260023,0.28571428571428575,1.4,0.8,0.5005490366255858,Home
Joe Flacco,QB,NYJ,GB,11.056309278350517,20,238.65,1.2349999999999999,2.3030927835051545,0,1.33,1,0.5528154639175258,Away
Justin Fields,QB,CHI,WAS,14.47663640980785,21,183.15,1.335,41.63407494145199,0.13620481927710845,1.17,0.83,0.6893636385622786,Home
Jameis Winston,QB,NO,CIN,11.319385462555065,24,256.7,1.065,4.613854625550661,0,1,1.67,0.47164106093979435,Home
Jimmy Garoppolo,QB,SF,ATL,15.834870317002881,24,246.25,1.425,1.5987031700288183,0.22916666666666669,0.5,0.25,0.6597862632084533,Away
Daniel Jones,QB,NYG,BAL,18.940852354349563,31,229.89999999999998,1.2,36.87709497206704,0.34285714285714286,0.2,0.4,0.6109952372370827,Home
Cooper Rush,QB,DAL,PHI,10.45840414507772,20,178.60000000000002,1,1.144041450777202,0,0.4,0,0.522920207253886,Away
Mac Jones,QB,NE,CLE,14.766891304347828,20,238.8,0.935,12.30891304347826,0.42900000000000005,0.33,1.67,0.7383445652173914,Away
Mitch Trubisky,QB,PIT,TB,12.437922121896165,20,178.35000000000002,0.95,6.914221218961625,0.21875,0,0.5,0.6218961060948083,Home
Zach Wilson,QB,NYJ,GB,13.48881443298969,23,204,0.65,9.788144329896907,0.45833333333333337,0,1,0.5864701927386822,Away
Kenny Pickett,QB,PIT,TB,14.828462753950337,25,208.45,0.7,14.404627539503386,0.875,0.5,2,0.5931385101580134,Home
Andy Dalton,QB,NO,CIN,11.180973568281939,20,219.45,0.9,3.0297356828193833,0,0.5,0.5,0.5590486784140969,Home
Bailey Zappe,QB,NE,CLE,9.33218115942029,20,179.55,1.1,2.5018115942028984,0,1,0.5,0.46660905797101454,Away
Trey Lance,QB,SF,ATL,12.264374639769454,20,187.6,0.8,30.603746397694522,0,0.5,0.5,0.6132187319884727,Away
Teddy Bridgewater,QB,MIA,MIN,8.65432850241546,23,156.85,0.5650000000000001,4.503285024154589,0,0,0.33,0.37627515227893304,Home
Skylar Thompson,QB,MIA,MIN,8.908,20,207.7,0.4,0,0,0,1,0.44539999999999996,Home
Dak Prescott,QB,DAL,PHI,8.916704663212435,28,161.7,0.6,10.487046632124354,0,0,1,0.3184537379718727,Away
Jordan Love,QB,GB,NYJ,8.216000000000001,20,135.4,0.7,0,0,0,0,0.41080000000000005,Home
P J Walker,QB,CAR,LAR,7.892000000000001,20,137.3,0.6,0,0,0,0,0.39460000000000006,Away
Brian Hoyer,QB,NE,CLE,7.452,20,126.3,0.6,0,0,0,0,0.3726,Away
Trace McSorley,QB,ARI,SEA,11.523762237762238,20,135.9,0.9,24.877622377622377,0,0,0,0.5761881118881119,Away
Tyrod Taylor,QB,NYG,BAL,9.029027932960894,20,150.6,0.9,24.050279329608937,0,1,1,0.4514513966480447,Home
Case Keenum,QB,BUF,KC,9.992,20,129.8,1.2,0,0,0,0,0.49960000000000004,Away
Taylor Heinicke,QB,WAS,CHI,4.914,20,89.35,0.335,0,0,0,0,0.24569999999999997,Away
Sam Howell,QB,WAS,CHI,4.914,20,89.35,0.335,0,0,0,0,0.24569999999999997,Away
Trevor Siemian,QB,CHI,WAS,8.43,20,110.75,1,0,0,0,0,0.4215,Home
Brock Purdy,QB,SF,ATL,8.764,20,139.1,0.8,0,0,0,0,0.4382,Away
Desmond Ridder,QB,ATL,SF,4.356000000000001,20,88.9,0.2,0,0,0,0,0.21780000000000005,Home
Joshua Dobbs,QB,CLE,NE,7.42,20,105.5,0.8,0,0,0,0,0.371,Home
Kellen Mond,QB,CLE,NE,7.42,20,105.5,0.8,0,0,0,0,0.371,Home
Mike White,QB,NYJ,GB,5.140000000000001,20,88.5,0.4,0,0,0,0,0.257,Away
C J Beathard,QB,JAX,IND,7.12,20,108,0.7,0,0,0,0,0.356,Away
Nick Foles,QB,IND,JAX,6.312,20,107.8,0.5,0,0,0,0,0.3156,Home
Sam Ehlinger,QB,IND,JAX,6.312,20,107.8,0.5,0,0,0,0,0.3156,Home
Nick Mullens,QB,MIN,MIA,8.736,20,138.4,0.8,0,0,0,0,0.4368,Away
Brandon Allen,QB,CIN,NO,6.636000000000001,20,105.9,0.6,0,0,0,0,0.33180000000000004,Away
Jake Luton,QB,NO,CIN,6.148,20,113.7,0.4,0,0,0,0,0.3074,Home
Tyler Huntley,QB,BAL,NYG,6.288,20,97.2,0.6,0,0,0,0,0.3144,Away
Blaine Gabbert,QB,TB,PIT,10.152000000000001,20,143.8,1.1,0,0,0,0,0.5076,Away
Kyle Trask,QB,TB,PIT,10.152000000000001,20,143.8,1.1,0,0,0,0,0.5076,Away
Mason Rudolph,QB,PIT,TB,6.668,20,96.7,0.7,0,0,0,0,0.33340000000000003,Home
Sam Darnold,QB,CAR,LAR,6.692,20,107.3,0.6,0,0,0,0,0.3346,Away
Matt Corral,QB,CAR,LAR,6.692,20,107.3,0.6,0,0,0,0,0.3346,Away
John Wolford,QB,LAR,CAR,7.168,20,109.2,0.7,0,0,0,0,0.3584,Home
Bryce Perkins,QB,LAR,CAR,7.168,20,109.2,0.7,0,0,0,0,0.3584,Home
Colt McCoy,QB,ARI,SEA,8.796000000000001,20,129.9,0.9,0,0,0,0,0.4398000000000001,Away
Drew Lock,QB,SEA,ARI,8.164,20,124.1,0.8,0,0,0,0,0.4082,Home
Chad Henne,QB,KC,BUF,4.852,20,91.3,0.3,0,0,0,0,0.2426,Home
Shane Buechele,QB,KC,BUF,4.852,20,91.3,0.3,0,0,0,0,0.2426,Home
Gardner Minshew II,QB,PHI,DAL,5.476000000000001,20,96.9,0.4,0,0,0,0,0.27380000000000004,Home
Ian Book,QB,PHI,DAL,5.476000000000001,20,96.9,0.4,0,0,0,0,0.27380000000000004,Home
Will Grier,QB,DAL,PHI,6.188000000000001,20,94.7,0.6,0,0,0,0,0.3094,Away
Brett Rypien,QB,DEN,LAC,8.756,20,118.9,1,0,0,0,0,0.4378,Away
Chase Daniel,QB,LAC,DEN,4.732,20,88.3,0.3,0,0,0,0,0.2366,Home
Easton Stick,QB,LAC,DEN,4.732,20,88.3,0.3,0,0,0,0,0.2366,Home
