Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,ex_ppd,home_away
DeeJay Dallas,RB,SEA,ARI,1.2154606338255658,12,0.6076271186440678,4.620569105691056,0,4.495901639344263,0,0,0.10128838615213048,Home
Saquon Barkley,RB,NYG,BAL,17.648305021329072,39,4.591011235955056,41.21219195849547,0,85.45865921787708,0.5142857142857142,0.2,0.4525206415725403,Home
Nick Chubb,RB,CLE,NE,16.28955476684346,36,1.1941747572815533,7.526960784313726,0,98.9977130977131,0.84,0,0.4524876324123183,Home
Austin Ekeler,RB,LAC,DEN,16.771300350752817,32,5.593984962406015,34.37815934065934,0.26,66.76491935483871,0.44999999999999996,0.2,0.5241031359610255,Home
Christian McCaffrey,RB,CAR,LAR,17.92887552037245,31,5.6966292134831455,41.01629955947136,0.25,70.78930957683741,0.4,0,0.5783508232378209,Away
Breece Hall,RB,NYJ,GB,14.171599363133383,19,3.0191999999999997,35.85637065637066,0.15714285714285717,63.33505154639175,0.3666666666666667,0.2,0.7458736506912307,Away
Aaron Jones,RB,GB,NYJ,13.083061145829754,28,2.5627118644067792,18.66912928759895,0.1875,72.0979228486647,0.33333333333333337,0.2,0.46725218377963407,Home
Leonard Fournette,RB,TB,PIT,19.530715667311412,24,4.739007092198582,39.942857142857136,0.5142857142857143,82.81212121212121,0.30000000000000004,0,0.8137798194713088,Away
Miles Sanders,RB,PHI,DAL,10.88577999315713,22,2.074074074074074,7.158429561200923,0,71.829,0.325,0,0.49480818150714223,Home
Dalvin Cook,RB,MIN,MIA,13.832804043142856,22,2.0842105263157897,15.30246913580247,0,77.60451866404713,0.6499999999999999,0.2,0.628763820142857,Away
Jeff Wilson Jr,RB,SF,ATL,11.414312287136495,19,2.18,16.727272727272727,0,68.51585014409221,0.3666666666666667,0.2,0.6007532782703419,Away
Rhamondre Stevenson,RB,NE,CLE,11.724958596616032,26,2.5458333333333334,14.4665062560154,0,74.45391304347825,0.26,0,0.45095994602369355,Away
Khalil Herbert,RB,CHI,WAS,9.790499819112593,17,1.1382857142857143,8.649556188925082,0,59.52786885245902,0.4006024096385542,0,0.5759117540654467,Home
Joe Mixon,RB,CIN,NO,13.187306992945754,22,3.472,23.546185397867106,0,72.96688453159041,0.30000000000000004,0,0.5994230451338979,Away
