Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,ex_ppd,home_away
Tyler Boyd,WR,CIN,NO,7.674863002461034,16,2.604,43.72863002461034,0.33333333333333337,0,0.47967893765381464,Away
Justin Jefferson,WR,MIN,MIA,17.67232200872552,37,7.578947368421053,113.1141975308642,0.4285714285714286,0,0.47763032456014914,Away
Taysom Hill,TE,NO,CIN,-0.3271538490339973,22,0.24886363636363637,0.4841433278418451,0,0.25,-0.014870629501545331,Home
Cooper Kupp,WR,LAR,CAR,19.851926113139257,39,8.747407407407408,101.18222409435552,0.96,0.2,0.5090237464907502,Home
Tyreek Hill,WR,MIA,MIN,15.288051249512995,29,7.566371681415928,101.71532075471697,0.2888888888888889,0.2,0.5271741810176894,Home
Stefon Diggs,WR,BUF,KC,18.660095238095238,30,8.00222222222222,90.87555555555555,0.9285714285714286,0,0.6220031746031746,Away
A J Brown,WR,PHI,DAL,11.716082456590541,24,5.807407407407407,76.12378752886836,0.2,0,0.48817010235793923,Home
Courtland Sutton,WR,DEN,LAC,13.749881959624535,17,6.374257425742574,84.62753246753248,0.35,0,0.8088165858602667,Away
Jaylen Waddle,WR,MIA,MIN,12.831554115879111,25,4.778761061946902,78.4217358490566,0.43333333333333335,0,0.5132621646351645,Home
Marquise Brown,WR,ARI,SEA,16.467744417063173,24,6.483916083916084,87.2578637510513,0.75,0,0.6861560173776322,Away
Tyler Lockett,WR,SEA,ARI,13.263653575857793,21,6.48135593220339,81.56308943089431,0.3777777777777778,0.2,0.6316025512313235,Home
Mike Williams,WR,LAC,DEN,10.38362348178138,21,5.052631578947368,62.97307692307693,0.26,0,0.4944582610372085,Home
Deebo Samuel,WR,SF,ATL,11.401363636363637,24,5.45,63.56363636363637,0.52,0.4,0.4750568181818182,Away
Chris Olave,WR,NO,CIN,11.507620830569758,22,4.977272727272727,75.33270181219109,0.31428571428571433,0.2,0.5230736741168072,Home
Terry McLaurin,WR,WAS,CHI,7.461249234848808,17,3.1883125,54.92482206405694,0.11910179640718564,0.17,0.4388970138146358,Away
DK Metcalf,WR,SEA,ARI,11.775528179688578,28,5.671186440677966,74.73268292682928,0.3777777777777778,0.4,0.4205545778460206,Home
DeVonta Smith,WR,PHI,DAL,10.266936960054743,19,5.807407407407407,61.63233256351039,0.2,0,0.5403651031607759,Home
Mark Andrews,TE,BAL,NYG,13.48757864343245,29,6.265263157894736,67.54947064485081,0.6000000000000001,0,0.46508891873905,Away
Travis Kelce,TE,KC,BUF,13.945625534644996,27,6.128571428571428,58.41339820359282,0.84,0,0.5165046494312961,Home
CeeDee Lamb,WR,DAL,PHI,13.178008832614301,21,6.446511627906975,69.54753018660813,0.5,0,0.6275242301244905,Away
Ja Marr Chase,WR,CIN,NO,10.787394913863823,30,5.5552,64.09794913863823,0.33333333333333337,0.2,0.35957983046212744,Away
Christian Kirk,WR,JAX,IND,11.85494315775395,20,4.069911504424779,64.4498740554156,0.5625,0,0.5927471578876975,Away
Curtis Samuel,WR,WAS,CHI,7.79997177198095,16,4.925812499999999,42.89879893238434,0.23119760479041918,0.17,0.48749823574880935,Away
Dallas Goedert,TE,PHI,DAL,9.537849627918913,18,4.977777777777778,58.489607390300236,0.2,0,0.529880534884384,Home
Mike Evans,WR,TB,PIT,16.19677821995216,29,4.556737588652482,81.32695139911635,0.9642857142857143,0,0.5585095937914538,Away
Tee Higgins,WR,CIN,NO,9.622546349466777,22,3.472,58.86546349466776,0.33333333333333337,0,0.43738847043030804,Away
Gabe Davis,WR,BUF,KC,12.503275132275133,24,2.821296296296296,69.14055555555555,0.6964285714285714,0,0.5209697971781305,Away
Amari Cooper,WR,CLE,NE,13.551206929373691,21,5.373786407766991,61.84313725490196,0.78,0,0.6452955680654139,Home
Corey Davis,WR,NYJ,GB,8.428673359073358,15,3.0191999999999997,50.333590733590725,0.31428571428571433,0,0.5619115572715572,Away
Tyler Higbee,TE,LAR,CAR,8.513457830197511,21,5.891111111111111,55.67902274641955,0,0,0.4054027538189291,Home
David Njoku,TE,CLE,NE,9.427516181229773,17,4.776699029126213,58.791666666666664,0.26,0.2,0.5545597753664573,Home
Michael Pittman Jr,WR,IND,JAX,10.982242860099337,20,5.56640625,66.99039735099338,0.25,0,0.5491121430049668,Home
Garrett Wilson,WR,NYJ,GB,8.675295752895753,16,4.0847999999999995,47.47181467181467,0.31428571428571433,0,0.5422059845559846,Away
Diontae Johnson,WR,PIT,TB,7.525003673078894,17,5.525663716814159,51.621718146718145,0,0.2,0.44264727488699374,Home
Jakobi Meyers,WR,NE,CLE,14.60380283525826,16,6.531041666666667,88.63282001924927,0.4125,0,0.9127376772036413,Away
Drake London,WR,ATL,SF,10.084152058634784,18,5.577464788732395,54.95419664268586,0.30000000000000004,0,0.5602306699241546,Home
JuJu Smith Schuster,WR,KC,BUF,5.569152053036784,14,4.085714285714286,43.26294910179641,0,0.4,0.39779657521691314,Home
Marquez Valdes Scantling,WR,KC,BUF,6.107414456800685,11,3.5285714285714285,43.431287425149705,0,0,0.5552194960727895,Home
George Pickens,WR,PIT,TB,6.510927836812792,16,3.354867256637168,48.334942084942085,0,0,0.4069329898007995,Home
Randall Cobb,WR,GB,NYJ,5.899415052994052,11,3.111864406779661,47.434828496042215,0,0.2,0.5363104593630956,Home
Devin Duvernay,WR,BAL,NYG,8.738474241426472,14,3.3284210526315787,43.742637151106834,0.44999999999999996,0,0.6241767315304623,Away
Adam Thielen,WR,MIN,MIA,8.782530400074261,19,4.7368421052631575,51.283950617283956,0.2142857142857143,0,0.46223844210917164,Away
Brandon Aiyuk,WR,SF,ATL,9.539626623376625,16,4.6325,56.63376623376624,0.26,0,0.5962266639610391,Away
