Player,Position_yah,Team_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,games,ex_ppd,home_away
Taysom Hill,TE,NO,ARI,0.934470241225466,21,0.34219565217391307,0.8337241513850955,0.17,0.17,5,0.04449858291549838,Away
Tyler Boyd,WR,CIN,ATL,8.972270402563922,18,3.6578431372549023,53.2669883393647,0.302775,0,5.5,0.49845946680910674,Home
Mack Hollins,WR,LV,HOU,8.116763920671245,11,3.280701754385965,55.764130434782615,0.15000000000000002,0,4.75,0.7378876291519313,Home
Tyreek Hill,WR,MIA,PIT,17.40318037100949,34,8.2775,115.32463157894736,0.34532786885245903,0.17,6,0.5118582462061615,Home
Jaylen Waddle,WR,MIA,PIT,14.051419538721444,29,4.968487394957983,87.67831578947369,0.523224043715847,0.17,6,0.48453170823177394,Home
Chris Olave,WR,NO,ARI,12.690506297816759,21,5.526978260869566,82.87017167381975,0.33,0.17,5.5,0.60430982370556,Away
Marquise Brown,WR,ARI,NO,14.45222131526285,21,6.280488721804511,80.06976954360596,0.6074999999999999,0.17,6,0.6882010150125166,Home
Deebo Samuel,WR,SF,KC,11.725750526069675,23,5.736263736263736,64.12234042553192,0.5175641025641027,0.33,5.75,0.5098152402638989,Home
Ja Marr Chase,WR,CIN,ATL,15.18240958040635,29,6.793137254901961,84.37490952955369,0.614725,0.17,6,0.5235313648415982,Home
Travis Kelce,TE,KC,SF,13.526727504603091,28,6.165972222222223,61.02751994198695,0.7234982332155476,0,6,0.4830974108786818,Away
Mark Andrews,TE,BAL,CLE,15.342307933570655,27,6.60427807486631,80.24039863879436,0.6693548387096775,0,6,0.5682336271692835,Home
Courtland Sutton,WR,DEN,NYJ,11.019369861542156,19,5.397694300518134,69.93293795620437,0.22120481927710844,0,6,0.5799668348180083,Home
CeeDee Lamb,WR,DAL,DET,14.353945390913845,23,6.3106936416184976,83.00164835164836,0.4830722891566266,0,6,0.6240845822136454,Home
Tyler Lockett,WR,SEA,LAC,11.619336765119815,22,5.6330217391304345,69.45025895554596,0.3663,0.17,6,0.5281516711418098,Away
Michael Pittman Jr,WR,IND,TEN,13.89609846210118,23,7.076325088339222,86.75229151014275,0.28045112781954884,0,5,0.6041781940043992,Away
Davante Adams,WR,LV,HOU,15.35478407557355,34,5.596491228070175,84.56538461538462,0.75,0.2,5,0.45161129634039854,Home
Mike Williams,WR,LAC,SEA,10.437282510949832,23,4.328621908127208,63.9375,0.31320359281437127,0,6,0.4537948917804275,Home
DK Metcalf,WR,SEA,LAC,10.690690732018542,24,4.967391304347826,66.69195079844627,0.3663,0.33,6,0.4454454471674392,Away
Terry McLaurin,WR,WAS,GB,7.264974286746791,17,3.1959583333333335,52.923843416370104,0.11910179640718564,0.17,6,0.4273514286321642,Home
JuJu Smith Schuster,WR,KC,SF,6.9695355592596675,15,4.0625,49.67543509789703,0.10512367491166079,0.33,6,0.4646357039506445,Away
Christian Kirk,WR,JAX,NYG,10.79164395923953,16,3.7755405405405407,56.660736889692586,0.5963,0.17,6,0.6744777474524706,Home
Tee Higgins,WR,CIN,ATL,10.503286048629342,21,4.525274509803921,64.23998793727382,0.302775,0,5.75,0.5001564785061591,Home
Mike Evans,WR,TB,CAR,12.35813475462865,27,4.306137184115523,66.05066162570888,0.6,0,5,0.45770869461587593,Away
Corey Davis,WR,NYJ,DEN,8.299037677848053,14,3.275666666666667,52.48127421437796,0.23551282051282052,0,5.5,0.5927884055605752,Away
Amari Cooper,WR,CLE,BAL,15.161459658433694,23,5.856835748792271,65.44741784037558,0.9480500000000001,0,6,0.6591938981927693,Away
David Njoku,TE,CLE,BAL,10.174386752398448,18,5.0978260869565215,65.22173708920187,0.24055000000000004,0.17,6,0.5652437084665805,Away
Amon Ra St Brown,WR,DET,DAL,12.381408868349393,26,6.659598214285715,57.78882488479263,0.5454545454545454,0,4,0.47620803339805357,Away
