player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,games,ex_ppd
Josh Allen,QB,MIN,24.730033227081616,41,Home,8,0.6031715421239419
Justin Herbert,QB,SF,14.576709477386514,33,Away,8,0.4417184690117125
Tom Brady,QB,SEA,16.38186235723332,26,Home,9,0.6300716291243584
Patrick Mahomes,QB,JAX,21.43370671107266,38,Home,8,0.5640449134492805
Aaron Rodgers,QB,DAL,13.416112008731274,25,Home,9,0.5366444803492509
Matthew Stafford,QB,ARI,15.283409252408278,24,Home,8,0.636808718850345
Dak Prescott,QB,GB,14.214601664907791,30,Away,3,0.47382005549692635
Jalen Hurts,QB,WAS,21.754901009810034,38,Home,8,0.5724973949950009
Kyler Murray,QB,LAR,16.4316841482931,30,Away,9,0.5477228049431033
Kirk Cousins,QB,BUF,14.025609253063726,28,Away,8,0.5009146161808473
Ryan Tannehill,QB,DEN,11.243308206847162,20,Home,6,0.5621654103423581
Derek Carr,QB,IND,13.923189900107168,24,Home,8,0.5801329125044653
Russell Wilson,QB,TEN,16.442488887321225,24,Away,7,0.6851037036383844
Jimmy Garoppolo,QB,LAC,15.872059957843335,26,Home,6.75,0.610463844532436
Matt Ryan,QB,LV,12.902045701336544,20,Away,7,0.6451022850668272
Taylor Heinicke,QB,PHI,16.25284638693779,23,Away,3,0.7066454950842518
Teddy Bridgewater,QB,CLE,11.783452109450904,20,Home,3.25,0.5891726054725452
Trevor Lawrence,QB,KC,16.325251980386195,27,Away,9,0.6046389622365257
Jared Goff,QB,CHI,12.996733551058423,25,Away,8,0.5198693420423369
Tua Tagovailoa,QB,CLE,16.70234782866495,33,Home,7,0.5061317523837864
Baker Mayfield,QB,ATL,14.245450174974279,20,Home,5.75,0.712272508748714
Daniel Jones,QB,HOU,18.240364579426572,26,Home,8,0.701552483824099
Sam Darnold,QB,ATL,8.209028917037175,20,Home,0,0.4104514458518588
Davis Mills,QB,NYG,11.448512674467908,20,Away,8,0.5724256337233954
Justin Fields,QB,DET,20.03482859262435,33,Home,9,0.6071160179583136
Jameis Winston,QB,PIT,14.872943796312391,26,Away,3,0.572036299858169
Trevor Siemian,QB,DET,8.348579487535027,20,Home,0.75,0.4174289743767513
Andy Dalton,QB,PIT,15.93728867336628,26,Away,6,0.6129726412833185
Tyrod Taylor,QB,HOU,7.228060891556497,20,Home,0.75,0.36140304457782485
Jacoby Brissett,QB,MIA,14.4092842975136,24,Away,8,0.6003868457297333
Trey Lance,QB,LAC,11.426275792865928,20,Home,2,0.5713137896432964
Geno Smith,QB,TB,15.958981632036357,31,Away,9,0.514805859097947
Drew Lock,QB,TB,6.113303163447674,20,Away,0,0.3056651581723837
Colt McCoy,QB,LAR,5.625036130769328,20,Away,0,0.28125180653846643
Gardner Minshew II,QB,WAS,7.640910404642742,20,Home,0.75,0.3820455202321371
Case Keenum,QB,MIN,7.88354496235587,23,Home,1.5,0.34276282445025524
Cooper Rush,QB,GB,9.507133408005858,20,Away,5.75,0.4753566704002929
Jordan Love,QB,DAL,6.381274931815219,20,Home,1.5,0.319063746590761
Mason Rudolph,QB,NO,6.219814590445754,20,Home,0,0.3109907295222877
Nick Foles,QB,LV,7.778988058730895,26,Away,0,0.2991918484127267
P J Walker,QB,ATL,12.293672279492547,23,Home,5.75,0.5345074904127195
Nick Mullens,QB,BUF,4.942625552941177,20,Away,0.75,0.24713127764705883
Kyle Allen,QB,NYG,5.542894220004964,20,Away,0,0.2771447110002482
Chad Henne,QB,JAX,6.987603414705881,20,Home,1.5,0.34938017073529404
Ian Book,QB,WAS,6.844137833214169,20,Home,0,0.34220689166070845
Blaine Gabbert,QB,SEA,6.232985541007599,20,Home,0,0.3116492770503799
C J Beathard,QB,KC,7.087284027819675,20,Away,0,0.35436420139098374
Sam Ehlinger,QB,LV,11.260323708036129,23,Away,2,0.48957929165374475
Kellen Mond,QB,MIA,6.2750476,20,Away,0,0.31375238
Brett Rypien,QB,TEN,8.497435235250705,20,Away,1,0.42487176176253527
Chase Daniel,QB,SF,4.716530305651421,20,Away,0,0.23582651528257106
John Wolford,QB,ARI,6.987697023885918,20,Home,0,0.3493848511942959
Kenny Pickett,QB,NO,12.41370634931507,21,Home,4.75,0.5911288737769081
Mitch Trubisky,QB,NO,11.332457445205478,20,Home,4.75,0.5666228722602739
Skylar Thompson,QB,CLE,6.539846472497123,20,Home,1.75,0.32699232362485614
Malik Willis,QB,DEN,5.1503433615600835,20,Home,3.5,0.2575171680780042
Jarrett Stidham,QB,IND,5.37298515,20,Home,1.5,0.2686492575
Brock Purdy,QB,LAC,5.9826519,20,Home,1.5,0.299132595
Trace McSorley,QB,LAR,5.8146050256410255,20,Away,0.75,0.29073025128205127
Kyle Trask,QB,SEA,5.2067124,20,Home,0,0.26033562
Will Grier,QB,GB,3.6957184,20,Away,0,0.18478592
Desmond Ridder,QB,CAR,4.7666368,20,Away,0,0.23833184
Matt Corral,QB,ATL,6.0540876,20,Home,0,0.30270438
Nate Sudfeld,QB,CHI,4.0907508,20,Away,0,0.20453754000000002
Shane Buechele,QB,JAX,5.2264188,20,Home,0,0.26132094
Joshua Dobbs,QB,MIA,5.4188996,20,Away,0,0.27094498
Bryce Perkins,QB,ARI,6.072386399999999,20,Home,0,0.30361931999999997
Easton Stick,QB,SF,3.9280131999999996,20,Away,0,0.19640065999999998
Sam Howell,QB,PHI,3.9713224,20,Away,0,0.19856612
