player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,games,ex_ppd
Austin Ekeler,RB,MIA,20.1965787546652,36,Home,12,0.5610160765184777
Joe Mixon,RB,CLE,17.317300078111092,29,Home,10,0.5971482785555549
Najee Harris,RB,BAL,11.648491203581674,19,Home,12,0.6130784843990355
James Conner,RB,NE,11.60579094762058,19,Home,9,0.6108311025063463
Ezekiel Elliott,RB,HOU,13.232307054043352,24,Home,9.75,0.5513461272518063
Nick Chubb,RB,CIN,14.320246978905974,32,Away,12,0.4475077180908117
Damien Harris,RB,ARI,8.210316502749203,14,Away,8.75,0.5864511787678002
Leonard Fournette,RB,SF,11.641113497728487,13,Away,10.5,0.8954702690560374
Derrick Henry,RB,JAX,18.851382699732905,38,Home,12,0.4960890184140238
Dalvin Cook,RB,DET,15.09616192713778,28,Away,12,0.5391486402549207
Josh Jacobs,RB,LAR,15.48577432130904,36,Away,13,0.43016039781414
Devin Singletary,RB,NYJ,10.304572332339685,18,Home,12,0.572476240685538
D Andre Swift,RB,MIN,12.830356700727892,16,Home,8.25,0.8018972937954932
Tony Pollard,RB,HOU,15.709419024159384,30,Home,10,0.5236473008053129
Michael Carter,RB,BUF,7.544103843022618,17,Away,10.5,0.4437708142954481
Chuba Hubbard,RB,SEA,3.548520392260311,14,Away,7.75,0.2534657423043079
Saquon Barkley,RB,PHI,13.903036801444557,30,Home,12,0.4634345600481519
Rhamondre Stevenson,RB,ARI,13.77865463347007,22,Away,10,0.6263024833395486
Alexander Mattison,RB,DET,5.220062631822742,12,Away,9,0.43500521931856184
Jamaal Williams,RB,MIN,13.08849758934955,25,Home,10.5,0.5235399035739821
Latavius Murray,RB,KC,10.837259979429971,15,Home,6.5,0.7224839986286647
Miles Sanders,RB,NYG,11.334288093943469,21,Away,11.5,0.5397280044734986
Christian McCaffrey,RB,TB,16.56226099963028,32,Home,11.75,0.5175706562384462
Kenneth Gainwell,RB,NYG,4.52597701379816,14,Away,9,0.3232840724141543
Kareem Hunt,RB,CIN,7.516550955400637,15,Away,9,0.5011033970267091
D Onta Foreman,RB,SEA,8.075087810778365,23,Away,10.25,0.3510907743816681
Kenyan Drake,RB,PIT,7.0969781425963525,15,Away,8.75,0.47313187617309016
Samaje Perine,RB,CLE,8.62347778206444,21,Home,9.5,0.4106417991459257
Dontrell Hilliard,RB,JAX,7.502657082029311,11,Home,8.5,0.6820597347299373
Travis Homer,RB,CAR,4.02570782858055,15,Home,5.25,0.26838052190537
DeeJay Dallas,RB,CAR,1.529989291971077,13,Home,9,0.11769148399777515
Jerick McKinnon,RB,DEN,4.725006322968661,14,Away,9,0.33750045164061865
Joshua Kelley,RB,MIA,4.26321573470105,12,Home,6,0.3552679778917542
Mike Boone,RB,KC,2.6214605328621126,11,Home,6,0.23831459389655568
Dameon Pierce,RB,DAL,10.876336836253795,16,Away,12,0.6797710522658622
Travis Etienne Jr,RB,TEN,8.19371627170753,20,Away,10.75,0.4096858135853765
Jeff Wilson Jr,RB,LAC,9.736785638076965,20,Away,10.75,0.48683928190384823
Kenneth Walker III,RB,CAR,11.213584853288802,29,Home,10,0.3866753397685794
Raheem Mostert,RB,LAC,9.180138290556657,21,Away,10.5,0.4371494424074599
Isiah Pacheco,RB,DEN,4.904627773452891,19,Away,10.5,0.2581383038659416
Rachaad White,RB,SF,5.516724827070823,15,Away,9.75,0.3677816551380549
James Cook,RB,NYJ,4.300690181629228,14,Home,9,0.3071921558306591
Cam Akers,RB,LV,5.964648171746978,16,Home,9.5,0.3727905107341861
Jaylen Warren,RB,BAL,3.5224982387219206,11,Home,8.25,0.32022711261108366
Zonovan Knight,RB,BUF,9.036776655876308,21,Away,1.75,0.4303226978988718
Gus Edwards,RB,PIT,6.3300993909125465,17,Away,3.75,0.37235878770073805
Kyren Williams,RB,LV,3.8259339180742318,13,Home,4.5,0.2943026090826332
J K Dobbins,RB,PIT,6.442794044983625,14,Away,4,0.4601995746416875
Jordan Mason,RB,TB,0.8177801351120065,11,Home,8.25,0.07434364864654605
Tony Jones Jr,RB,CAR,1.3499428717333068,11,Home,3.75,0.12272207924848244
Mark Andrews,TE,PIT,11.326050894998781,24,Away,11,0.4719187872916159
Travis Kelce,TE,DEN,15.070616346921096,36,Away,12,0.41862823185891934
Deebo Samuel,WR,TB,8.620969886025557,20,Home,10.75,0.4310484943012779
Dalton Schultz,TE,HOU,7.220531928072265,19,Home,10,0.3800279962143297
Ja Marr Chase,WR,CLE,15.760007508379575,29,Home,8,0.5434485347717095
George Kittle,TE,TB,9.416886570355176,19,Home,10,0.4956256089660619
Justin Jefferson,WR,DET,17.20186217949567,40,Away,12,0.43004655448739176
Davante Adams,WR,LAR,17.891597432843344,33,Away,13,0.5421696191770711
Dawson Knox,TE,NYJ,5.972203885885832,13,Home,11,0.45940029891429474
Mike Evans,WR,SF,10.8299707948648,19,Away,11,0.569998462887621
Hunter Henry,TE,ARI,5.24456503281872,15,Away,11.75,0.3496376688545813
Tyreek Hill,WR,LAC,17.111917592043262,37,Away,12,0.4624842592444125
Stefon Diggs,WR,NYJ,17.497584601203847,36,Home,12,0.4860440167001069
Mike Williams,WR,MIA,10.980284774314615,24,Home,8,0.4575118655964423
Tyler Lockett,WR,CAR,12.590332034821806,24,Home,12,0.5245971681175753
Pat Freiermuth,TE,BAL,8.924588426701375,17,Home,9.75,0.5249757898059633
Diontae Johnson,WR,BAL,8.032246101350072,15,Home,12,0.5354830734233381
Noah Fant,TE,CAR,6.105104099694384,11,Home,11.75,0.5550094636085804
Hunter Renfrow,WR,LAR,4.853159339349116,12,Away,4.75,0.4044299449457596
Tyler Higbee,TE,LV,6.037018905189774,13,Home,13,0.4643860696299826
CeeDee Lamb,WR,HOU,13.188793340639704,24,Home,12,0.5495330558599877
Keenan Allen,WR,MIA,10.332219105992927,22,Home,5,0.4696463229996785
T J Hockenson,TE,DET,9.063260209829775,22,Away,11.75,0.41196637317408064
Tee Higgins,WR,CLE,11.873177157051025,23,Home,11.75,0.5162250937848272
Darren Waller,TE,LAR,6.287164053991508,18,Away,4.75,0.3492868918884171
Tyler Conklin,TE,BUF,5.810200679159675,11,Away,12,0.5282000617417887
Chris Godwin,WR,SF,10.817775223030521,23,Away,9.75,0.4703380531752401
David Njoku,TE,CIN,7.989141790083823,16,Away,9,0.49932136188023896
Brandin Cooks,WR,DAL,8.415884141348089,13,Away,10,0.6473757031806222
Jaylen Waddle,WR,LAC,12.902408170684078,28,Away,12,0.46080029181014565
Gerald Everett,TE,MIA,7.3002775219817035,17,Home,10,0.4294280895283355
Amon Ra St Brown,WR,MIN,14.19597827426481,27,Home,11,0.5257769731209189
Evan Engram,TE,TEN,5.9127482784020895,11,Away,11.25,0.5375225707638264
Foster Moreau,TE,LAR,4.617549658935137,13,Away,10.75,0.35519612761039515
Marquise Brown,WR,NE,12.918246392059848,17,Home,7,0.7598968465917557
Austin Hooper,TE,JAX,4.924274172076108,12,Home,9.5,0.4103561810063423
Amari Cooper,WR,CIN,11.620184086542025,24,Away,12,0.48417433693925105
Adam Thielen,WR,DET,9.0575746450853991,20,Away,12,0.45287873225426994
Christian Kirk,WR,TEN,13.078963988596117,26,Away,12,0.503037076484466
DeVonta Smith,WR,NYG,10.161045752857675,16,Away,12,0.6350653595536047
Van Jefferson,WR,LV,6.470371658525996,14,Home,6.5,0.46216940418042823
A J Brown,WR,NYG,14.231820935876733,23,Away,11.75,0.6187748232989884
Tyler Boyd,WR,CLE,9.090637093472315,15,Home,11.5,0.6060424728981544
Jonnu Smith,TE,ARI,2.6365894945199115,13,Away,9.5,0.20281457650153165
Brandon Aiyuk,WR,TB,10.629888576450048,20,Home,12,0.5314944288225024
K J Osborn,WR,DET,4.872229307754991,13,Away,11,0.374786869827307
DeAndre Hopkins,WR,NE,15.646169191460093,25,Home,6,0.6258467676584037
Hayden Hurst,TE,CLE,6.264079093641912,13,Home,12,0.48185223797245474
Jakobi Meyers,WR,ARI,10.159626303633827,15,Away,9.75,0.6773084202422551
Elijah Moore,WR,BUF,4.721561447978175,13,Away,10,0.3631970344598596
Courtland Sutton,WR,KC,8.524106238348116,14,Home,12,0.6088647313105797
Robert Woods,WR,JAX,5.63551005583473,12,Home,11.5,0.4696258379862275
Brock Wright,TE,MIN,2.4742177852145164,11,Home,10.5,0.22492888956495605
Donovan Peoples Jones,WR,CIN,7.573470513157348,15,Away,11.5,0.5048980342104898
Quez Watkins,WR,NYG,4.8301045164280465,11,Away,10.5,0.4391004105843679
Corey Davis,WR,BUF,7.7672365865859705,14,Away,8.5,0.5548026133275693
Nick Westbrook Ikhine,WR,JAX,5.146006818971831,14,Home,11.25,0.36757191564084507
Laviska Shenault Jr,WR,SEA,4.447671147907759,11,Away,6.25,0.40433374071888717
DeVante Parker,WR,ARI,6.002197420833034,13,Away,10.5,0.46170749391023336
DeAndre Carter,WR,MIA,6.448185943996888,13,Home,10.75,0.496014303384376
Zay Jones,WR,TEN,7.606784453463486,19,Away,10.75,0.40035707649807817
Jauan Jennings,WR,TB,4.397308691982051,11,Home,8.5,0.3997553356347319
Michael Gallup,WR,HOU,6.818484918661519,12,Home,8.25,0.5682070765551266
Rondale Moore,WR,NE,8.107906842153003,13,Home,8,0.6236851417040772
Jamal Agnew,WR,TEN,4.041372177394443,14,Away,7.5,0.28866944124246025
Josh Reynolds,WR,MIN,7.171173243153921,13,Home,8.75,0.5516287110118401
Nico Collins,WR,DAL,7.632890576034954,16,Away,9.25,0.4770556610021846
Devin Duvernay,WR,PIT,6.076092889417101,13,Away,12,0.46739176072439237
Julio Jones,WR,SF,6.203774801264972,13,Away,6,0.4772134462511517
Jerry Jeudy,WR,KC,9.044342641934213,16,Home,9.75,0.5652714151208883
Mack Hollins,WR,LAR,7.286346711776303,16,Away,12.75,0.4553966694860189
Demarcus Robinson,WR,PIT,4.704833826468198,16,Away,9.75,0.29405211415426236
Kadarius Toney,WR,DEN,3.529838780698549,11,Away,4.25,0.320894434608959
Darius Slayton,WR,PHI,7.596918878526386,14,Home,10,0.5426370627518847
Marquise Goodwin,WR,CAR,5.381396039583837,13,Home,7.75,0.41395354150644903
Chris Moore,WR,DAL,5.155535122207964,11,Away,8.75,0.4686850111098149
Isaiah McKenzie,WR,NYJ,6.346603000618748,13,Home,10,0.48820023081682673
Kendall Hinton,WR,KC,3.64478196570717,13,Home,8.5,0.28036784351593613
Garrett Wilson,WR,BUF,9.732870401606426,22,Away,10.75,0.44240320007301936
DK Metcalf,WR,CAR,9.251165684477748,23,Home,12,0.4022245949772934
JuJu Smith Schuster,WR,DEN,8.044837042109673,20,Away,10.75,0.4022418521054837
Gabe Davis,WR,NYJ,9.468966555946466,15,Home,11,0.6312644370630978
DJ Moore,WR,SEA,8.414285879671999,15,Away,12,0.5609523919781333
Joshua Palmer,WR,MIA,8.51704947823259,19,Home,10.75,0.44826576201224155
George Pickens,WR,BAL,6.361237357931469,18,Home,10.75,0.3534020754406372
Marvin Jones Jr,WR,TEN,5.562818646807694,17,Away,10,0.3272246262828055
Treylon Burks,WR,JAX,6.484459294921553,17,Home,7,0.381438782054209
Trent Sherfield,WR,LAC,4.415802754388984,13,Away,9.75,0.3396771349529988
Terrace Marshall Jr,WR,SEA,4.965135903980224,12,Away,8,0.41376132533168536
Tutu Atwell,WR,LV,3.633509398801791,11,Home,7.25,0.33031903625470826
Isaiah Hodgins,WR,PHI,4.707733603443134,12,Home,5,0.39231113362026115
D J Chark,WR,MIN,0,18,Home,0,0
Richie James,WR,PHI,0,12,Home,0,0
Greg Dulcich,TE,KC,7.018151204471308,13,Home,6,0.5398577849593313
Daniel Bellinger,TE,PHI,4.7573351515769575,11,Home,7.75,0.4324850137797234
Irv Smith Jr,TE,DET,4.684348010087288,12,Away,5.25,0.3903623341739407
