player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Jonathan Taylor,RB,TEN,16.621552080347353,36,0.4617097800096487
Austin Ekeler,RB,HOU,14.885234479641593,23,0.6471841078105041
Joe Mixon,RB,MIA,14.506239234859775,25,0.580249569394391
Najee Harris,RB,NYJ,15.96411869303573,26,0.6140045651167588
James Conner,RB,CAR,10.7604719883308,26,0.41386430724349227
Ezekiel Elliott,RB,WAS,9.286806411421557,24,0.38695026714256486
Nick Chubb,RB,ATL,15.863445389576494,30,0.5287815129858832
Damien Harris,RB,GB,10.256772333924397,15,0.6837848222616265
Alvin Kamara,RB,MIN,10.458185847495153,28,0.3735066374105412
Antonio Gibson,RB,DAL,12.566273016932705,18,0.6981262787184837
Leonard Fournette,RB,KC,12.513562295990592,24,0.521398428999608
Cordarrelle Patterson,RB,CLE,13.893781633737,20,0.69468908168685
Aaron Jones,RB,NE,13.514677814457395,23,0.5875946875851041
Derrick Henry,RB,IND,13.795370225603406,35,0.3941534350172402
Dalvin Cook,RB,NO,12.07057949550692,29,0.416226879155411
Josh Jacobs,RB,DEN,9.806998556000288,15,0.6537999037333525
Javonte Williams,RB,LV,11.75306212557098,22,0.5342300966168627
Devin Singletary,RB,BAL,9.62088419329879,16,0.6013052620811744
David Montgomery,RB,NYG,10.128754096771083,19,0.5330923208826885
AJ Dillon,RB,NE,9.859299421054615,20,0.49296497105273074
D Andre Swift,RB,SEA,15.455390458159869,28,0.5519782306485668
James Robinson,RB,PHI,16.119547371971997,24,0.6716478071654999
Tony Pollard,RB,WAS,10.864621291974863,20,0.5432310645987432
Michael Carter,RB,PIT,10.366914870278872,16,0.6479321793924295
Rashaad Penny,RB,DET,9.053566954698297,22,0.4115257706681044
Saquon Barkley,RB,CHI,17.349640629406863,29,0.598263469979547
Rhamondre Stevenson,RB,GB,8.787726163856679,20,0.4393863081928339
Chase Edmonds,RB,CIN,9.03733470074463,16,0.5648334187965394
Clyde Edwards Helaire,RB,TB,11.750433471701536,17,0.6912019689236197
Alexander Mattison,RB,NO,6.61776772669232,19,0.3483035645627537
Jamaal Williams,RB,SEA,12.61644121669491,23,0.5485409224649961
Miles Sanders,RB,JAX,7.651986010914337,21,0.364380286234016
Christian McCaffrey,RB,ARI,15.447599346984637,38,0.4065157722890694
Kenneth Gainwell,RB,JAX,4.635677104850511,12,0.38630642540420923
Kareem Hunt,RB,ATL,13.090009761493882,18,0.7272227645274378
Boston Scott,RB,JAX,3.3312138798928537,13,0.2562472215302195
J D McKissic,RB,DAL,8.153257041039076,12,0.6794380867532563
Zack Moss,RB,BAL,5.3766565847266055,13,0.41358896805589274
Nyheim Hines,RB,TEN,6.25097376314468,14,0.4464981259389057
Khalil Herbert,RB,NYG,10.54655560064775,19,0.5550818737183026
Samaje Perine,RB,MIA,5.3386385841789705,16,0.33366491151118566
