player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Jonathan Taylor,RB,JAX,13.734575342217886,34,Home,0.40395809830052604
Austin Ekeler,RB,DEN,17.593094067939703,32,Home,0.5497841896231157
Joe Mixon,RB,NO,12.54112895029141,22,Away,0.5700513159223368
Najee Harris,RB,TB,11.524987019767641,15,Home,0.7683324679845094
James Conner,RB,SEA,9.134564438471536,22,Away,0.4152074744759789
Ezekiel Elliott,RB,PHI,8.12324707415055,19,Away,0.4275393196921342
Nick Chubb,RB,NE,17.087742950418786,36,Home,0.47465952640052184
Damien Harris,RB,CLE,9.601759059835961,20,Away,0.4800879529917981
Alvin Kamara,RB,CIN,10.385777199371207,25,Home,0.4154310879748483
Antonio Gibson,RB,CHI,11.829681985547948,15,Away,0.7886454657031965
Leonard Fournette,RB,PIT,18.57371059961315,24,Away,0.7739046083172146
Aaron Jones,RB,NYJ,13.72413114197541,28,Home,0.4901475407848361
Dalvin Cook,RB,MIA,13.154996645028856,22,Away,0.5979543929558571
Devin Singletary,RB,KC,7.696429305351007,18,Away,0.4275794058528337
David Montgomery,RB,WAS,10.342508136644176,18,Home,0.5745837853691209
AJ Dillon,RB,NYJ,9.092119806860902,21,Home,0.43295808604099534
Darrel Williams,RB,SEA,4.043558151205397,13,Away,0.31104293470810745
James Robinson,RB,IND,10.662949112984158,22,Away,0.48467950513564356
Tony Pollard,RB,PHI,9.683629487687739,17,Away,0.5696252639816317
Michael Carter,RB,GB,8.208921951550371,16,Away,0.5130576219718982
Rashaad Penny,RB,ARI,9.702036840861398,21,Home,0.46200175432673324
Saquon Barkley,RB,BAL,18.513071967374195,39,Home,0.4746941530095947
Rhamondre Stevenson,RB,CLE,11.150435625381846,26,Away,0.42886290866853255
Clyde Edwards Helaire,RB,BUF,12.694118124590824,19,Home,0.6681114802416224
Alexander Mattison,RB,MIA,5.562244888404706,12,Away,0.46352040736705885
Latavius Murray,RB,LAC,17.129233879554665,15,Away,1.1419489253036443
Miles Sanders,RB,DAL,11.419183212821828,22,Home,0.5190537824009922
Christian McCaffrey,RB,LAR,17.0503606198742,31,Away,0.5500116328991678
Kenneth Gainwell,RB,DAL,3.4938687231887773,12,Home,0.2911557269323981
Kareem Hunt,RB,NE,10.705252480834632,16,Home,0.6690782800521645
J D McKissic,RB,CHI,5.741770110103688,12,Away,0.47848084250864065
Zack Moss,RB,KC,2.248850651775487,12,Away,0.1874042209812906
Nyheim Hines,RB,JAX,3.5182396313589566,16,Home,0.21988997695993479
