player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Josh Allen,QB,KC,25.072610103092774,41,Away,0.6115270756851896
Justin Herbert,QB,DEN,14.703852701612904,32,Home,0.45949539692540325
Tom Brady,QB,PIT,17.74442,28,Away,0.6337292857142858
Patrick Mahomes,QB,BUF,17.79243667250438,34,Home,0.5233069609560111
Aaron Rodgers,QB,NYJ,13.569243115727003,27,Home,0.5025645598417409
Matthew Stafford,QB,CAR,12.1931625,25,Home,0.4877265
Dak Prescott,QB,PHI,8.60462,28,Away,0.3073078571428572
Joe Burrow,QB,NO,16.553324074074077,32,Away,0.5172913773148149
Jalen Hurts,QB,DAL,20.521048500000003,37,Home,0.5546229324324325
Kyler Murray,QB,SEA,20.67871844405594,36,Away,0.5744088456682205
Kirk Cousins,QB,MIA,16.619738094302555,29,Away,0.5730944170449157
Carson Wentz,QB,CHI,11.584334921465969,25,Away,0.46337339685863876
Russell Wilson,QB,LAC,17.415740657193602,27,Away,0.6450274317479112
Lamar Jackson,QB,NYG,21.905270428769022,39,Away,0.5616736007376673
Jimmy Garoppolo,QB,ATL,15.28064985590778,24,Away,0.6366937439961575
Mac Jones,QB,CLE,14.250050108695653,20,Away,0.7125025054347827
Matt Ryan,QB,JAX,8.575670284463895,21,Home,0.40836525164113785
Taylor Heinicke,QB,CHI,4.74201,20,Away,0.2371005
Teddy Bridgewater,QB,MIN,8.957230000000001,23,Home,0.3894447826086957
Trevor Lawrence,QB,IND,13.426538370883879,25,Away,0.5370615348353551
Tua Tagovailoa,QB,MIN,15.05374,26,Home,0.57899
Baker Mayfield,QB,LAR,10.628454120267259,21,Away,0.5061168628698695
Daniel Jones,QB,BAL,19.603782186751797,31,Home,0.6323800705403806
Sam Darnold,QB,LAR,6.45778,20,Away,0.322889
Zach Wilson,QB,GB,13.01670592783505,23,Away,0.5659437359928282
Justin Fields,QB,WAS,14.983318684151124,21,Home,0.7134913659119583
Jameis Winston,QB,CIN,11.715563953744491,24,Home,0.4881484980726871
Trevor Siemian,QB,WAS,8.72505,20,Home,0.4362525
Andy Dalton,QB,CIN,11.572307643171806,20,Home,0.5786153821585903
