player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,ovr_ex_rec,fl,ex_ppd
Austin Ekeler,RB,Los Angeles Chargers,MIA,17.69497548846335,36,36.52432942708333,0.4013157894736842,57.44975122682661,0.7083333333333334,4.029345372460496,3,0.4915270969017597
Joe Mixon,RB,Cincinnati Bengals,CLE,16.119546317187865,29,17.476635248694073,0.16927083333333331,77.79841776693456,0.736328125,2.56689453125,1,0.5558464247306161
Najee Harris,RB,Pittsburgh Steelers,BAL,16.0175254155614,19,30.975305950861017,0.2071611253196931,67.31076511463714,0.4735294117647058,4.20955017301038,0,0.8430276534506
James Conner,RB,Arizona Cardinals,NE,15.94952514023424,19,25.64587574973862,0.20915032679738566,59.363935169443494,0.8184143222506394,2.5663123080557524,0,0.8394486915912758
Ezekiel Elliott,RB,Dallas Cowboys,HOU,14.313756391507443,24,15.68124387254902,0.09852941176470588,63.09960303139661,0.7843137254901962,2.51251987281399,1,0.5964065163128102
Nick Chubb,RB,Cleveland Browns,CIN,13.240629232835838,32,14.116910499139415,0.07993197278911564,76.66310631901487,0.49999999999999994,1.6517857142857144,1,0.41376966352611994
Damien Harris,RB,New England Patriots,ARI,11.348466139727407,14,8.558154005703916,0,59.06844878351154,0.7083333333333333,1.204945054945055,2,0.8106047242662433
Leonard Fournette,RB,Tampa Bay Buccaneers,SF,15.107060749557256,13,27.590924737912687,0.11501057082452432,60.60861244019138,0.5656565656565656,4.406208425720621,0,1.162081596119789
Derrick Henry,RB,Tennessee Titans,JAX,21.581565673952703,38,20.536900234055004,0,110.37715786189685,1.2228260869565217,2.3064066852367686,0,0.567935938788229
Dalvin Cook,RB,Minnesota Vikings,DET,16.4192640248535,28,17.072203869749885,0,97.6072937425269,0.6692307692307693,2.4872439118670275,2,0.5864022866019107
Josh Jacobs,RB,Las Vegas Raiders,LAR,14.11893173687518,36,22.410201408037768,0,61.623051686005674,0.6973365617433415,3.605546995377504,2,0.39219254824653277
Devin Singletary,RB,Buffalo Bills,NYJ,11.243277904599829,18,13.810527195953009,0.053067993366500824,53.60972412721364,0.5014925373134328,2.347779176407121,0,0.624626550255546
D Andre Swift,RB,Detroit Lions,MIN,17.982925628684082,16,46.148325296999616,0.2103134479271992,62.507978001923604,0.5232558139534883,5.803852478271082,1,1.1239328517927551
Tony Pollard,RB,Dallas Cowboys,HOU,12.621899429951425,30,27.824342592592593,0,68.42017723244717,0.23703703703703705,3.1504504504504505,0,0.4207299809983808
Michael Carter,RB,New York Jets,BUF,10.524797743725548,17,21.861429188002536,0,51.10495636721712,0.3557951482479784,2.4886633898842554,1,0.6191057496309146
Chuba Hubbard,RB,Carolina Panthers,SEA,8.720247768023182,14,13.653758749664693,0.0889929742388759,41.11155016820633,0.3182256509161041,1.8631053325796119,1,0.6228748405730844
Saquon Barkley,RB,New York Giants,PHI,11.335567428803467,30,22.00317704823337,0.22051282051282053,47.58808786000729,0.25,3.41442033749726,1,0.3778522476267822
Rhamondre Stevenson,RB,New England Patriots,ARI,10.109221431736621,22,12.591542376813177,0,60.838728620714974,0.3728070175438596,1.479757085020243,1,0.4595100650789373
Alexander Mattison,RB,Minnesota Vikings,DET,9.338242647973782,12,17.377064653138277,0.07352941176470588,41.35045834994021,0.33461538461538465,2.3409354464630847,1,0.7781868873311485
Jamaal Williams,RB,Detroit Lions,MIN,9.28137792708003,25,13.785280711506392,0,52.36284199363733,0.27,2.0931313131313134,0,0.3712551170832012
Latavius Murray,RB,Denver Broncos,KC,8.182917050483587,15,6.841427776231561,0,41.48197530864198,0.484375,0.8886534839924671,0,0.5455278033655725
Miles Sanders,RB,Philadelphia Eagles,NYG,8.164379204373324,21,14.007956325891108,0,56.79300184162062,0,2.501900108577633,1,0.3887799621130154
Christian McCaffrey,RB,San Francisco 49ers,TB,14.79346389742274,32,48.0771144278607,0.14285714285714285,54.49934045640417,0.10714285714285714,6.071636817992504,0,0.4622957467944606
Kenneth Gainwell,RB,Philadelphia Eagles,NYG,8.271185884621172,14,21.9726971869829,0.09591836734693876,21.47146239711354,0.326530612244898,3.110682709565911,1,0.5907989917586551
Kareem Hunt,RB,Cleveland Browns,CIN,14.662159218500875,15,31.62187951807229,0,52.649712666936466,0.7,4.07,0,0.9774772812333917
D Onta Foreman,RB,Carolina Panthers,SEA,12.438204782846547,23,19.6253164556962,0,77.31031487513573,0.38823529411764707,1.363793103448276,1,0.540791512297676
Kenyan Drake,RB,Baltimore Ravens,PIT,9.023037269231944,15,29.452251557953204,0.11278195488721804,26.7584127725526,0.2046783625730994,2.9944178628389153,0,0.6015358179487963
Samaje Perine,RB,Cincinnati Bengals,CLE,5.5768090220444435,21,14.545310015898249,0.07523148148148148,21.17666475315729,0.07552083333333331,2.2001953125,0,0.26556233438306875
Dontrell Hilliard,RB,Tennessee Titans,JAX,8.516203186218556,11,12.802223522527793,0,45.494578002180276,0.2698650674662668,2.6863893958313323,1,0.7742002896562323
Travis Homer,RB,Seattle Seahawks,CAR,4.4423491879106365,15,14.962509712509714,0,16.292257886761263,0.08994708994708994,1.5543797766019987,0,0.29615661252737574
DeeJay Dallas,RB,Seattle Seahawks,CAR,3.79293275037976,13,10.17909867909868,0,10.46083158432129,0.14814814814814814,1.6801016702977487,0,0.29176405772152003
Jerick McKinnon,RB,Kansas City Chiefs,DEN,2.6703346858254444,14,9.66985105620046,0.08177408177408177,6.2565151813233655,0,1.1741071428571428,0,0.1907381918446746
Joshua Kelley,RB,Los Angeles Chargers,MIA,1.8702027378169346,12,4.576361111111111,0,13.72235550708833,0,0.6139954853273137,1,0.15585022815141122
Mike Boone,RB,Denver Broncos,KC,1.1586829370370002,11,4.013637628722516,0,5.795884773662551,0,0.3554613935969868,0,0.10533481245790911
