player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fl,ex_ppd
Mark Andrews,TE,Baltimore Ravens,ATL,17.064318019096483,21,7.088299663299663,90.63025330303796,0.7428571428571428,0,0.8125865723379277
Travis Kelce,TE,Kansas City Chiefs,SEA,12.343305294483896,38,5.717912946428571,68.27254226675016,0.46368243243243246,1,0.32482382353904987
Deebo Samuel,WR,San Francisco 49ers,WAS,14.069933612526768,21,5.295108519598316,90.38984969333228,0.43956043956043955,2,0.6699968386917509
Dalton Schultz,TE,Dallas Cowboys,PHI,9.107626535626535,17,4.540950040950041,43.64424242424242,0.4121212121212121,0,0.5357427373897962
Ja Marr Chase,WR,Cincinnati Bengals,NE,13.06655135598556,30,4.361443014705882,73.71123966279676,0.6053921568627451,1,0.4355517118661853
George Kittle,TE,San Francisco 49ers,WAS,12.156819060168568,14,5.492815493544356,65.86235489220564,0.4945054945054945,1,0.8683442185834691
Justin Jefferson,WR,Minnesota Vikings,NYG,15.299277235340064,38,6.384865503990541,90.58401576770397,0.527681660899654,1,0.4026125588247385
Davante Adams,WR,Las Vegas Raiders,PIT,16.46508703656874,37,7.024475524475525,87.38175361287497,0.7024456521739131,0,0.44500235233969565
Dawson Knox,TE,Buffalo Bills,CHI,8.368313352160005,14,2.9177863998366345,35.026404912247386,0.5677966101694916,0,0.5977366680114289
Mike Evans,WR,Tampa Bay Buccaneers,ARI,11.96410639773664,18,4.0374745934959355,54.88973752151463,0.7427325581395349,0,0.6646725776520355
Hunter Henry,TE,New England Patriots,CIN,9.595164979021455,14,3.530895334174023,41.411927217705085,0.6147540983606556,0,0.685368927072961
Tyreek Hill,WR,Miami Dolphins,GB,14.553946300165142,36,6.421826511009309,74.70964814383302,0.6652452025586353,1,0.4042762861156984
Dallas Goedert,TE,Philadelphia Eagles,DAL,10.02460280846907,17,4.149064208027384,61.602401959808,0.2983050847457627,0,0.5896825181452394
Stefon Diggs,WR,Buffalo Bills,CHI,12.287238284163182,32,5.321545003543585,63.421520569011925,0.5473856209150327,0,0.38397619638009944
Mike Williams,WR,Los Angeles Chargers,IND,12.275803510177177,23,4.609917716449429,67.62016129032259,0.534804753820034,0,0.5337305873990077
Tyler Lockett,WR,Seattle Seahawks,KC,13.645855017860226,26,5.104648919753087,82.43530557983684,0.475,0,0.5248405776100087
Pat Freiermuth,TE,Pittsburgh Steelers,LV,8.727597264930905,19,4.086687306501548,34.92796708552747,0.555301296720061,1,0.4593472244700476
Diontae Johnson,WR,Pittsburgh Steelers,LV,14.093958590477028,16,6.700189753320683,75.01226967673628,0.5834502103786816,2,0.8808724119048142
Noah Fant,TE,Seattle Seahawks,KC,8.503074076771995,12,4.755015432098766,47.00566360722611,0.2375,0,0.7085895063976663
Hunter Renfrow,WR,Las Vegas Raiders,PIT,12.911964134890994,15,6.274436674436674,62.298182614407715,0.6130434782608696,1,0.8607976089927329
Tyler Higbee,TE,Los Angeles Rams,DEN,6.742380936247203,11,3.741133004926108,33.3522906793049,0.25609756097560976,0,0.6129437214770185
CeeDee Lamb,WR,Dallas Cowboys,PHI,10.935008565942992,24,4.976148279426969,64.40377049180327,0.3344262295081967,0,0.45562535691429135
Keenan Allen,WR,Los Angeles Chargers,IND,11.691690573516892,21,6.228696388261851,65.04973958333333,0.34539473684210525,0,0.5567471701674711
T J Hockenson,TE,Minnesota Vikings,NYG,8.978188213237207,19,5.108877721943049,46.29631705206859,0.2990196078431372,0,0.4725362217493267
Michael Pittman Jr,WR,Indianapolis Colts,LAC,11.581135334890345,18,5.4400871459695,67.43444703082066,0.35294117647058826,0,0.643396407493908
Tee Higgins,WR,Cincinnati Bengals,NE,11.02348495563766,21,4.838355654761905,67.11449985399565,0.33928571428571425,1,0.5249278550303648
Darren Waller,TE,Las Vegas Raiders,PIT,8.841504351869354,19,4.5687645687645695,54.42497561558214,0.1857707509881423,0,0.46534233430891336
Tyler Conklin,TE,New York Jets,JAX,6.863699247595455,14,3.800526271114506,37.63436112038202,0.2,0,0.4902642319711039
Chris Godwin,WR,Tampa Bay Buccaneers,ARI,11.27386817519072,19,6.110772357723578,66.85259404966807,0.303156146179402,2,0.5933614829047748
David Njoku,TE,Cleveland Browns,NO,6.365468289623385,16,2.627542372881356,34.63319379211762,0.26472962066182404,0,0.39784176810146155
Brandin Cooks,WR,Houston Texans,TEN,12.71450600152751,18,5.950741525423728,73.28420953101362,0.4017857142857143,0,0.7063614445293062
Jaylen Waddle,WR,Miami Dolphins,GB,12.217327479644606,28,6.298886138613861,64.07170124623391,0.46428571428571425,1,0.4363331242730216
Gerald Everett,TE,Los Angeles Chargers,IND,5.9218723211934625,15,3.1669240822145657,30.678654970760235,0.2585410895660203,2,0.39479148807956416
Cole Kmet,TE,Chicago Bears,BUF,5.02697206036494,14,3.3433734939759034,33.55285313376988,0,0,0.35906943288321
Amon Ra St Brown,WR,Detroit Lions,CAR,10.70643853890428,27,5.553030303030303,57.99488604780433,0.3550724637681159,0,0.39653476070015853
Evan Engram,TE,Jacksonville Jaguars,NYJ,6.936917316105559,20,3.4069106283714827,32.68549721218063,0.3508771929824561,1,0.34684586580527793
Terry McLaurin,WR,Washington Football Team,SF,10.504592090453336,21,4.631196298744217,62.5622083183753,0.32212885154061627,0,0.5002186709739684
Marquise Brown,WR,Arizona Cardinals,TB,11.172222143954679,16,5.893072289156627,61.42352666043031,0.3680555555555556,1,0.6982638839971674
Austin Hooper,TE,Tennessee Titans,HOU,4.823689063564766,11,2.3882311977715878,23.767325555880632,0.20880681818181818,0,0.43851718759679686
Amari Cooper,WR,Cleveland Browns,NO,11.965210114064005,22,4.96313559322034,63.06886869511946,0.5294592413236481,0,0.5438731870029093
Adam Thielen,WR,Minnesota Vikings,NYG,12.051868621045175,17,5.179744878237342,53.217246887138344,0.6900452488687783,0,0.708933448296775
Cameron Brate,TE,Tampa Bay Buccaneers,ARI,4.018945321843244,13,1.9399277326106596,15.399375278893352,0.2515073212747631,0,0.30914964014178803
Christian Kirk,WR,Jacksonville Jaguars,NYJ,13.079807057454804,19,5.242963095344473,72.32519058169665,0.5376344086021505,0,0.6884108977607791
DeVonta Smith,WR,Philadelphia Eagles,DAL,9.925313651525954,22,4.17560406436871,59.867653506848825,0.32835820895522383,1,0.45115062052390703
A J Brown,WR,Philadelphia Eagles,DAL,12.504407828159774,27,5.2960410924580295,73.1792574346922,0.42307692307692313,0,0.4631262158577694
Juwan Johnson,TE,New Orleans Saints,CLE,4.3501934512592815,16,1.331058020477816,15.028462592021913,0.36363636363636365,0,0.2718870907037051
Tyler Boyd,WR,Cincinnati Bengals,NE,8.670664730535737,15,4.22961566091954,49.17925865593209,0.27298850574712646,0,0.5780443153690491
Brandon Aiyuk,WR,San Francisco 49ers,WAS,8.754493688993897,17,3.6210782820590923,49.96767406747358,0.3444316877152698,1,0.514970216999641
K J Osborn,WR,Minnesota Vikings,NYG,8.347916382149485,17,3.350083752093803,41.6110980022023,0.4186274509803921,0,0.49105390483232264
Chase Claypool,WR,Chicago Bears,BUF,8.179246080156242,12,3.8544869131699206,55.278646925367994,0.12068965517241378,0,0.6816038400130201
DeAndre Hopkins,WR,Arizona Cardinals,TB,12.463880955690552,22,4.351807228915662,55.7686623012161,0.7851851851851852,0,0.5665400434404796
Jakobi Meyers,WR,New England Patriots,CIN,8.70984611455397,13,5.336394948335247,54.14782968744558,0.12437810945273631,1,0.6699881626579978
Allen Lazard,WR,Green Bay Packers,MIA,7.316768852975947,15,2.6591182020929836,33.55910017181444,0.43854995579133516,0,0.4877845901983965
Russell Gage,WR,Tampa Bay Buccaneers,ARI,8.668028960793292,14,4.518890483022478,51.24497991967871,0.2663018695850433,2,0.6191449257709494
Elijah Moore,WR,New York Jets,JAX,11.429697101760494,14,4.5337930043812396,57.781852149544896,0.5641025641025641,0,0.8164069358400353
Courtland Sutton,WR,Denver Broncos,LAR,7.5111472314774215,14,3.76591618180285,49.65502573411817,0.11044776119402985,0,0.5365105165341015
Robert Tonyan,TE,Green Bay Packers,MIA,5.181280908237932,12,2.393206381883685,26.69027849922084,0.21927497789566758,0,0.4317734090198277
Mecole Hardman,WR,Kansas City Chiefs,SEA,6.95028400096858,14,3.9776785714285716,45.61994417498912,0.11177278973889143,2,0.4964488572120414
Donovan Peoples Jones,WR,Cleveland Browns,NO,7.692350114744692,15,2.8708333333333336,50.35644932671863,0.2296918767507003,1,0.5128233409829794
Quez Watkins,WR,Philadelphia Eagles,DAL,6.407981087891866,13,2.9836099477793288,44.97128494954582,0.06984126984126984,0,0.49292162214552815
Jordan Akins,TE,Houston Texans,TEN,3.132583961249312,12,2.4180790960451977,23.044967941790937,0,2,0.26104866343744265
Corey Davis,WR,New York Jets,JAX,10.377394661777606,15,3.8835978835978833,57.244846088675516,0.4888888888888889,1,0.6918263107851738
Randall Cobb,WR,Green Bay Packers,MIA,7.273011526504734,14,2.768210230896798,36.482752473482485,0.40762656147271525,1,0.5195008233217667
DeVante Parker,WR,New England Patriots,CIN,9.26055418456794,12,4.534412955465587,56.775582331509355,0.21929824561403505,0,0.771712848713995
Marquez Valdes Scantling,WR,Kansas City Chiefs,SEA,6.951774571011324,12,2.5854910714285717,41.752452515132546,0.2472972972972973,0,0.579314547584277
Zay Jones,WR,Jacksonville Jaguars,NYJ,6.342180104848237,17,3.3069252077562328,41.55384167636787,0.1111111111111111,1,0.37306941793224924
Jauan Jennings,WR,San Francisco 49ers,WAS,6.219314164630482,12,2.121972987445707,23.32581988019088,0.4709576138147567,0,0.5182761803858735
Nico Collins,WR,Houston Texans,TEN,5.945103396790394,17,2.792881355932203,40.34377004538578,0.08571428571428572,0,0.349711964517082
Devin Duvernay,WR,Baltimore Ravens,ATL,4.248878174758003,12,2.3848484848484848,19.759344518142804,0.18008658008658007,0,0.3540731812298336
Jerry Jeudy,WR,Denver Broncos,LAR,8.081965205862804,19,4.723163841807908,57.203832849588494,0,0,0.4253665897822529
Mack Hollins,WR,Las Vegas Raiders,PIT,3.7773236261499576,16,0.947595614262281,14.871006982458702,0.3027375201288245,0,0.23608272663437235
Demarcus Robinson,WR,Baltimore Ravens,ATL,4.005036571681648,15,1.6289948666997849,17.291808245144257,0.24355971896955503,0,0.2670024381121099
Kadarius Toney,WR,Kansas City Chiefs,SEA,7.079135092123888,11,4.562631302521008,47.97819440863384,0,0,0.6435577356476262
Darius Slayton,WR,New York Giants,MIN,6.298272251088272,19,2.531986531986532,36.140971669131865,0.2666666666666667,1,0.3314880132151722
Marquise Goodwin,WR,Seattle Seahawks,KC,4.7293864735152615,19,2.0342312008978674,31.940890548845093,0.08636363636363636,0,0.2489150775534348
Chris Moore,WR,Houston Texans,TEN,5.365657773028731,18,2.4017407237746218,27.748260211800304,0.23166023166023167,0,0.2980920985015962
Isaiah McKenzie,WR,Buffalo Bills,CHI,2.385776660489027,13,1.4950012817226352,13.33311480620617,0.07919621749408984,1,0.183521281576079
DJ Chark,WR,Detroit Lions,CAR,7.677842633960994,16,1.6196338383838382,36.723735408560316,0.5326086956521738,0,0.4798651646225621
Kendall Hinton,WR,Denver Broncos,LAR,2.6500726315235164,14,1.331719128329298,15.311518428690711,0.07551020408163264,0,0.18929090225167974
Parris Campbell,WR,Indianapolis Colts,LAC,5.4130720837157416,15,2.001763668430335,32.69333106643431,0.19047619047619047,0,0.3608714722477161
