player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,GB,22.0886075679706,37,239.14705882352942,1.9705882352941178,41.286075679706016,0.29117647058823526,3,0.8823529411764706,0.5969893937289352
Tom Brady,QB,Tampa Bay Buccaneers,BAL,20.530687212684118,28,295.8235294117647,2.176470588235294,4.428440754292147,0.10130718954248366,3,0.7058823529411765,0.7332388290244328
Aaron Rodgers,QB,Green Bay Packers,BUF,16.20073206418195,24,210.09375,1.5091911764705883,6.256019736842106,0.23076923076923078,0,0.25,0.6750305026742479
Matthew Stafford,QB,Los Angeles Rams,SF,16.665786236063052,23,246.94117647058823,1.9411764705882353,2.5872741253364087,0,2,1,0.7245994015679588
Dak Prescott,QB,Dallas Cowboys,CHI,17.56679604002998,30,234.82536764705884,2.068014705882353,9.142225106182162,0.06041666666666666,6,0.625,0.5855598680009994
Joe Burrow,QB,Cincinnati Bengals,CLE,17.78792798591882,38,245.2408088235294,1.9154411764705883,7.618434270952927,0.11328125,2,0.875,0.4681033680504953
Jalen Hurts,QB,Philadelphia Eagles,PIT,20.94672675405337,39,212.32941176470587,1.2392156862745098,50.03354205033763,0.5599999999999999,2,0.6,0.5370955577962402
Kyler Murray,QB,Arizona Cardinals,MIN,21.492733695388182,33,261.72058823529414,1.7100840336134453,31.276734104046245,0.2950310559006211,0,0.7142857142857143,0.6512949604663085
Kirk Cousins,QB,Minnesota Vikings,ARI,17.629243561414203,28,239.11213235294116,1.9136029411764706,7.228465025906736,0.0625,2,0.4375,0.6296158414790787
Ryan Tannehill,QB,Tennessee Titans,HOU,17.760276819112224,21,230.91176470588238,1.4117647058823528,15.928599393168252,0.42966751918158563,4,0.8235294117647058,0.8457274675767726
Derek Carr,QB,Las Vegas Raiders,NO,14.42391138273491,28,253.67647058823528,1.2647058823529411,6.297937356760885,0,5,0.8235294117647058,0.5151396922405326
Russell Wilson,QB,Denver Broncos,JAX,17.187416433239964,22,225.14915966386553,1.5987394957983194,13.400634920634921,0.16964285714285715,1,0.42857142857142855,0.7812462015109074
Lamar Jackson,QB,Baltimore Ravens,TB,19.753554906970184,33,239.55392156862746,1.4313725490196076,52.23685625924432,0.13425925925925924,3,1.0833333333333333,0.5985925729384904
Jimmy Garoppolo,QB,San Francisco 49ers,LAR,14.779357301218147,23,247.8529411764706,1.1666666666666665,3.0766389658356417,0.18181818181818182,3,0.8,0.6425807522268759
Mac Jones,QB,New England Patriots,NYJ,15.217630650586596,23,241.47058823529414,1.4705882352941178,7.941012388218885,0,3,0.7647058823529411,0.6616361152428955
Matt Ryan,QB,Indianapolis Colts,WAS,15.64083814055329,24,244.1470588235294,1.5882352941176472,4.0971514590088,0.0481283422459893,4,0.7058823529411765,0.6517015891897204
Taylor Heinicke,QB,Washington Football Team,IND,16.346478394739375,22,225.5985060690943,1.5760971055088702,18.875025992929924,0.05616605616605616,2,0.9523809523809523,0.7430217452154261
Teddy Bridgewater,QB,Miami Dolphins,DET,16.86979891956783,23,231.3529411764706,1.5546218487394958,9.329081632653061,0.1845238095238095,1,0.5,0.7334695182420796
Trevor Lawrence,QB,Jacksonville Jaguars,DEN,13.630440757499581,23,214.5,1,20.41390983743925,0.0995475113122172,5,1,0.5926278590217209
Jared Goff,QB,Detroit Lions,MIA,13.799726935312831,30,229.74579831932772,1.3550420168067228,6.1829836388426,0,6,0.5714285714285714,0.45999089784376107
Tua Tagovailoa,QB,Miami Dolphins,DET,17.331876750700282,34,226.3921568627451,1.5392156862745097,12.369747899159663,0.303921568627451,1,0.7843137254901961,0.5097610809029495
Baker Mayfield,QB,Carolina Panthers,ATL,15.182747835290469,20,223.73529411764707,1.51890756302521,10.610671630215602,0.07563025210084033,3,0.9285714285714286,0.7591373917645234
Daniel Jones,QB,New York Giants,SEA,17.725104037306433,27,243.09893048128345,1.160427807486631,29.048901335631193,0.2727272727272727,3,0.6363636363636364,0.6564853347150531
Sam Darnold,QB,Carolina Panthers,ATL,17.140311382713733,20,223.76720901126407,1.2947434292866082,20.94504123639892,0.45056320400500627,4,1.1063829787234043,0.8570155691356867
Davis Mills,QB,Houston Texans,TEN,13.944615603540996,23,229.17764705882354,1.3458823529411765,3.5398030942334744,0,1,0.8,0.606287634936565
Zach Wilson,QB,New York Jets,NE,13.313987472705847,21,183.32805429864254,0.9638009049773756,16.09178164367126,0.2527472527472528,1,0.8461538461538461,0.6339994034621832
Justin Fields,QB,Chicago Bears,DAL,14.88538876092515,20,200.39258312020462,1.0102301790281332,35.61683974662817,0.16770186335403725,5,0.8695652173913043,0.7442694380462574
Taysom Hill,QB,New Orleans Saints,LV,16.492449210991946,19,154.9078431372549,1.030718954248366,32.84370779619398,0.5555555555555556,0,0.4444444444444444,0.8680236426837866
Jameis Winston,QB,New Orleans Saints,LV,17.91225455727243,29,195.0126050420168,1.8529411764705883,23.428427925665495,0.17857142857142855,1,0.42857142857142855,0.6176639502507735
Trevor Siemian,QB,Chicago Bears,DAL,16.280906145681985,20,223.99732620320856,1.7058823529411766,3.5462654293179563,0.17532467532467533,1,0.5454545454545454,0.8140453072840993
Andy Dalton,QB,New Orleans Saints,LV,13.577196797352794,26,212.44117647058823,1.3862745098039215,10.011183659802445,0,1,1.2,0.5221998768212613
Tyler Huntley,QB,Baltimore Ravens,TB,16.047928408830252,20,205.9505882352941,1.0047058823529411,38.444146833400566,0.2577777777777778,3,0.64,0.8023964204415126
Tyrod Taylor,QB,New York Giants,SEA,19.38483296162067,20,213.23529411764707,1.1225490196078431,26.985584518167457,0.75,0,0.8333333333333334,0.9692416480810335
Jacoby Brissett,QB,Cleveland Browns,CIN,11.907716257816679,20,191.70278637770897,1.0278637770897832,6.281496943491874,0.09210526315789472,3,0.42105263157894735,0.5953858128908339
Trey Lance,QB,San Francisco 49ers,LAR,14.977469951264313,20,181.1529411764706,1,30.40443213296399,0.18181818181818182,0,0.4,0.7488734975632156
Geno Smith,QB,Seattle Seahawks,NYG,15.922405657344898,29,206.51176470588234,1.4607843137254901,11.521311475409835,0.2444444444444444,1,0.26666666666666666,0.5490484709429275
Drew Lock,QB,Seattle Seahawks,NYG,13.82476006796161,20,187.86414565826328,0.984593837535014,10.384855581576893,0.3492063492063492,1,0.38095238095238093,0.6912380033980805
Mike White,QB,New York Jets,NE,11.798787207264429,20,220.62549019607843,1.284313725490196,-0.30153969206158765,0,0,2.1333333333333333,0.5899393603632215
