player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Austin Ekeler,RB,0.6357770234562901,17.165979633319832,LAC,CLE,27,17.494256619028334,0.6479354303343827,16.4,4 out of 5 stars,A
Joe Mixon,RB,0.6695820060959717,15.40038614020735,CIN,BAL,23,15.571980200296217,0.6770426174041833,15,4 out of 5 stars,A
Najee Harris,RB,0.767397636824719,14.58055509966966,PIT,BUF,19,15.34365014238523,0.8075605338097489,12.8,2 out of 5 stars,B
James Conner,RB,0.6359278902141146,14.626341474924635,ARI,PHI,23,16.05191639274948,0.6979094083804122,11.3,4 out of 5 stars,B-
Ezekiel Elliott,RB,0.7184581891832965,11.495331026932744,DAL,LAR,16,11.921901467046776,0.7451188416904235,10.5,2 out of 5 stars,C
Nick Chubb,RB,0.41659085514336175,15.830452495447746,CLE,LAC,38,14.986360707782495,0.3943779133626973,17.8,4 out of 5 stars,A+
Damien Harris,RB,0.5796835100747316,13.332720731718828,NE,DET,23,13.432458188169756,0.584019921224772,13.1,5 out of 5 stars,B
Alvin Kamara,RB,0.6619718162245712,15.887323589389709,NO,SEA,24,16.781890841985298,0.6992454517493875,13.8,4 out of 5 stars,A-
Antonio Gibson,RB,0.6939185844288259,11.79661593529004,WAS,TEN,17,12.566594193271486,0.7392114231336169,10,4 out of 5 stars,C
Leonard Fournette,RB,0.7125360433191011,15.675792953020224,TB,ATL,22,16.13684707574318,0.7334930488974173,14.6,4 out of 5 stars,A
Aaron Jones,RB,0.5205044042780632,14.053618915507705,GB,NYG,27,13.476598450725294,0.4991332759527886,15.4,3 out of 5 stars,A
Derrick Henry,RB,0.49215624127559343,18.209780927196956,TEN,WAS,37,18.771115610281367,0.5073274489265234,16.9,2 out of 5 stars,A+
Dalvin Cook,RB,0.5208313018969752,15.104107755012281,MIN,CHI,29,14.891582507160402,0.5135028450744966,15.6,2 out of 5 stars,A
Josh Jacobs,RB,0.7346597677767034,13.958535587757364,LV,KC,19,14.069336553939094,0.7404913975757418,13.7,4 out of 5 stars,B+
Devin Singletary,RB,0.5872158589155367,10.56988546047966,BUF,PIT,18,10.342693514970946,0.5745940841650525,11.1,2 out of 5 stars,C+
David Montgomery,RB,0.43277066258045865,10.386495901931008,CHI,MIN,24,13.680708431330013,0.5700295179720839,2.7,3 out of 5 stars,F
AJ Dillon,RB,0.6363336074862432,12.090338542238621,GB,NYG,19,12.471912203198032,0.6564164317472648,11.2,3 out of 5 stars,C+
James Robinson,RB,0.5189810639447804,14.531469790453851,JAC,HOU,28,14.716385414934075,0.5255851933905027,14.1,4 out of 5 stars,A-
Tony Pollard,RB,0.6829353609168022,10.244030413752032,DAL,LAR,15,10.99147201964576,0.7327648013097173,8.5,2 out of 5 stars,C-
Michael Carter,RB,0.6852310188808536,9.59323426433195,NYJ,MIA,14,10.36176323475993,0.740125945339995,7.8,2 out of 5 stars,D
Rashaad Penny,RB,0.6641205254141285,11.290048932040184,SEA,NO,17,11.50006990291455,0.6764747001714442,10.8,3 out of 5 stars,C+
Chuba Hubbard,RB,0.48043688944684787,5.765242673362175,CAR,SF,12,7.121775247660249,0.5934812706383541,2.6,2 out of 5 stars,F
Saquon Barkley,RB,0.37678399205111407,13.94100770589122,NYG,GB,37,11.9014395798446,0.3216605291849892,18.7,3 out of 5 stars,A+
