player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Josh Allen,QB,0.5898715216366929,23.594860865467716,BUF,PIT,40,22.56408695066817,0.5641021737667041,26,3 out of 5 stars,A+
Justin Herbert,QB,0.5828185281064315,19.81582995561867,LAC,CLE,34,19.09404279374096,0.5615894939335577,21.5,5 out of 5 stars,A-
Tom Brady,QB,0.6899568046536795,19.318790530303026,TB,ATL,28,19.369700757575757,0.691775027056277,19.2,5 out of 5 stars,B+
Aaron Rodgers,QB,0.6653198065733567,17.963634777480628,GB,NYG,27,18.033763967829472,0.6679171839936842,17.8,4 out of 5 stars,B
Matthew Stafford,QB,0.6295022339072596,16.36705808158875,LAR,DAL,26,16.0957972594125,0.6190691253620192,17,2 out of 5 stars,C+
Joe Burrow,QB,0.5637094103254944,19.7298293613923,CIN,BAL,35,19.485470516274717,0.5567277290364204,20.3,3 out of 5 stars,B+
Jalen Hurts,QB,0.5843476329520855,22.205210052179247,PHI,ARI,38,20.9645857888275,0.5516996260217762,25.1,4 out of 5 stars,A
Kyler Murray,QB,0.5958789853120929,19.664006515299068,ARI,PHI,33,20.077152164712956,0.6083985504458471,18.7,1 out of 5 stars,B
Kirk Cousins,QB,0.6086562243989241,17.042374283169874,MIN,CHI,28,16.63196326167125,0.5939986879168303,18,4 out of 5 stars,B
Ryan Tannehill,QB,0.6664430569035905,17.327519479493354,TEN,WAS,26,17.853599256419077,0.6866768944776568,16.1,3 out of 5 stars,D+
Carson Wentz,QB,0.5957198737663569,16.084436591691638,WAS,TEN,27,15.992052273845196,0.5922982323646369,16.3,4 out of 5 stars,C-
Derek Carr,QB,0.5597515388269547,16.79254616480864,LV,KC,30,16.1464945211552,0.5382164840385067,18.3,4 out of 5 stars,B
Russell Wilson,QB,0.6995410005920663,17.488525014801656,DEN,IND,25,17.52646430685951,0.7010585722743804,17.4,3 out of 5 stars,B-
Lamar Jackson,QB,0.5723202752706374,21.748170460284225,BAL,CIN,38,20.825957800406037,0.5480515210633168,23.9,2 out of 5 stars,A
Jimmy Garoppolo,QB,0.6184961825372328,14.843908380893588,SF,CAR,24,14.691297686990843,0.6121374036246185,15.2,3 out of 5 stars,F
Mac Jones,QB,0.4860121459026387,11.664291501663328,NE,DET,24,15.634702145233325,0.6514459227180552,2.4,4 out of 5 stars,F
Matt Ryan,QB,0.6574280655538829,13.148561311077657,IND,DEN,20,12.39794473011094,0.6198972365055471,14.9,3 out of 5 stars,F
Teddy Bridgewater,QB,0.6528087871598639,16.320219678996597,MIA,NYJ,25,16.24317096999514,0.6497268387998056,16.5,4 out of 5 stars,C
Trevor Lawrence,QB,0.6152097615157216,15.995453799408761,JAC,HOU,26,15.264933999155373,0.5871128461213604,17.7,3 out of 5 stars,B-
Jared Goff,QB,0.5103400149010859,14.799860432131492,DET,NE,29,13.771229188759278,0.474869972026182,17.2,3 out of 5 stars,C+
Baker Mayfield,QB,0.6411022445990239,12.822044891980477,CAR,SF,20,13.088635559972111,0.6544317779986055,12.2,2 out of 5 stars,F
Daniel Jones,QB,0.6997281947342786,16.093748478888408,NYG,GB,23,17.205354969840585,0.7480589117321993,13.5,4 out of 5 stars,F
Davis Mills,QB,0.6700268071729958,13.400536143459915,HOU,JAX,20,13.657908776371308,0.6828954388185654,12.8,2 out of 5 stars,F
Zach Wilson,QB,0.6652582539679354,15.300939841262513,NYJ,MIA,23,15.044199773232164,0.654095642314442,15.9,2 out of 5 stars,D
Justin Fields,QB,0.7351744775556649,15.438664028668963,CHI,MIN,21,15.79809146952709,0.7522900699774805,14.6,1 out of 5 stars,F
Jameis Winston,QB,0.6642614436190906,15.942274646858174,NO,SEA,24,17.67467806694025,0.7364449194558437,11.9,5 out of 5 stars,F
Andy Dalton,QB,0.6984118281312993,13.968236562625986,NO,SEA,20,13.99748080375141,0.6998740401875705,13.9,5 out of 5 stars,F
Jacoby Brissett,QB,0.6170904993363177,13.575990985398988,CLE,LAC,22,12.794272836284268,0.5815578561947394,15.4,3 out of 5 stars,D-
Geno Smith,QB,0.7161087442598717,15.754392373717177,SEA,NO,22,15.30627481959597,0.6957397645270895,16.8,3 out of 5 stars,C
Cooper Rush,QB,0.5634825172214193,11.269650344428385,DAL,LAR,20,10.485214777754836,0.5242607388877418,13.1,2 out of 5 stars,F
Marcus Mariota,QB,0.47483820622559153,11.870955155639788,ATL,TB,25,10.272793079485412,0.4109117231794165,15.6,3 out of 5 stars,D
Mitch Trubisky,QB,0.06928697482014388,1.3857394964028777,PIT,BUF,20,1.5510564234326825,0.07755282117163412,1,2 out of 5 stars,F
Kenny Pickett,QB,0.29338768705035967,5.867753741007194,PIT,BUF,20,2.2967910585817064,0.11483955292908532,14.2,2 out of 5 stars,F
Bailey Zappe,QB,0.22269260869565216,5.12193,NE,DET,23,1.9599,0.08521304347826086,12.5,4 out of 5 stars,F
