Player,Position_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,Int_pas,ex_ppd
Tua Tagovailoa,QB,BUF,16.416854304635763,27,259.25,2,0.4685430463576159,0,0.5,1,0.6080316409124357
Carson Wentz,QB,PHI,20.174046242774565,28,264.25,2.5,21.040462427745666,0,0.5,1.5,0.7205016515276631
Joe Flacco,QB,CIN,16.18511363636364,23,259.5,1.75,3.0511363636363633,0,0.5,0.5,0.7037005928853756
Josh Allen,QB,MIA,27.631756756756758,38,281.25,2.75,33.817567567567565,0.5,0,1,0.727151493598862
Justin Herbert,QB,JAX,20.416026490066226,40,270.5,2.5,0.9602649006622517,0,0,0.5,0.5104006622516557
Jacoby Brissett,QB,PIT,16.545934976402727,21,225.35,1.5,18.61934976402727,0,0,0.33,0.787901665542987
Patrick Mahomes,QB,IND,20.698280542986424,39,263,2.75,1.7828054298642535,0,0.5,0,0.530725142127857
Jalen Hurts,QB,WAS,27.16972295514512,34,267.5,1.5,67.19722955145119,0.875,0.5,0.5,0.7991094986807388
Russell Wilson,QB,SF,12.131964285714286,27,211,1,1.9196428571428572,0,0,0.5,0.4493320105820106
Derek Carr,QB,TEN,17.4146875,29,254,2.5,7.546875,0,1,1.5,0.6005064655172414
Matt Ryan,QB,KC,10.05116883116883,23,263,1.5,5.311688311688312,0,2.5,2,0.4370073404856013
Joe Burrow,QB,NYJ,15.545518018018019,33,242.25,1.75,38.55518018018018,0,1.5,2,0.4710763035763036
Lamar Jackson,QB,NE,23.08302752293578,38,231.25,2,58.330275229357795,0.25,0.5,0.5,0.6074480927088363
Matthew Stafford,QB,ARI,18.79888888888889,34,279,2.75,1.3888888888888888,0,0.5,2.5,0.5529084967320261
Trevor Lawrence,QB,LAC,17.063835616438354,22,248,1.75,6.438356164383562,0,0,0.5,0.7756288916562888
Jameis Winston,QB,CAR,11.175597609561754,27,201.25,1.25,6.25597609561753,0,0.5,1.5,0.41391102257636125
Kirk Cousins,QB,DET,15.258510638297874,34,261.25,1.5,13.085106382978724,0,0.5,1.5,0.44877972465581983
Jared Goff,QB,MIN,16.013897849462367,20,255.25,1.75,3.038978494623656,0,0.5,0.5,0.8006948924731183
Kyler Murray,QB,LAR,21.477256097560975,35,233.25,2,26.472560975609756,0.3333333333333333,0,0.5,0.6136358885017421
Mac Jones,QB,BAL,19.50549504950495,20,305.75,2.25,2.754950495049505,0,0.5,1,0.9752747524752475
Aaron Rodgers,QB,TB,8.947531847133758,27,202.5,0.75,3.4753184713375793,0,1,0.5,0.3313900684123614
Davis Mills,QB,CHI,11.83,22,195.75,1,0,0,0,0,0.5377272727272727
Marcus Mariota,QB,SEA,16.657560137457047,24,231.25,1,44.07560137457045,0.5,1.5,1,0.694065005727377
Tom Brady,QB,GB,10.690000000000001,27,179.75,1,0,0,0,0.5,0.39592592592592596
Geno Smith,QB,ATL,15.651428571428571,25,224.5,1.75,11.714285714285714,0,0.5,0.5,0.6260571428571429
Ryan Tannehill,QB,LV,14.829826589595376,24,233,1.5,5.098265895953757,0,0,1,0.6179094412331406
Baker Mayfield,QB,NO,10.754125000000002,23,195.75,0.75,24.24125,0.5,2.5,0.5,0.46757065217391314
Daniel Jones,QB,DAL,12.70275659824047,24,181,1.25,19.62756598240469,0,0.5,0.5,0.5292815249266862
Cooper Rush,QB,NYG,11.057134831460674,21,173.5,1,1.1713483146067416,0,0,0,0.5265302300695559
Trey Lance,QB,DEN,8.140890410958905,20,131.25,0.5,23.90890410958904,0,0.5,0.5,0.40704452054794527
Justin Fields,QB,HOU,14.172150537634408,24,183,1,26.021505376344088,0.375,0.5,1,0.5905062724014337
Jimmy Garoppolo,QB,DEN,13.746849315068495,24,159.75,1,3.5684931506849313,0.5,0,0,0.572785388127854
Dak Prescott,QB,NYG,9.918483146067416,20,165.75,0.75,12.884831460674157,0,0,1,0.4959241573033708
Jordan Love,QB,TB,6.11,20,127.75,0.25,0,0,0,0,0.3055
Trace McSorley,QB,LAR,11.727723577235773,20,121.75,1.25,18.577235772357724,0,0,0,0.5863861788617887
Malik Willis,QB,LV,9.42271676300578,20,140.25,1,18.127167630057805,0,1,0,0.47113583815028903
Case Keenum,QB,MIA,9.314954954954956,20,127.75,1,2.0495495495495497,0,0,0,0.4657477477477478
Blaine Gabbert,QB,GB,5.17,20,79.25,0.5,0,0,0,0,0.2585
Kyle Trask,QB,GB,5.17,20,79.25,0.5,0,0,0,0,0.2585
Tyler Huntley,QB,NE,5.9399999999999995,20,98.5,0.5,0,0,0,0,0.297
Brian Hoyer,QB,BAL,14.58,20,189.5,1.75,0,0,0,0,0.729
Bailey Zappe,QB,BAL,14.58,20,189.5,1.75,0,0,0,0,0.729
Chad Henne,QB,IND,8.57,20,114.25,1,0,0,0,0,0.4285
Shane Buechele,QB,IND,8.57,20,114.25,1,0,0,0,0,0.4285
Sam Ehlinger,QB,KC,10.05,20,126.25,1.25,0,0,0,0,0.5025000000000001
Nick Foles,QB,KC,10.05,20,126.25,1.25,0,0,0,0,0.5025000000000001
Mitch Trubisky,QB,CLE,8.14,20,120,0.835,0,0,0,0,0.40700000000000003
Mason Rudolph,QB,CLE,8.14,20,120,0.835,0,0,0,0,0.40700000000000003
Kenny Pickett,QB,CLE,8.14,20,120,0.835,0,0,0,0,0.40700000000000003
Joshua Dobbs,QB,PIT,8.379999999999999,20,126,0.835,0,0,0,0,0.41899999999999993
Kellen Mond,QB,PIT,8.379999999999999,20,126,0.835,0,0,0,0,0.41899999999999993
Andy Dalton,QB,CAR,5,20,75,0.5,0,0,0,0,0.25
P J Walker,QB,NO,5.03,20,100.75,0.25,0,0,0,0,0.2515
Matt Corral,QB,NO,5.03,20,100.75,0.25,0,0,0,0,0.2515
Sam Darnold,QB,NO,5.03,20,100.75,0.25,0,0,0,0,0.2515
Kyle Allen,QB,CHI,5.66,20,91.5,0.5,0,0,0,0,0.28300000000000003
Trevor Siemian,QB,HOU,7.41,20,135.25,0.5,0,0,0,0,0.3705
Teddy Bridgewater,QB,BUF,3.98,20,74.5,0.25,0,0,0,0,0.199
Skylar Thompson,QB,BUF,3.98,20,74.5,0.25,0,0,0,0,0.199
Nick Mullens,QB,DET,8.469999999999999,20,136.75,0.75,0,0,0,0,0.42349999999999993
Nate Sudfeld,QB,MIN,6.5,20,137.5,0.25,0,0,0,0,0.325
Mike White,QB,CIN,6.22,21,105.5,0.5,0,0,0,0,0.29619047619047617
Zach Wilson,QB,CIN,6.22,20,105.5,0.5,0,0,0,0,0.311
Brandon Allen,QB,NYJ,8.32,20,108,1,0,0,0,0,0.41600000000000004
Jarrett Stidham,QB,TEN,10.690000000000001,20,117.25,1.5,0,0,0,0,0.5345000000000001
Gardner Minshew II,QB,WAS,9.940000000000001,20,123.5,1.25,0,0,0,0,0.49700000000000005
Taylor Heinicke,QB,PHI,7.07,20,101.75,0.75,0,0,0,0,0.35350000000000004
Sam Howell,QB,PHI,7.07,20,101.75,0.75,0,0,0,0,0.35350000000000004
Ian Book,QB,WAS,9.940000000000001,20,123.5,1.25,0,0,0,0,0.49700000000000005
C J Beathard,QB,LAC,8.82,20,120.5,1,0,0,0,0,0.441
Chase Daniel,QB,JAX,8.690000000000001,20,117.25,1,0,0,0,0,0.43450000000000005
Easton Stick,QB,JAX,8.690000000000001,20,117.25,1,0,0,0,0,0.43450000000000005
John Wolford,QB,ARI,13.04,20,151,1.75,0,0,0,0,0.6519999999999999
Bryce Perkins,QB,ARI,13.04,20,151,1.75,0,0,0,0,0.6519999999999999
Colt McCoy,QB,LAR,9.629999999999999,20,115.75,1.25,0,0,0,0,0.48149999999999993
Desmond Ridder,QB,SEA,7.14,20,128.5,0.5,0,0,0,0,0.357
Drew Lock,QB,ATL,10.06,20,126.5,1.25,0,0,0,0,0.503
Brock Purdy,QB,DEN,5.3100000000000005,20,82.75,0.5,0,0,0,0,0.2655
Brett Rypien,QB,SF,4.85,20,71.25,0.5,0,0,0,0,0.2425
Tyrod Taylor,QB,DAL,5.6,20,90,0.5,0,0,0,0,0.27999999999999997
