player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_pas_yds,ovr_ex_pas_td,ovr_ex_rus_yds,ovr_ex_rus_td,fl,pl_int_game,ex_ppd
Josh Allen,QB,Buffalo Bills,MIA,21.491386573642586,38,243.47058823529414,1.7352941176470589,41.40798338348468,0.3176470588235294,3,0.8823529411764706,0.5655628045695418
Justin Herbert,QB,Los Angeles Chargers,JAX,19.846610430431713,40,261.44117647058823,1.823529411764706,19.18375136314068,0.19607843137254904,1,0.8823529411764706,0.4961652607607928
Tom Brady,QB,Tampa Bay Buccaneers,GB,19.392741462613753,27,265.88235294117646,2.176470588235294,5.025453841823811,0.10130718954248366,3,0.7058823529411765,0.7182496838005094
Patrick Mahomes,QB,Kansas City Chiefs,IND,20.014460658943886,39,259.38235294117646,2.0294117647058822,21.83284188355649,0.09558823529411764,4,0.7647058823529411,0.5131912989472791
Aaron Rodgers,QB,Green Bay Packers,TB,18.97178787360086,27,248.06433823529412,1.9209558823529411,5.769292763157894,0.17307692307692307,0,0.25,0.7026588101333652
Matthew Stafford,QB,Los Angeles Rams,ARI,17.427273076788648,34,250.91176470588238,2.0882352941176467,2.731554297298242,0,2,1,0.5125668551996662
Dak Prescott,QB,Dallas Cowboys,NYG,17.80762439968909,20,251.94301470588235,1.9503676470588234,9.284332232184994,0.0625,6,0.625,0.8903812199844545
Joe Burrow,QB,Cincinnati Bengals,NYJ,19.267590793205915,33,273.7702205882353,1.8860294117647058,8.664143226176808,0.171875,2,0.875,0.5838663876729066
Jalen Hurts,QB,Philadelphia Eagles,WAS,21.99817990105803,34,232.24117647058824,1.5333333333333332,43.218661755678326,0.5199999999999999,2,0.6,0.6470052912075891
Kyler Murray,QB,Arizona Cardinals,LAR,19.655449011723316,35,256.1029411764706,1.3571428571428572,27.871077621800165,0.31832298136645965,0,0.7142857142857143,0.561584257477809
Kirk Cousins,QB,Minnesota Vikings,DET,18.585577377323986,34,254.2591911764706,1.9430147058823528,7.8690090673575135,0.090625,2,0.4375,0.5466346287448232
Ryan Tannehill,QB,Tennessee Titans,LV,17.076821899562113,24,221.26470588235293,1.4705882352941178,14.359523343447197,0.36700767263427103,4,0.8235294117647058,0.7115342458150881
Carson Wentz,QB,Washington Football Team,PHI,15.697049031682985,28,215.26470588235293,1.6176470588235294,11.950580814567456,0.07013574660633484,5,0.4117647058823529,0.5606088939886781
Derek Carr,QB,Las Vegas Raiders,TEN,15.274248608534322,29,263.9117647058823,1.3823529411764706,6.001309614754993,0,5,0.8235294117647058,0.5266982278804938
Russell Wilson,QB,Denver Broncos,SF,16.623273420479304,27,214.4138655462185,1.6281512605042017,12.216137566137565,0.14732142857142855,1,0.42857142857142855,0.6156767933510854
Lamar Jackson,QB,Baltimore Ravens,NE,18.756549486272927,38,213.64215686274508,1.284313725490196,59.06941643135673,0.125,3,1.0833333333333333,0.49359340753349806
Jimmy Garoppolo,QB,San Francisco 49ers,DEN,14.595322015988465,24,234.41176470588235,1.3137254901960784,3.1849492151431207,0.14090909090909093,3,0.8,0.6081384173328527
Mac Jones,QB,New England Patriots,BAL,15.800941012388218,20,251.26470588235293,1.5588235294117647,6.327057182705718,0,3,0.7647058823529411,0.7900470506194109
Matt Ryan,QB,Indianapolis Colts,KC,14.776010989936418,23,242.38235294117646,1.3823529411764706,4.30984251968504,0.049465240641711226,4,0.7058823529411765,0.6424352604320182
