Player,Position_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,fmb_scrim,ex_ppd
Nick Chubb,RB,PIT,17.363631065283094,26,1.4839655172413795,10.918085106382978,0,99.3906135291033,0.9317964071856288,0,0.6678319640493497
Saquon Barkley,RB,DAL,15.358219975398917,29,4.673076923076923,24.5188679245283,0,100.69794721407625,0.25,0.5,0.529593792255135
D Andre Swift,RB,MIN,18.342392065389536,24,2.8353658536585367,34.919134396355354,0.2916666666666667,86.82795698924731,0.5,0,0.7642663360578973
Aaron Jones,RB,TB,15.294445656283628,20,3.033333333333333,30.38527397260274,0.375,69.89251592356688,0.25,0,0.7647222828141814
Jonathan Taylor,RB,KC,15.035103264790765,39,2.734375,11.511408730158731,0,95.16774891774892,0.5,0,0.38551546832796835
Joe Mixon,RB,NYJ,13.743143710861498,29,4.2105263157894735,42.96551724137931,0,73.4132882882883,0,0,0.4739015072710861
Leonard Fournette,RB,GB,13.141955737908741,27,1.8333333333333333,8.681462140992167,0,113.57142857142857,0,0,0.4867391014040275
Kareem Hunt,RB,PIT,11.797260451944299,16,3.3472906403940885,21.06382978723404,0.3721804511278195,43.9696381751442,0.23119760479041918,0,0.7373287782465187
Javonte Williams,RB,SF,9.027992144827975,22,5.232558139534884,28.813559322033896,0,45.30357142857143,0,0.5,0.4103632793103625
Clyde Edwards Helaire,RB,IND,14.9189398530043,17,3.3055555555555554,33.81740614334471,0.7857142857142857,51.70135746606335,0,0,0.8775846972355471
Miles Sanders,RB,WAS,11.75000892027155,17,2.5,7.0462633451957295,0,80.45382585751979,0.2916666666666667,0,0.6911769953100912
David Montgomery,RB,HOU,14.87411448450348,18,5.083333333333333,43.091503267973856,0,80.23297491039426,0,0,0.8263396935835267
Christian McCaffrey,RB,NO,15.997797619047619,36,4.533333333333333,27.492559523809526,0,79.81875,0.5,0,0.4443832671957672
Cordarrelle Patterson,RB,SEA,12.817420048112854,15,1.6418918918918919,9.326424870466322,0,80.63831615120276,0.5,0,0.8544946698741903
