player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec_yds,ovr_ex_rec_td,ovr_ex_rus_yds,ovr_ex_rus_td,ovr_ex_rec,fl,ex_ppd
Jonathan Taylor,RB,Indianapolis Colts,KC,19.052502862170563,39,24.04956508042074,0.11764705882352941,95.18444881889764,0.8903743315508021,2.6325344952795935,2,0.48852571441462983
Austin Ekeler,RB,Los Angeles Chargers,JAX,18.899601790689907,26,36.54117838541667,0.4078947368421053,61.48566998364232,0.8333333333333334,4.049097065462754,3,0.726907761180381
Joe Mixon,RB,Cincinnati Bengals,NYJ,19.73122047352282,29,19.638371564842153,0.16666666666666669,88.47705582663605,1.1171875,2.68310546875,1,0.6803869128800973
Najee Harris,RB,Pittsburgh Steelers,CLE,16.359604036281144,22,26.238120075981687,0.19948849104859334,76.69726134294527,0.4735294117647058,4.055916955017301,0,0.7436183652855065
James Conner,RB,Arizona Cardinals,LAR,17.218986485980317,25,28.837423650470477,0.1917211328976035,54.40628659941818,1.0485933503836318,2.9054571226080794,0,0.6887594594392127
Ezekiel Elliott,RB,Dallas Cowboys,NYG,12.836183693974734,20,15.19235906862745,0.09852941176470588,59.97035227493546,0.5882352941176471,2.6339427662957076,1,0.6418091846987367
Nick Chubb,RB,Cleveland Browns,PIT,14.56154532486482,26,13.057487091222033,0.07653061224489796,90.14693299416085,0.5285714285714285,1.5066964285714284,1,0.5600594355717239
Damien Harris,RB,New England Patriots,BAL,11.130480822385538,17,9.80959294788696,0,51.639903920657055,0.7708333333333333,1.2543956043956044,2,0.6547341660226786
Alvin Kamara,RB,New Orleans Saints,CAR,17.526617088895105,29,36.286662310875386,0.38705137227304715,72.27519757275084,0.38095238095238093,4.124817162359824,0,0.6043661065136243
Antonio Gibson,RB,Washington Football Team,PHI,13.830646063739199,19,19.835925415529996,0.22580645161290322,63.21884146436901,0.5384615384615384,2.9113809351214206,4,0.7279287401967999
Leonard Fournette,RB,Tampa Bay Buccaneers,GB,15.033252186888667,27,28.26656930753316,0.12515856236786468,62.286298390604614,0.501010101010101,4.441906873614191,0,0.5567871180329136
Cordarrelle Patterson,RB,Atlanta Falcons,SEA,15.619965497584435,15,39.80562754698821,0.360655737704918,47.24145021522749,0.4828614008941878,3.708309779536461,0,1.0413310331722956
Aaron Jones,RB,Green Bay Packers,TB,12.568167954980394,20,25.30248744689069,0.33333333333333337,48.682929824561405,0.24615384615384617,3.652072968490879,1,0.6284083977490197
Derrick Henry,RB,Tennessee Titans,LV,20.49297987363732,35,20.29472644821533,0,105.89483673044926,1.1141304347826086,2.378481894150418,0,0.5855137106753521
Dalvin Cook,RB,Minnesota Vikings,DET,16.4192640248535,31,17.072203869749885,0,97.6072937425269,0.6692307692307693,2.4872439118670275,2,0.5296536782210807
