Player,Position_yah,Opponent_yah,expected_points,Salary_yah,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fmb_scrim,ex_ppd
Tyreek Hill,WR,BUF,16.56366798811045,28,8.050847457627118,101.09672830725462,0.5714285714285714,0.5,0.5915595710039446
Stefon Diggs,WR,MIA,26.399041867223687,31,9.038461538461538,124.51239669421489,1.5714285714285714,0,0.8515819957168931
Amon Ra St Brown,WR,MIN,20.207935163064615,29,9.640243902439025,101.37813211845102,0.875,0,0.696825350450504
Jaylen Waddle,WR,BUF,16.86420873530597,25,6.3559322033898304,85.43385490753911,0.8571428571428571,0,0.6745683494122388
Cooper Kupp,WR,ARI,30.91818883060784,40,11.892857142857142,135.96760259179266,2.0625,0.5,0.772954720765196
Justin Jefferson,WR,DET,22.21088110403397,38,7.35,125.3588110403397,1,0,0.5844968711587887
A J Brown,WR,WAS,14.272419928825624,28,7.5,105.22419928825623,0,0,0.5097292831723437
Amari Cooper,WR,PIT,16.607779403571293,22,7.062783251231528,85.42553191489361,0.755639097744361,0,0.7548990637986951
Courtland Sutton,WR,SF,9.851363158586256,19,4.796511627906977,74.53107344632768,0,0,0.5184927978203293
Diontae Johnson,WR,CLE,10.419360676804455,19,7.05072463768116,75.53998357963874,0,0.33,0.5483874040423398
Christian Kirk,WR,LAC,19.530132962275818,18,5.816326530612245,96.21969696969697,1.1666666666666665,0,1.085007386793101
Ja Marr Chase,WR,NYJ,15.492377495462794,32,6.315789473684211,88.34482758620689,0.5833333333333333,0,0.4841367967332123
Travis Kelce,TE,IND,13.08000027087058,33,6.138888888888889,76.53412969283276,0.39285714285714285,0,0.39636364457183576
Curtis Samuel,WR,PHI,12.27228808154154,18,6.907894736842105,55.32626427406199,0.7142857142857143,0.5,0.6817937823078632
Rashod Bateman,WR,NE,12.902967366431202,19,3.2368421052631575,72.84546313799622,0.6666666666666666,0,0.6791035456016422
Deebo Samuel,WR,DEN,3.0532817109144545,22,4.375,28.657817109144542,0,1,0.13878553231429339
Corey Davis,WR,CIN,10.510478547854786,14,3.25,67.85478547854785,0.35,0,0.7507484677039133
Drake London,WR,SEA,15.883857302898754,17,7.114864864864865,93.2642487046632,0.5,0,0.9343445472293385
Mark Andrews,TE,NE,12.58104168739429,26,7.552631578947368,68.04725897920605,0.3333333333333333,0,0.48388621874593424
Noah Brown,WR,NYG,16.18359181141439,11,4.625,78.71091811414392,1,0,1.4712356192194902
Jakobi Meyers,WR,BAL,14.587045211342964,15,8.898809523809524,101.37640449438203,0,0,0.9724696807561977
Davante Adams,WR,TEN,17.785190425531916,35,5.74468085106383,74.1285,1.25,0,0.5081482978723404
Garrett Wilson,WR,CIN,13.168523102310232,15,4.875,65.31023102310232,0.7,0,0.8779015401540154
Dallas Goedert,TE,WAS,8.670462633451958,19,4,66.70462633451957,0,0,0.45634013860273465
Terry McLaurin,WR,PHI,9.057062517631763,22,2.763157894736842,55.32626427406199,0.35714285714285715,0,0.41168465989235287
Jarvis Landry,WR,CAR,8.354430618401206,12,5.041666666666666,58.33597285067873,0,0,0.6962025515334339
Nelson Agholor,WR,BAL,18.15698635634029,12,6.160714285714286,93.26629213483147,1.125,0.5,1.513082196361691
Pat Freiermuth,TE,CLE,10.627255511370116,17,3.6965942028985506,53.21346469622332,0.5762686567164179,0,0.6251326771394186
Brandin Cooks,WR,CHI,9.132193515704152,16,4.845238095238095,67.09574468085106,0,0,0.5707620947315095
Tyler Lockett,WR,ATL,11.254358126229215,16,6.191489361702128,81.58613445378151,0,0,0.703397382889326
Robbie Anderson,WR,NO,10.884672619047619,13,4.533333333333333,73.68005952380952,0.375,0.5,0.8372825091575091
Mike Evans,WR,GB,10.864664926022629,26,3.6666666666666665,60.313315926892955,0.5,0,0.4178717279239473
Darren Waller,TE,TEN,12.393667021276595,22,4.787234042553191,62.5005,0.625,0,0.563348500967118
Ashton Dulin,WR,KC,8.443700396825397,11,4.375,62.56200396825397,0,0,0.767609126984127
Chase Claypool,WR,CLE,4.890719104733348,14,3.6965942028985506,30.424220032840722,0,0,0.34933707890952487
Gerald Everett,TE,JAX,9.992435915394314,15,3.889830508474576,55.47520661157024,0.41666666666666663,0,0.6661623943596209
