player,fant_pos,Long_Name.x,Opponent,expected_points,Salary,ovr_ex_rec,ovr_ex_rec_yds,ovr_ex_rec_td,fl,ex_ppd
Mark Andrews,TE,Baltimore Ravens,NE,14.999880478180783,26,6.439814814814815,81.79973070773374,0.6,0,0.5769184799300301
Cooper Kupp,WR,Los Angeles Rams,ARI,19.17242112195705,40,8.119747899159664,102.23020630052969,0.8149210903873745,0,0.47931052804892627
Travis Kelce,TE,Kansas City Chiefs,IND,12.14699457692301,33,5.377790178571429,64.36140028177834,0.5244932432432432,1,0.3680907447552427
Deebo Samuel,WR,San Francisco 49ers,DEN,12.6126140455514,22,4.874635568513121,83.19374405372983,0.3516483516483516,2,0.5733006384341546
Dalton Schultz,TE,Dallas Cowboys,NYG,9.094969014469015,15,4.503685503685505,44.06762626262626,0.40606060606060607,0,0.6063312676312677
Ja Marr Chase,WR,Cincinnati Bengals,NYJ,14.960526744730087,32,4.870174632352941,85.64655114828125,0.6797385620915033,1,0.4675164607728152
George Kittle,TE,San Francisco 49ers,DEN,10.820983679834471,25,5.056643065389421,60.61892916370528,0.39560439560439564,1,0.43283934719337885
Justin Jefferson,WR,Minnesota Vikings,DET,15.695299762872786,38,6.04167898315105,94.1840490797546,0.5622837370242215,1,0.4130342042861259
Davante Adams,WR,Las Vegas Raiders,TEN,17.189422565967085,35,7.382867132867133,92.83315086490038,0.7024456521739131,0,0.491126359027631
Dawson Knox,TE,Buffalo Bills,MIA,8.36479644066462,16,3.153930978149888,37.87830951589675,0.5,0,0.5227997775415387
Mike Evans,WR,Tampa Bay Buccaneers,GB,12.102219232146965,26,4.093877032520325,55.37838855421687,0.752906976744186,0,0.46546997046719096
Hunter Henry,TE,New England Patriots,BAL,10.1787703593898,12,3.4273103945235093,44.07738112947717,0.6762295081967213,0,0.8482308632824833
Tyreek Hill,WR,Miami Dolphins,BUF,11.793859296042731,28,5.749298064134771,65.05564208538246,0.42217484008528783,1,0.42120926057295466
Dallas Goedert,TE,Philadelphia Eagles,WAS,10.777422536663199,19,4.37166675868161,63.949789878308664,0.36610169491525424,0,0.5672327650875367
Stefon Diggs,WR,Buffalo Bills,MIA,12.626813076990777,31,5.752232459248759,68.585399846213,0.48202614379084974,0,0.4073165508706702
Kyle Pitts,TE,Atlanta Falcons,SEA,9.529041463534439,20,4.481954826782413,68.88064050143231,0.06666666666666667,0,0.47645207317672195
Mike Williams,WR,Los Angeles Chargers,JAX,11.792241568043934,26,4.537974222675308,66.81149193548387,0.4736842105263158,0,0.4535477526170744
Zach Ertz,TE,Arizona Cardinals,LAR,8.387634904107568,15,4.559332715477293,46.036950420954156,0.25071225071225073,0,0.5591756602738378
Mike Gesicki,TE,Miami Dolphins,BUF,7.312991165738243,11,4.222194719471947,45.733223774308414,0.10476190476190475,0,0.6648173787034767
Tyler Lockett,WR,Seattle Seahawks,ATL,13.467214681537598,16,5.034239969135802,79.00094696969697,0.5083333333333333,0,0.8417009175960999
Pat Freiermuth,TE,Pittsburgh Steelers,CLE,8.484309554482985,17,3.9232198142414862,33.312427442348586,0.555301296720061,1,0.4990770326166462
Diontae Johnson,WR,Pittsburgh Steelers,CLE,13.612997026323027,19,6.432182163187856,71.54269198586042,0.5834502103786816,2,0.716473527701212
Noah Fant,TE,Seattle Seahawks,ATL,8.374449354657688,13,4.689429012345679,45.047348484848484,0.25416666666666665,0,0.64418841189674525
Hunter Renfrow,WR,Las Vegas Raiders,TEN,13.460679677917902,15,6.594560994560995,66.18471644405518,0.6130434782608696,1,0.8973786451945268
Tyler Higbee,TE,Los Angeles Rams,ARI,6.999794741170564,18,3.871346469622331,33.32414189286227,0.28861788617886175,0,0.3888774856205869
CeeDee Lamb,WR,Dallas Cowboys,NYG,10.947559186235415,19,4.93531236154187,65.02853825136611,0.3295081967213115,0,0.5761873255913376
Keenan Allen,WR,Los Angeles Chargers,JAX,11.328452226366036,24,6.131489841986456,64.27180989583333,0.305921052631579,0,0.47201884276525147
T J Hockenson,TE,Detroit Lions,MIN,10.150866246641602,16,5.115425084175084,53.32284139336669,0.37681159420289856,0,0.6344291404151001
Michael Pittman Jr,WR,Indianapolis Colts,KC,12.241665397246427,26,5.791575889615106,72.28230393615345,0.35294117647058826,0,0.470833284509478
C J Uzomah,TE,New York Jets,CIN,7.20015106649833,12,3.3327205882352944,33.775407723806836,0.359375,0,0.6000125888748609
Tee Higgins,WR,Cincinnati Bengals,NYJ,12.642381864063193,21,5.402715773809524,77.98166834301288,0.38095238095238093,1,0.6020181840030092
Darren Waller,TE,Las Vegas Raiders,TEN,9.297590069669544,22,4.801864801864802,57.82033162808289,0.1857707509881423,0,0.4226177304395247
Tyler Conklin,TE,New York Jets,CIN,7.20566191509594,13,4.023172905525847,39.39530007787562,0.20909090909090908,0,0.5542816857766107
Chris Godwin,WR,Tampa Bay Buccaneers,GB,11.400982976011763,21,6.196138211382114,67.44774335436986,0.3073089700996678,2,0.5429039512386554
Brandin Cooks,WR,Houston Texans,CHI,11.873500927679466,16,5.307203389830509,64.34184947049924,0.46428571428571425,0,0.7420938079799666
Jaylen Waddle,WR,Miami Dolphins,BUF,10.041706908688287,25,5.639232673267326,55.792334291974804,0.29464285714285715,1,0.4016682763475315
Gerald Everett,TE,Los Angeles Chargers,JAX,5.683186513544364,15,3.1175002970179397,30.311769005847953,0.22899353647276083,2,0.3788791009029576
Darnell Mooney,WR,Chicago Bears,HOU,12.006698579595781,14,5.217330861909175,74.13417764025809,0.3307692307692308,0,0.8576213271139844
Amon Ra St Brown,WR,Detroit Lions,MIN,11.952938475554785,29,6.037878787878788,66.73129516397998,0.37681159420289856,0,0.41217029226050983
Evan Engram,TE,Jacksonville Jaguars,LAC,6.5159400311490785,12,3.210186130145308,29.98566264322039,0.3421052631578947,1,0.5429950025957565
Terry McLaurin,WR,Washington Football Team,PHI,10.969742232531658,22,4.866573033707866,64.77632186265961,0.3431372549019608,0,0.4986246469332572
Marquise Brown,WR,Arizona Cardinals,LAR,10.732485684083388,19,5.6943524096385545,61.769761459307766,0.3055555555555556,1,0.5648676675833362
Austin Hooper,TE,Tennessee Titans,LV,4.832560091382728,12,2.510619777158775,22.732729300760678,0.21732954545454541,0,0.40271334094856065
Amari Cooper,WR,Cleveland Browns,PIT,12.078986770325857,22,4.862288135593221,61.61159893812538,0.5811138014527846,0,0.5490448531966299
Adam Thielen,WR,Minnesota Vikings,DET,12.395654719897689,16,4.901333591032084,55.332232184992925,0.7352941176470589,0,0.7747284199936055
Christian Kirk,WR,Jacksonville Jaguars,LAC,12.250381418254669,18,4.940219819497811,66.35110218183183,0.5241935483870968,0,0.6805767454585927
DeVonta Smith,WR,Philadelphia Eagles,WAS,10.713216522256717,17,4.399630511935436,62.14893803602433,0.4029850746268656,1,0.6301892071915716
Van Jefferson,WR,Los Angeles Rams,ARI,7.444552380263386,13,2.799913068675746,42.1102339255392,0.3055954088952655,0,0.5726578754048759
A J Brown,WR,Philadelphia Eagles,WAS,13.50225349501125,28,5.580180405913305,75.9677867666998,0.5192307692307693,0,0.4822233391075446
Tyler Boyd,WR,Cincinnati Bengals,NYJ,9.914801324478999,12,4.722970545977011,57.142355917203794,0.30651340996168586,0,0.8262334437065832
Brandon Aiyuk,WR,San Francisco 49ers,DEN,7.799602687920162,12,3.3335363996344807,45.98965372144254,0.2755453501722158,1,0.6499668906600135
K J Osborn,WR,Minnesota Vikings,DET,8.587961581031585,11,3.1700167504187604,43.26482617586912,0.446078431372549,0,0.7807237800937805
Chase Claypool,WR,Pittsburgh Steelers,CLE,8.496130036685017,14,3.79131845841785,56.64938573593034,0.15592203898050971,0,0.606866431191787
Hayden Hurst,TE,Cincinnati Bengals,NYJ,4.491165302884053,12,2.4159564393939394,20.104598104598104,0.2424242424242424,1,0.3742637752403377
Jakobi Meyers,WR,New England Patriots,BAL,9.054716044039392,15,5.179842545514187,57.63302233968865,0.13681592039800994,1,0.6036477362692928
A J Green,WR,Arizona Cardinals,LAR,8.76093029166211,11,3.7940393151553584,58.3467086800256,0.17153996101364521,0,0.7964482083329191
Allen Lazard,WR,Green Bay Packers,TB,7.645911971289912,16,2.9061588608680733,34.34211851200703,0.45977011494252873,0,0.4778694982056195
Logan Thomas,TE,Washington Football Team,PHI,8.194511124934284,15,3.2233146067415728,34.16187154896832,0.5833333333333333,1,0.5463007416622856
Russell Gage,WR,Tampa Bay Buccaneers,GB,8.767101020797867,13,4.582018173122908,51.70118382024832,0.2699498404012768,2,0.6743923862152206
Elijah Moore,WR,New York Jets,CIN,11.986710556748932,13,4.799396681749624,60.48550677412581,0.5897435897435896,0,0.9220546582114563
Courtland Sutton,WR,Denver Broncos,SF,7.160656106129854,19,3.5507209714141155,45.79325471169064,0.13432835820895522,0,0.37687663716472913
Robert Woods,WR,Tennessee Titans,LV,12.24672181901719,15,5.285515320334262,65.13055067940967,0.5151515151515151,0,0.8164481212678126
Robert Tonyan,TE,Green Bay Packers,TB,5.41838482498603,13,2.615542974781266,27.31302992767811,0.22988505747126436,0,0.4167988326912331
Will Dissly,TE,Seattle Seahawks,ATL,2.883772755806654,13,1.5709353421217829,16.847457627118644,0.06892655367231638,0,0.2218286735235888
Mecole Hardman,WR,Kansas City Chiefs,IND,6.658588955432149,12,3.741071428571429,43.00650584252253,0.12643151626202476,2,0.5548824129526791
Jarvis Landry,WR,New Orleans Saints,CAR,7.753929971665344,12,4.658703071672354,48.09635907093534,0.15804597701149425,2,0.646160830972112
O J Howard,TE,Houston Texans,CHI,1.829003861311869,11,0.8806026365348398,8.93464447806354,0.08253968253968252,0,0.166273078301079
Corey Davis,WR,New York Jets,CIN,10.8923373811541,14,4.111111111111111,59.923373811541,0.5111111111111111,1,0.7780240986538642
Nelson Agholor,WR,New England Patriots,BAL,6.392424896275263,12,2.6673929518757107,36.36314627233959,0.23706896551724138,0,0.5327020746896053
DeAndre Carter,WR,Los Angeles Chargers,JAX,3.68689277200764,15,1.5587501485089699,18.77046783625731,0.1717451523545706,0,0.245792851467176
Marquez Valdes Scantling,WR,Kansas City Chiefs,IND,6.830283783229738,12,2.4316964285714286,39.36057190565644,0.27972972972972976,0,0.5691903152691448
Zay Jones,WR,Jacksonville Jaguars,LAC,5.8868015859451335,11,3.1159741458910433,38.12147846332945,0.10833333333333334,1,0.5351637805404666
Rashod Bateman,WR,Baltimore Ravens,NE,7.319319966899492,19,4.152777777777778,46.429310780106036,0.1,0,0.38522736667892066
Michael Gallup,WR,Dallas Cowboys,NYG,7.630589929214929,14,3.8108108108108105,45.76613095238095,0.19142857142857142,0,0.5450421378010664
Rondale Moore,WR,Arizona Cardinals,LAR,5.924242333748299,15,4.4134743053848045,34.816775166568036,0.06651549508692366,1,0.39494948891655324
Devin Duvernay,WR,Baltimore Ravens,NE,3.739470672389127,15,2.1666666666666665,17.834100663285213,0.14545454545454545,0,0.24929804482594178
Julio Jones,WR,Tampa Bay Buccaneers,GB,5.603716175915611,15,2.7440040650406505,37.154350736278445,0.08604651162790698,0,0.3735810783943741
Jerry Jeudy,WR,Denver Broncos,SF,7.502131977095631,17,4.4532687651331715,52.754975945290454,0,0,0.4413018810056254
Sammy Watkins,WR,Green Bay Packers,TB,4.622245932850234,12,2.370335820895522,31.870780224024724,0.06944444444444445,1,0.3851871610708528
Sterling Shepard,WR,New York Giants,DAL,10.017412197345447,13,5.432098765432098,61.458072590738425,0.1925925925925926,0,0.7705701690265728
Ashton Dulin,WR,Indianapolis Colts,KC,2.993810394381901,11,1.1188271604938271,15.113198910580643,0.15384615384615385,0,0.2721645813074456
Isaiah McKenzie,WR,Buffalo Bills,MIA,2.4980966837730563,14,1.6159958984875673,14.418717841746627,0.06973995271867611,1,0.17843547741236115
