player,Position_yah,Opponent_yah,expected_points,Salary_yah,ex_ppd
Jonathan Taylor,RB,DEN,16.88461387771068,36,0.46901705215863004
Austin Ekeler,RB,CLE,17.494256619028334,27,0.6479354303343827
Joe Mixon,RB,BAL,15.571980200296215,23,0.6770426174041833
Najee Harris,RB,BUF,15.34365014238523,19,0.8075605338097489
James Conner,RB,PHI,16.05191639274948,23,0.6979094083804122
Ezekiel Elliott,RB,LAR,11.921901467046776,16,0.7451188416904235
Nick Chubb,RB,LAC,14.986360707782497,38,0.3943779133626973
Damien Harris,RB,DET,13.432458188169756,23,0.584019921224772
Alvin Kamara,RB,SEA,16.781890841985298,24,0.6992454517493875
Antonio Gibson,RB,TEN,12.566594193271486,17,0.7392114231336169
Leonard Fournette,RB,ATL,16.13684707574318,22,0.7334930488974173
Cordarrelle Patterson,RB,TB,14.004623445363297,20,0.7002311722681649
Aaron Jones,RB,NYG,13.476598450725294,27,0.49913327595278867
Derrick Henry,RB,WAS,18.771115610281367,37,0.5073274489265234
Dalvin Cook,RB,CHI,14.891582507160402,29,0.5135028450744966
Josh Jacobs,RB,KC,14.069336553939094,19,0.7404913975757418
Devin Singletary,RB,PIT,10.342693514970946,18,0.5745940841650525
David Montgomery,RB,MIN,13.680708431330013,24,0.5700295179720839
AJ Dillon,RB,NYG,12.471912203198032,19,0.6564164317472648
D Andre Swift,RB,NE,15.65660196664758,26,0.6021769987172146
James Robinson,RB,HOU,14.716385414934075,28,0.5255851933905027
Tony Pollard,RB,LAR,10.99147201964576,15,0.7327648013097173
Michael Carter,RB,MIA,10.36176323475993,14,0.740125945339995
Rashaad Penny,RB,NO,11.50006990291455,17,0.6764747001714442
Chuba Hubbard,RB,SF,7.121775247660249,12,0.5934812706383541
Saquon Barkley,RB,GB,11.9014395798446,37,0.3216605291849892
Rhamondre Stevenson,RB,DET,11.393854577579864,22,0.5179024807990847
Chase Edmonds,RB,NYJ,12.490423026622175,15,0.8326948684414783
Clyde Edwards Helaire,RB,LV,11.463924243273906,21,0.5459011544416146
Alexander Mattison,RB,CHI,8.381457922166621,15,0.5587638614777748
Jamaal Williams,RB,NE,9.19904956080057,26,0.35380959849232957
Latavius Murray,RB,NO,8.688435865551345,15,0.5792290577034229
Miles Sanders,RB,ARI,8.407332899300961,21,0.40034918568099814
Christian McCaffrey,RB,SF,15.861602722001233,37,0.4286919654594928
Kenneth Gainwell,RB,ARI,7.2864295970802555,12,0.6072024664233546
Kareem Hunt,RB,LAC,15.160692268467509,21,0.7219377270698814
D Onta Foreman,RB,SF,10.244623908969272,12,0.8537186590807727
J D McKissic,RB,TEN,11.485359176340129,13,0.8834891674107792
Brandon Bolden,RB,KC,7.530546023419456,11,0.6845950930381324
Zack Moss,RB,PIT,8.462584556321456,12,0.7052153796934547
Rex Burkhead,RB,JAX,8.807433923550377,12,0.7339528269625314
Nyheim Hines,RB,DEN,5.956933074364755,12,0.4964110895303962
Khalil Herbert,RB,MIN,7.332017060554572,21,0.3491436695502177
Dontrell Hilliard,RB,WAS,8.825482805763539,12,0.7354569004802949
Craig Reynolds,RB,NE,6.832214634754071,11,0.6211104213412791
Jerick McKinnon,RB,LV,2.9759253178591885,15,0.19839502119061256
Eno Benjamin,RB,PHI,3.7120908940521593,12,0.3093409078376799
Jonathan Williams,RB,TEN,4.332733968362246,12,0.3610611640301871
Deon Jackson,RB,DEN,1.200606921656865,13,0.09235437858898961
Mike Boone,RB,IND,1.3590643320130622,17,0.07994496070665072
